Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-12-10,165.0,144.71,141.25,146.0,1002004,70447537
2020-12-11,151.5,139.25,135.1,146.55,402248,26980830
2020-12-14,135.3,130.0,125.1601,135.0,267807,16966089
2020-12-15,127.6,124.8,121.5,126.69,148983,10914432
2020-12-16,142.0,137.99,124.91,125.83,192650,20409551
2020-12-17,152.4499,147.05,142.67,143.0,164251,15054725
2020-12-18,159.0,157.3,150.3,150.4497,156572,15954235
2020-12-21,172.0,163.02,145.11,155.31,198953,17788120
2020-12-22,174.97,163.19,161.05,170.0,120960,9886633
2020-12-23,168.25,158.01,155.5,162.8137,76174,5852486
2020-12-24,162.79,154.84,154.1124,159.16,43246,3621360
2020-12-28,163.64,149.0,147.52,158.6,88153,6229179
2020-12-29,151.6511,150.0,143.12,150.0,69580,5402266
2020-12-30,152.813,148.43,145.6,151.34,56238,3462445
2020-12-31,147.89,146.8,144.51,146.9,44429,2795813
2021-01-04,151.005,139.15,137.0,150.99,106335,6409884
2021-01-05,149.0,148.3,137.25,138.28,83478,5974246
2021-01-06,148.35,142.77,141.11,145.75,63744,4213936
2021-01-07,154.42,151.27,145.2614,146.37,65540,4482769
2021-01-08,155.54,149.77,147.2501,153.45,62953,4615625
2021-01-11,150.5,148.13,144.02,147.99,46787,2801867
2021-01-12,163.88,160.8,143.61,148.08,98415,8145892
2021-01-13,178.6199,169.99,159.35,160.81,150812,12529711
2021-01-14,187.42,180.5,174.9754,175.54,121718,9926539
2021-01-15,185.995,169.27,164.8601,184.58,125209,8575682
2021-01-19,178.6,173.69,166.6001,173.0,64795,4685415
2021-01-20,176.31,161.83,161.0,176.01,122101,8517416
2021-01-21,183.47,180.4,155.33,164.99,217224,17618431
2021-01-22,185.3066,181.87,175.19,178.09,104037,7136811
2021-01-25,192.47,177.53,170.03,186.05,120026,7472859
2021-01-26,193.0,192.74,177.3,180.0,91975,6460904
2021-01-27,216.0,201.25,185.5,187.64,163813,11019787
2021-01-28,212.84,187.37,187.05,202.6,139284,7077661
2021-01-29,193.4999,183.63,179.31,190.71,92378,4529815
2021-02-01,188.82,180.44,179.74,187.4803,74532,3877389
2021-02-02,186.4794,179.17,177.11,183.22,77436,4413624
2021-02-03,190.9,185.72,180.0,181.98,62295,4168965
2021-02-04,195.99,195.8,186.19,187.07,61378,3637039
2021-02-05,197.25,195.31,190.2501,197.0,54463,2869659
2021-02-08,201.96,200.43,191.5001,199.93,58711,3492593
2021-02-09,209.22,199.88,196.16,199.2033,78190,4725841
2021-02-10,214.7163,211.66,202.097,205.48,85671,5257239
2021-02-11,219.94,216.84,207.0,213.5,67481,3595183
2021-02-12,216.94,212.68,209.0,214.4578,57367,3041744
2021-02-16,218.78,209.86,209.09,216.24,67022,3487929
2021-02-17,208.765,201.96,196.02,207.05,90976,4090619
2021-02-18,200.36,198.04,192.17,199.01,66844,2791419
2021-02-19,205.55,201.07,200.18,203.95,47198,2605751
2021-02-22,205.0,195.34,193.5,200.7,73296,3674223
2021-02-23,191.67,187.59,175.0,189.0,129224,5902404
2021-02-24,208.145,200.2,189.0,190.98,100741,5983538
2021-02-25,199.8,182.06,180.0,197.41,230781,11568492
2021-02-26,214.1,206.35,185.75,194.18,259834,19368608
2021-03-01,199.69,196.42,192.62,195.82,183785,15798527
2021-03-02,200.0,189.9,188.5,195.63,125661,9144947
2021-03-03,188.48,180.4,178.8001,186.97,186156,10592934
2021-03-04,183.8999,180.23,170.87,178.64,166880,9993671
2021-03-05,183.5,179.81,161.9,182.52,163585,8788544
2021-03-08,186.4,180.81,177.0301,179.9924,80455,4988473
2021-03-09,189.46,183.11,180.72,184.99,96104,6079925
2021-03-10,191.0,183.79,181.55,184.57,83722,6145645
2021-03-11,201.0,197.87,188.5,189.9,95179,6031244
2021-03-12,208.7,206.74,192.2,196.27,90004,5556463
2021-03-15,213.7399,209.99,203.8101,209.5384,76913,4337470
2021-03-16,215.49,200.01,198.18,209.11,85678,4605572
2021-03-17,203.46,201.36,194.44,195.63,68022,3781866
2021-03-18,199.8999,191.45,190.68,196.8,80297,3729507
2021-03-19,196.49,194.39,187.81,193.01,61623,4444583
2021-03-22,203.3,195.0,194.71,196.85,70045,3740448
2021-03-23,196.7496,187.14,185.7401,195.5,78420,3460590
2021-03-24,189.78,178.85,178.51,189.0,94008,3756097
2021-03-25,179.54,176.16,170.5,173.1,107415,5264100
2021-03-26,181.0,174.4,168.0,178.4161,85493,3562912
2021-03-29,185.46,182.5,173.5,175.36,77565,4508821
2021-03-30,185.23,183.1,178.38,182.35,45167,2903262
2021-03-31,192.275,187.94,185.1301,185.43,59580,3079510
2021-04-01,193.99,188.24,185.37,192.5,57235,2921447
2021-04-05,192.1,186.69,185.81,191.66,49302,2591425
2021-04-06,194.48,190.03,187.52,188.7,54862,3565634
2021-04-07,190.62,179.94,179.47,189.38,117701,6663462
2021-04-08,183.9,180.18,179.3,181.6479,53560,2625274
2021-04-09,182.46,179.5,177.25,179.62,59180,2910167
2021-04-12,181.49,176.49,176.25,179.68,57436,2619833
2021-04-13,178.61,177.95,172.14,175.265,72459,3573584
2021-04-14,181.4665,176.43,175.31,179.5,57254,2938566
2021-04-15,178.24,175.35,174.25,177.0,57248,2894865
2021-04-16,179.51,178.69,172.94,176.0119,59338,3058294
2021-04-19,178.72,174.58,171.5,177.32,64769,3125736
2021-04-20,175.0,169.57,165.52,173.1838,101047,4574999
2021-04-21,170.32,167.07,164.12,168.09,80490,3878608
2021-04-22,176.92,170.71,168.43,168.49,70930,3856499
2021-04-23,178.25,174.25,172.0,172.9192,62002,3335128
2021-04-26,176.0305,174.88,171.07,175.21,54816,2549403
2021-04-27,179.61,177.94,174.8,176.1653,54359,2882972
2021-04-28,181.67,180.0,173.351,174.4371,49535,2409708
2021-04-29,183.22,177.68,173.35,182.75,63549,3116021
2021-04-30,176.45,172.71,172.01,173.0035,62614,3579957
2021-05-03,173.44,168.11,167.8,173.19,70235,3149738
2021-05-04,169.04,168.9,161.96,167.0154,93828,4658011
2021-05-05,170.18,162.33,162.12,169.3,74387,3590067
2021-05-06,162.105,153.64,150.7,161.91,178031,8528976
2021-05-07,157.0543,151.21,148.78,156.5,132836,7133990
2021-05-10,150.5,146.73,144.52,150.2839,117490,5827152
2021-05-11,144.35,142.73,136.01,139.1,149210,8257386
2021-05-12,144.77,140.25,138.75,140.9,101751,5307514
2021-05-13,142.3286,135.75,131.28,142.25,216505,13005365
2021-05-14,142.25,141.2,131.67,137.68,259411,20325381
2021-05-17,137.79,132.5,130.2532,137.1562,419768,39755015
2021-05-18,138.4,135.02,131.49,134.0,203595,18555649
2021-05-19,138.38,138.19,129.71,129.95,195307,15565537
2021-05-20,138.89,136.2,135.65,138.8386,133024,8903573
2021-05-21,137.17,134.71,132.88,136.55,128487,10056483
2021-05-24,137.98,135.91,134.39,135.5,120449,8543614
2021-05-25,137.85,133.99,133.56,137.4,147734,10435842
2021-05-26,135.76,134.75,133.7208,134.94,124161,8179216
2021-05-27,143.82,143.17,134.5,135.07,251263,21270189
2021-05-28,145.0,140.4,140.25,144.76,155967,12000561
2021-06-01,146.0889,144.31,141.59,143.89,210172,16552092
2021-06-02,152.7,151.0,144.4,145.35,207527,16245118
2021-06-03,151.12,144.19,143.8,149.55,157186,11083344
2021-06-04,151.57,150.73,145.0,145.83,120609,8534867
2021-06-07,150.96,148.97,146.4,150.96,121331,7780222
2021-06-08,150.75,147.01,145.8,150.6,102293,7125810
2021-06-09,149.36,144.85,144.46,148.57,96808,5606457
2021-06-10,147.45,146.12,141.04,142.15,134509,9482482
2021-06-11,148.95,148.44,145.2001,145.87,79360,4819914
2021-06-14,149.6,149.21,146.85,149.25,99346,6107480
2021-06-15,153.74,151.78,148.84,149.2,144606,12007681
2021-06-16,152.35,149.15,146.92,150.95,126797,9632778
2021-06-17,152.29,150.7,148.6116,148.99,104560,8171295
2021-06-18,154.8,152.52,149.4,150.38,103291,11628917
2021-06-21,152.61,149.7,145.83,152.52,115300,8040208
2021-06-22,151.6468,149.68,148.4,149.75,75923,5790390
2021-06-23,154.59,151.58,147.8,149.76,131638,9335718
2021-06-24,153.6272,150.73,149.86,152.67,105646,8173384
2021-06-25,153.17,149.67,149.28,151.23,85597,6452449
2021-06-28,150.93,149.94,147.08,148.615,102495,6450955
2021-06-29,149.94,146.08,145.77,149.75,110336,7478999
2021-06-30,154.09,153.14,144.245,145.545,129371,9798633
2021-07-01,157.41,153.08,151.41,154.5,135922,9793859
2021-07-02,154.95,150.23,149.56,153.31,72882,4844712
2021-07-06,152.8,148.37,147.8101,150.08,83384,5069422
2021-07-07,148.94,143.72,143.6,148.15,101645,5650921
2021-07-08,143.73,142.53,139.53,140.43,91004,4827157
2021-07-09,150.26,149.64,143.3,143.3,88300,7065139
2021-07-12,150.42,146.69,146.01,148.99,56118,3276273
2021-07-13,147.695,143.41,143.0,147.695,104181,5871457
2021-07-14,144.2,139.09,139.04,143.86,144680,8545476
2021-07-15,140.52,137.5,136.54,139.18,103536,6576068
2021-07-16,139.7899,134.31,133.51,139.69,109393,6094631
2021-07-19,133.77,131.88,130.31,131.36,129950,7215671
2021-07-20,137.435,136.09,131.7,132.75,93898,6274608
2021-07-21,140.15,139.25,135.725,136.71,84233,5269631
2021-07-22,141.2898,139.47,137.66,141.2898,81672,4628360
2021-07-23,140.0,138.73,137.41,139.8,57700,2811110
2021-07-26,142.19,142.0,137.2,139.13,90798,6489516
2021-07-27,142.52,141.58,138.31,141.255,81453,5113147
2021-07-28,143.73,143.3,141.03,141.31,68370,4466785
2021-07-29,145.0,143.47,141.71,143.6464,75124,5005450
2021-07-30,144.69,144.01,141.74,141.75,66428,4167130
2021-08-02,146.27,145.49,143.4,143.85,73582,4522437
2021-08-03,147.79,145.65,143.2801,147.7284,84160,5491010
2021-08-04,147.46,147.4,145.01,145.1,75416,4631430
2021-08-05,150.41,150.32,146.3993,146.67,80356,4737513
2021-08-06,150.19,149.99,147.55,148.99,61006,4043474
2021-08-09,151.0,149.44,148.7,148.74,68278,5541924
2021-08-10,150.76,147.95,147.85,149.365,68050,5149830
2021-08-11,149.2796,148.16,145.1576,147.54,88734,6717728
2021-08-12,151.68,151.15,146.55,148.86,118919,8925109
2021-08-13,152.76,152.76,144.51,146.66,186510,16789079
2021-08-16,152.03,148.57,144.9,151.99,104771,7720442
2021-08-17,148.2,143.9,143.58,145.0,87539,7855110
2021-08-18,148.68,146.74,141.7,144.02,77614,5190073
2021-08-19,145.28,142.65,141.92,143.7907,66182,4732393
2021-08-20,143.949,143.7,141.5,142.0,47952,2996182
2021-08-23,147.6299,146.79,144.15,144.9,63645,4727431
2021-08-24,161.98,161.42,146.5,147.0,237413,22096778
2021-08-25,163.0587,160.35,158.0,158.764,97503,7267704
2021-08-26,159.4999,152.73,151.45,159.34,103608,7242951
2021-08-27,156.44,154.18,151.45,152.251,66320,4818820
2021-08-30,157.49,156.02,151.92,154.41,62706,3968745
2021-08-31,158.15,154.99,153.58,155.94,68825,7403951
2021-09-01,158.64,156.59,154.29,154.84,67963,4324746
2021-09-02,159.4601,157.2,156.5,156.5,52861,3302257
2021-09-03,160.64,158.0,157.2,158.05,66015,4460935
2021-09-07,165.735,165.0,159.55,159.72,138646,11017034
2021-09-08,166.55,163.93,161.6,163.23,86443,5866501
2021-09-09,166.97,166.0,160.83,163.0,87521,5935754
2021-09-10,168.2356,165.2,165.01,166.95,67935,3985251
2021-09-13,162.99,160.32,154.79,160.25,116597,7520949
2021-09-14,164.7,163.3,159.41,160.66,78750,4655503
2021-09-15,166.63,166.37,160.49,162.32,80031,5656017
2021-09-16,169.45,168.15,165.04,165.26,77680,6094825
2021-09-17,170.0,166.59,163.61,169.3,114799,20024675
2021-09-20,166.54,161.64,159.445,162.24,95020,6846832
2021-09-21,170.01,169.29,162.96,164.0,109883,8592501
2021-09-22,171.81,169.96,167.3713,170.0293,73811,4353595
2021-09-23,176.0,175.13,170.5001,171.55,88859,5370786
2021-09-24,176.96,175.88,173.61,174.53,68625,4084868
2021-09-27,176.319,174.26,172.02,175.0,62228,3551430
2021-09-28,173.56,168.58,166.9,172.5155,77303,4362803
2021-09-29,171.2207,168.07,166.5504,170.1,48238,2788740
2021-09-30,169.5,167.75,165.71,168.1,45430,2663690
2021-10-01,173.2,173.01,168.55,170.31,69715,4963044
2021-10-04,172.26,164.5,164.03,171.99,88772,4459382
2021-10-05,166.59,164.74,162.43,165.67,69866,4340100
2021-10-06,167.32,167.25,160.63,161.39,50487,2461482
2021-10-07,171.27,169.6,168.6,170.0,46225,2119612
2021-10-08,174.0999,169.97,169.48,170.1,44801,2265114
2021-10-11,171.5402,166.67,166.63,170.0,41003,2046310
2021-10-12,175.9,172.75,171.23,172.6944,88402,6028098
2021-10-13,175.19,173.58,171.8,173.0,57870,3523610
2021-10-14,176.75,170.5,170.04,175.24,77937,4145257
2021-10-15,172.95,169.18,168.58,171.9,64983,3592734
2021-10-18,172.7,172.32,167.11,167.5,53066,2793704
