Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,49.25,49.1,46.63,46.86,318123,80764599
2020-01-03,49.39,48.6,47.54,48.03,302778,73362157
2020-01-06,48.86,48.39,47.86,48.02,208014,48176286
2020-01-07,49.39,48.25,48.04,49.35,269356,59935556
2020-01-08,48.3,47.83,47.14,47.85,234976,53868957
2020-01-09,49.96,48.97,48.39,48.94,322947,76649637
2020-01-10,49.29,48.165,48.0,49.26,202666,44215594
2020-01-13,48.86,48.745,48.24,48.66,148724,34474728
2020-01-14,49.035,48.21,47.91,48.64,170848,38694180
2020-01-15,49.08,48.545,48.12,48.23,169113,40199943
2020-01-16,50.31,49.77,48.99,49.17,239224,58898926
2020-01-17,51.05,50.93,49.9,50.2,232174,57722501
2020-01-21,51.81,51.05,50.7,50.96,209599,49094965
2020-01-22,51.875,51.43,51.195,51.63,177523,40772219
2020-01-23,51.745,51.71,50.74,51.34,174010,40135442
2020-01-24,52.81,50.35,49.47,52.2803,351574,80004909
2020-01-27,49.79,49.26,47.9,48.45,235110,48878578
2020-01-28,50.85,50.53,49.48,50.03,281122,62343844
2020-01-29,48.07,47.51,46.1,47.84,489172,112559197
2020-01-30,48.81,48.78,46.13,46.49,296228,70460163
2020-01-31,48.58,47.0,46.79,48.4,268834,60322431
2020-02-03,48.1,48.02,46.23,46.4,219263,47076956
2020-02-04,49.75,49.45,48.61,49.21,210016,46302078
2020-02-05,50.42,49.84,49.31,50.29,192485,42737104
2020-02-06,49.39,49.32,47.63,48.8,227476,48670617
2020-02-07,50.665,49.73,48.635,48.91,242904,53107582
2020-02-10,52.3,52.26,49.35,49.47,272493,60971719
2020-02-11,54.48,53.8,52.91,53.22,335029,74719054
2020-02-12,54.85,53.89,53.53,54.53,206374,45994933
2020-02-13,55.03,54.53,53.34,53.43,226825,51640035
2020-02-14,55.4,55.31,54.56,55.19,196833,52365370
2020-02-18,58.13,56.89,54.84,54.94,308801,70346387
2020-02-19,59.27,58.9,57.51,57.99,270042,58597294
2020-02-20,59.02,57.27,56.15,58.44,359319,74203373
2020-02-21,56.8,53.28,52.89,56.71,399700,88553374
2020-02-24,50.275,49.12,47.49,48.175,393336,86624116
2020-02-25,51.24,47.57,47.12,51.14,363407,88699382
2020-02-26,49.29,47.49,47.07,47.7,390703,86897680
2020-02-27,46.24,44.01,42.21,45.38,479412,106416222
2020-02-28,46.15,45.48,41.04,41.355,501360,100667707
2020-03-02,47.68,47.46,44.66,47.42,538718,102324726
2020-03-03,50.2,46.75,45.67,49.03,727648,141972288
2020-03-04,50.14,50.11,47.2101,48.25,435798,93311779
