Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,50.64,50.5,49.9,50.64,225,38104
2020-01-03,50.43,50.13,49.74,49.74,190,31516
2020-01-06,50.56,50.52,49.52,49.52,144,28661
2020-01-07,51.28,51.14,50.55,50.75,246,29304
2020-01-08,52.51,52.29,51.11,51.11,313,37555
2020-01-09,52.81,52.35,52.06,52.73,466,62627
2020-01-10,52.53,51.97,51.92,52.53,218,31121
2020-01-13,53.085,53.04,52.31,52.53,352,47664
2020-01-14,53.639,53.26,52.64,53.18,498,61824
2020-01-15,53.96,53.43,53.15,53.2,538,56912
2020-01-16,54.01,54.01,53.37,53.65,313,47316
2020-01-17,54.17,53.67,53.52,54.17,353,44278
2020-01-21,54.0,53.59,53.52,53.8,338,43237
2020-01-22,54.39,53.84,53.759,54.09,233,52922
2020-01-23,53.989,53.8,53.07,53.77,302,36503
2020-01-24,54.16,52.8,52.44,53.96,294,41895
2020-01-27,52.19,51.85,51.0,51.2,680,103770
2020-01-28,52.879,52.82,52.14,52.3,296,40442
2020-01-29,53.24,52.85,52.68,53.04,187,23630
2020-01-30,53.33,52.95,52.4,52.68,335,51406
2020-01-31,52.65,51.8,51.42,52.65,505,54069
2020-02-03,53.97,53.96,52.15,52.31,571,77687
2020-02-04,57.039,56.32,55.18,55.72,1159,112243
2020-02-05,56.77,55.52,55.22,56.77,1042,108155
2020-02-06,56.6,56.17,55.25,55.73,495,82165
2020-02-07,56.45,55.84,55.8,56.14,261,46331
2020-02-10,57.0,56.89,56.27,56.29,389,62259
2020-02-11,58.139,57.79,57.07,57.64,611,105053
2020-02-12,58.469,58.33,57.81,58.4,555,77080
2020-02-13,59.24,58.76,57.85,58.06,549,68363
2020-02-14,59.09,58.69,58.58,58.9,398,51860
2020-02-18,59.16,59.16,58.5,58.99,492,62820
2020-02-19,60.73,60.37,59.7,60.0,660,111525
2020-02-20,60.589,59.89,58.86,60.16,920,105278
2020-02-21,59.6,58.61,58.29,59.54,509,67549
2020-02-24,56.551,56.02,55.0,55.44,1173,170631
2020-02-25,56.84,54.1,53.82,56.65,1078,127943
2020-02-26,55.12,53.54,53.1,54.4,646,110202
2020-02-27,54.1,51.71,50.731,52.25,1365,158309
2020-02-28,52.84,52.84,49.61,49.68,1561,236301
2020-03-02,54.1,54.08,52.14,53.55,858,94169
2020-03-03,55.45,52.99,51.88,54.69,1280,224631
2020-03-04,54.83,54.79,53.0,54.17,857,73347
2020-03-05,54.41,53.51,53.0,53.2,641,78334
2020-03-06,52.9,52.11,51.11,51.58,1206,167998
2020-03-09,49.76,47.78,47.0,48.0,1025,224320
2020-03-10,50.05,50.05,47.51,49.9,1013,125136
2020-03-11,49.29,46.94,46.41,48.66,726,100048
2020-03-12,43.79,41.03,41.03,43.44,1710,265415
2020-03-13,43.91,42.9,39.13,43.64,1263,194022
2020-03-16,39.48,36.22,36.22,37.55,1345,192757
2020-03-17,39.56,38.23,34.85,37.36,873,133911
2020-03-18,37.4,34.69,33.0,35.5,828,105322
2020-03-19,38.67,37.81,34.2,34.8,934,111925
2020-03-20,40.55,37.85,37.85,39.1,1339,247237
2020-03-23,39.25,38.35,36.73,37.55,1279,204787
2020-03-24,42.24,42.15,40.42,41.13,1358,196935
2020-03-25,45.47,43.79,42.11,43.26,1803,262592
2020-03-26,46.54,45.97,44.26,44.26,2068,302301
2020-03-27,44.95,43.76,43.22,44.46,1309,179168
2020-03-30,44.72,44.6,42.99,44.19,1492,233475
2020-03-31,45.38,44.0,43.28,44.37,1076,101241
2020-04-01,42.51,40.24,39.879,42.42,1227,156970
2020-04-02,41.7,40.49,39.43,39.63,596,96413
2020-04-03,41.45,40.2,39.82,40.95,364,48967
2020-04-06,44.31,44.18,42.1,42.38,687,114003
2020-04-07,46.34,44.22,44.17,46.17,746,115996
2020-04-08,46.2,46.01,44.5,45.17,530,88057
2020-04-09,47.95,47.29,46.62,47.04,821,106888
2020-04-13,47.93,47.85,46.27,47.17,704,96346
2020-04-14,50.81,50.38,49.37,49.72,1189,165604
2020-04-15,50.02,49.56,48.7,49.48,1006,177293
2020-04-16,50.759,50.6,49.3,49.92,702,100071
2020-04-17,52.34,52.26,51.36,52.11,978,186669
2020-04-20,53.83,52.8,51.16,51.64,1097,154510
2020-04-21,52.24,50.61,49.93,51.99,1102,146220
2020-04-22,52.68,52.42,51.3,52.16,955,125542
2020-04-23,53.43,52.01,51.96,52.43,910,112147
2020-04-24,53.359,53.06,51.85,52.38,805,131337
2020-04-27,56.36,55.64,53.8,54.07,1805,255468
2020-04-28,56.73,54.05,53.38,56.73,1601,213659
2020-04-29,56.8,56.63,54.63,55.69,972,112953
2020-04-30,56.84,55.33,55.17,56.72,1334,155572
2020-05-01,54.2,52.38,51.76,53.82,1174,151716
2020-05-04,54.31,54.31,51.54,51.71,636,84241
2020-05-05,56.02,55.06,54.79,55.53,821,123005
2020-05-06,55.85,55.33,54.91,55.33,672,86212
2020-05-07,56.899,56.6,55.8,56.09,1031,134582
2020-05-08,58.449,58.3,56.56,57.16,932,113239
2020-05-11,60.19,59.68,57.4,57.55,1447,181447
2020-05-12,60.5,58.16,58.16,60.5,2310,273088
2020-05-13,58.68,56.33,54.8,58.03,1197,140222
2020-05-14,56.45,56.25,54.31,55.43,645,96232
2020-05-15,58.2,58.09,55.74,55.83,531,74967
2020-05-18,60.64,59.88,59.67,60.07,1089,158976
2020-05-19,61.15,59.82,59.77,60.01,1423,174482
2020-05-20,61.88,61.82,60.52,61.01,1735,277131
2020-05-21,62.33,61.98,60.541,61.82,1043,135341
2020-05-22,62.76,62.76,61.55,61.96,953,118413
2020-05-26,64.9,62.9,62.78,64.9,3043,407329
2020-05-27,63.52,62.51,59.66,63.52,1997,241271
2020-05-28,63.25,61.75,61.53,62.73,1281,133662
2020-05-29,62.99,62.82,61.31,61.94,1212,144312
2020-06-01,65.15,64.8,62.95,63.36,1904,229879
2020-06-02,65.64,65.6,64.05,65.23,1865,250425
2020-06-03,66.72,65.87,65.66,66.42,2917,359389
2020-06-04,66.22,63.95,63.5,65.8,2521,264617
2020-06-05,65.55,64.25,64.1,65.35,1334,134801
2020-06-08,65.37,65.37,64.52,64.99,1711,236661
2020-06-09,66.585,65.61,64.5,64.6,2418,301438
2020-06-10,67.01,66.51,65.68,66.64,3126,379908
2020-06-11,64.42,61.57,61.52,63.93,3335,316269
2020-06-12,63.82,62.42,60.71,63.72,2128,237843
2020-06-15,64.71,64.64,60.74,60.74,3120,397633
2020-06-16,67.03,66.69,64.52,66.75,3810,499088
2020-06-17,67.59,66.5,66.28,67.21,1841,189363
2020-06-18,67.89,67.63,66.37,66.43,1545,185654
2020-06-19,69.249,68.03,67.62,68.75,2204,191972
2020-06-22,71.43,71.29,68.66,68.66,3530,401006
2020-06-23,73.449,72.4,71.58,72.53,5172,654582
2020-06-24,72.46,69.3,68.68,71.63,5121,417563
2020-06-25,70.76,70.58,68.46,69.14,2531,310256
