Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,219.98,219.77,216.725,216.88,15084,2537948
2020-01-03,218.16,217.0,216.4,217.25,10670,1927296
2020-01-06,217.15,216.64,214.1,215.0,10451,3137312
2020-01-07,218.93,217.63,216.7,218.0,9838,1991039
2020-01-08,220.65,218.0,216.44,216.5,14355,3562357
2020-01-09,223.07,221.78,220.84,221.5,15379,2810512
2020-01-10,225.955,223.83,222.1,223.64,17586,2303251
2020-01-13,231.12,230.48,227.05,228.95,16903,3202429
2020-01-14,230.1,226.49,224.93,230.09,22436,3603308
2020-01-15,227.81,225.06,224.4,226.31,13046,2138079
2020-01-16,226.33,223.94,222.74,226.18,15542,2495460
2020-01-17,227.5,227.43,225.4,225.91,12116,2211361
2020-01-21,222.52,222.26,220.745,222.11,17460,3579558
2020-01-22,225.58,222.37,222.01,224.75,13418,1779130
2020-01-23,220.11,219.13,216.77,217.8,21636,3315591
2020-01-24,219.79,213.75,211.33,218.27,24623,3708052
2020-01-27,208.0,205.47,199.5,201.0,36250,5008852
2020-01-28,210.91,210.23,207.2,209.85,20095,4186850
2020-01-29,213.97,212.02,209.57,212.5,16646,2562188
2020-01-30,209.8,208.58,205.04,208.54,24336,2853388
2020-01-31,207.92,206.59,204.75,206.26,26320,3507559
2020-02-03,215.01,213.1,209.44,209.57,20210,3170618
2020-02-04,224.38,222.88,220.5,221.5,22538,3408322
2020-02-05,226.49,220.22,217.55,226.2,27046,3945421
2020-02-06,223.65,220.9,219.8,222.9,21422,3459519
2020-02-07,217.75,216.53,214.88,217.28,20716,3536195
2020-02-10,215.77,215.77,212.36,213.5,24215,5125354
2020-02-11,220.01,217.21,215.3,219.84,28259,3880287
2020-02-12,225.52,224.31,220.22,220.95,21365,3856768
2020-02-13,225.0,220.36,219.0,220.37,29171,4031018
2020-02-14,221.61,219.63,218.23,221.1,14153,2322130
2020-02-18,220.84,220.52,217.52,218.0,14645,2274843
2020-02-19,223.56,222.14,220.75,221.63,14611,2221016
2020-02-20,222.5,218.04,214.26,222.5,23125,3225240
2020-02-21,217.57,212.59,211.56,217.54,23869,3483583
2020-02-24,207.28,206.16,202.51,203.0,30403,4118675
2020-02-25,209.95,205.61,204.1,208.67,28592,3558818
2020-02-26,213.08,208.74,207.21,207.21,32182,5772680
2020-02-27,209.95,205.03,201.86,205.0,42442,6368192
