Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,8.525,8.45,8.38,8.44,2985,1460630
2020-01-03,8.5,8.4,8.33,8.35,2914,1371174
2020-01-06,8.75,8.67,8.32,8.33,4483,2408145
2020-01-07,8.89,8.68,8.595,8.78,4319,2113850
2020-01-08,8.73,8.68,8.58,8.66,4148,1840965
2020-01-09,8.8,8.66,8.65,8.74,2565,1439667
2020-01-10,8.69,8.57,8.5,8.68,2252,1081714
2020-01-13,8.71,8.7,8.49,8.6,1675,929391
2020-01-14,8.79,8.65,8.625,8.72,2441,1216348
2020-01-15,8.88,8.79,8.65,8.65,2947,1509014
2020-01-16,8.99,8.89,8.84,8.85,2494,1243950
2020-01-17,8.96,8.78,8.74,8.95,2442,1055155
2020-01-20,8.77,8.77,8.68,8.75,917,255063
2020-01-21,8.75,8.61,8.6,8.71,2143,1025379
2020-01-22,8.79,8.7,8.62,8.64,1747,727118
2020-01-23,8.76,8.76,8.58,8.68,2244,896223
2020-01-24,8.87,8.68,8.61,8.78,2360,1162560
2020-01-27,8.45,8.26,8.08,8.45,5499,2651473
2020-01-28,8.46,8.44,8.3,8.3,2014,869037
2020-01-29,8.52,8.38,8.36,8.5,3093,1207108
2020-01-30,8.34,8.24,8.15,8.31,2974,1330819
2020-01-31,8.27,8.06,8.02,8.22,4064,1526495
2020-02-03,8.28,8.26,8.06,8.1,2613,1175997
2020-02-04,8.44,8.17,8.16,8.39,4304,1656852
2020-02-05,8.36,8.25,8.2,8.23,2833,1201921
2020-02-06,8.3,8.18,8.15,8.26,2402,1353585
2020-02-07,8.18,8.01,8.01,8.12,2641,1750254
2020-02-10,8.14,8.08,7.94,8.0,2488,870862
2020-02-11,8.25,8.24,8.07,8.11,3216,1224024
2020-02-12,8.32,8.06,8.05,8.3,3125,1448475
2020-02-13,8.03,7.96,7.89,8.02,2437,1116055
2020-02-14,7.96,7.73,7.67,7.94,3477,1620536
2020-02-18,8.28,8.09,7.75,7.8,7319,3158764
2020-02-19,8.25,8.14,8.06,8.16,3170,1172082
2020-02-20,8.25,8.16,8.04,8.14,3434,1367273
2020-02-21,8.16,7.94,7.89,8.13,2935,1750563
2020-02-24,7.67,7.64,7.5,7.5,3248,1289193
2020-02-25,7.75,7.3,7.21,7.73,5974,2533967
2020-02-26,7.51,7.31,7.27,7.27,3658,1506688
2020-02-27,7.17,7.06,6.78,7.03,4761,1980250
2020-02-28,6.95,6.93,6.67,6.69,7981,2814465
2020-03-02,6.92,6.77,6.635,6.91,6186,2172693
2020-03-03,6.84,6.59,6.51,6.81,6553,2449668
