Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-10-19,42.15,41.94,40.08,40.88,48199,5785381
2021-10-20,43.94,43.28,42.1,42.16,40581,5939917
2021-10-21,42.79,40.83,40.42,42.6,35939,4137633
2021-10-22,41.3,39.51,38.9,41.23,22645,2367752
2021-10-25,41.3,40.58,40.55,40.93,9953,1407494
2021-10-26,40.64,40.06,39.99,40.45,9883,1383576
2021-10-27,38.33,38.06,37.501,38.07,12893,1290312
2021-10-28,39.879,39.57,37.34,39.69,10850,1714006
2021-10-29,40.72,40.39,39.35,39.44,7053,1227857
2021-11-01,40.04,39.53,38.63,39.9,7926,1144883
2021-11-02,41.42,40.98,40.57,40.75,7074,1475279
2021-11-03,40.76,40.4,39.13,40.17,6940,1163241
2021-11-04,40.19,39.3,38.97,39.82,7189,931274
2021-11-05,39.849,39.26,39.03,39.61,4139,615298
2021-11-08,42.915,42.56,41.97,42.17,11583,2012617
2021-11-09,43.84,43.32,42.56,43.69,8602,1365507
2021-11-10,44.29,42.31,41.86,43.92,12439,2442068
2021-11-11,42.13,41.62,41.48,41.57,3960,735410
2021-11-12,41.29,41.12,39.96,40.88,8271,1286827
2021-11-15,41.85,40.89,40.73,41.79,7012,1340314
2021-11-16,39.34,38.22,37.92,38.95,14154,1725651
2021-11-17,38.885,38.69,38.03,38.68,8178,1530452
2021-11-18,37.99,37.11,36.26,37.81,16831,2485930
2021-11-19,37.39,37.01,36.91,37.04,7148,1331480
2021-11-22,37.46,35.69,35.62,37.38,10603,2256961
2021-11-23,37.05,37.01,36.22,36.5,5332,1238383
2021-11-24,36.69,36.69,35.72,35.83,5341,1233445
2021-11-26,34.88,34.44,34.32,34.8,7573,1001794
2021-11-29,37.585,37.07,36.22,36.5,5929,1221103
2021-11-30,37.85,36.59,35.98,37.27,6635,1452931
2021-12-01,37.71,36.08,36.03,37.34,5491,1165014
2021-12-02,36.56,36.29,35.62,35.97,4160,793901
2021-12-03,36.1,33.89,32.7,36.06,12189,2328040
2021-12-06,31.42,31.05,30.35,30.71,9719,1927681
2021-12-07,33.08,32.13,31.92,32.44,5162,915499
2021-12-08,32.54,32.25,31.7,31.95,4626,1071434
2021-12-09,31.18,30.21,30.01,31.16,6489,1073911
2021-12-10,31.57,30.75,30.01,31.47,7158,1433091
2021-12-13,30.41,29.56,28.97,30.35,9494,1238399
2021-12-14,30.35,30.32,29.44,29.74,6822,1143457
2021-12-15,31.41,31.25,29.51,30.24,11680,1841650
2021-12-16,31.02,30.36,30.15,30.89,6669,1107898
2021-12-17,30.02,29.29,28.78,29.53,10497,1464978
2021-12-20,29.93,29.78,28.84,28.98,5727,755477
2021-12-21,31.02,30.84,30.65,30.85,2626,494192
2021-12-22,31.22,31.09,30.73,30.91,2689,542251
2021-12-23,32.59,32.34,30.73,30.78,4692,783547
2021-12-27,33.03,32.46,32.28,32.49,3860,661659
2021-12-28,31.15,30.24,29.94,31.06,6487,1149675
2021-12-29,30.4,29.89,29.72,29.99,3951,842956
2021-12-30,30.28,29.81,29.75,29.83,3602,777562
2021-12-31,30.46,28.9,28.85,30.3,5993,798335
2022-01-03,29.86,28.95,28.83,29.75,5766,894714
2022-01-04,30.07,29.22,28.71,29.67,6437,1009016
2022-01-05,29.57,27.64,27.515,29.26,10721,1984251
2022-01-06,27.47,27.28,26.8,27.01,7826,1202949
2022-01-07,26.6,26.41,25.56,26.34,10064,1637226
2022-01-10,26.52,26.31,24.88,25.06,11613,2160644
2022-01-11,27.21,27.01,26.0,26.1,7108,1290710
2022-01-12,27.765,27.62,27.32,27.63,5978,1234126
2022-01-13,28.02,26.96,26.65,27.92,6165,978351
2022-01-14,27.37,27.17,26.54,26.62,6538,1319336
2022-01-18,26.33,26.28,25.97,26.14,5401,885939
2022-01-19,26.85,26.2,26.13,26.59,3929,714472
2022-01-20,27.425,26.9,26.72,26.72,6263,1278123
2022-01-21,24.58,24.1,23.64,24.26,13966,2724424
2022-01-24,23.64,23.48,20.92,21.17,15115,3315664
2022-01-25,23.66,23.22,22.66,23.1,9779,2263766
2022-01-26,24.47,23.25,23.09,24.2,10773,2174205
2022-01-27,23.41,22.31,22.31,23.22,8104,1736704
2022-01-28,23.81,23.77,23.01,23.33,6039,1157608
2022-01-31,24.39,24.16,23.39,23.48,3227,650941
2022-02-01,24.7,24.2,24.01,24.48,3126,810421
2022-02-02,24.12,23.58,23.27,24.12,3083,648324
2022-02-03,23.31,22.84,22.78,22.96,2681,589743
2022-02-04,25.73,25.56,23.58,23.76,9942,2252634
2022-02-07,28.05,27.83,26.89,27.01,7365,1650269
2022-02-08,27.92,27.92,26.89,27.44,4251,769510
2022-02-09,28.23,28.23,27.5,27.69,3411,628099
2022-02-10,28.83,27.74,27.38,27.38,5489,1185408
2022-02-11,27.66,26.65,26.43,27.42,7435,1616537
2022-02-14,26.97,26.53,26.28,26.86,3905,1002497
2022-02-15,28.04,27.8,27.59,27.88,2721,687447
2022-02-16,27.92,27.76,27.25,27.46,3482,609379
2022-02-17,26.58,25.7,25.64,26.47,6992,1182047
2022-02-18,25.62,25.11,24.79,25.37,5839,1402975
2022-02-22,24.07,23.79,23.475,23.55,6000,986124
2022-02-23,24.5,23.61,23.425,24.43,3211,1003790
2022-02-24,24.94,24.06,22.09,22.11,7824,2320264
2022-02-25,24.85,24.53,24.17,24.66,4405,1091810
2022-02-28,26.38,26.38,24.49,24.49,8843,2490900
2022-03-01,28.01,27.78,27.15,27.95,7631,1840348
2022-03-02,28.5,27.58,27.31,27.55,4446,1046794
2022-03-03,27.61,26.41,26.26,27.59,6415,2602113
2022-03-04,26.07,24.78,24.52,25.94,6881,1098135
2022-03-07,24.79,23.56,23.32,24.57,6474,1538156
2022-03-08,24.71,24.15,23.93,24.3,7140,1479470
2022-03-09,26.78,26.32,26.23,26.47,6675,1620675
2022-03-10,24.95,24.86,24.35,24.56,4712,858030
2022-03-11,24.87,24.02,23.99,24.71,4731,851642
2022-03-14,24.59,24.32,24.1,24.32,4250,672918
2022-03-15,25.0,24.95,24.14,24.35,3839,953882
2022-03-16,25.86,25.66,24.72,25.39,5903,1381488
2022-03-17,25.86,25.65,25.5,25.7,2201,385200
2022-03-18,26.43,26.43,25.31,25.4,4619,841360
2022-03-21,26.06,25.85,25.53,25.91,3733,805965
2022-03-22,27.17,26.58,26.54,26.93,3908,1032125
2022-03-23,26.87,26.5,26.31,26.54,3134,796878
2022-03-24,27.845,27.63,26.78,26.91,5811,1144600
2022-03-25,28.375,27.94,27.64,28.2,7722,1551486
2022-03-28,30.285,30.13,29.71,29.76,6446,1109586
2022-03-29,30.21,29.98,29.615,30.05,4282,641068
2022-03-30,29.999,29.5,29.37,29.61,3682,600893
2022-03-31,29.65,28.56,28.54,29.65,4069,846226
2022-04-01,29.328,29.11,28.37,28.44,5231,1322004
2022-04-04,29.04,28.78,28.25,28.83,3979,664284
2022-04-05,29.2,28.84,28.46,29.13,3959,770089
2022-04-06,28.13,27.34,26.96,28.11,6829,1290044
2022-04-07,27.4,27.07,26.9,27.12,4887,953531
2022-04-08,27.54,26.68,26.515,26.77,5592,958104
2022-04-11,25.75,24.91,24.84,25.57,4495,772365
2022-04-12,25.31,24.49,24.49,25.3,3572,787384
2022-04-13,25.96,25.67,24.81,24.83,3461,745467
2022-04-14,25.81,24.88,24.735,25.73,4241,863201
2022-04-18,25.67,25.39,24.38,24.62,4026,1001538
2022-04-19,26.1,25.93,25.54,25.59,2506,583282
2022-04-20,26.31,25.74,25.515,26.3,3258,1064627
2022-04-21,26.87,25.74,25.73,26.8,3032,798206
2022-04-22,25.35,24.63,24.445,25.25,4559,912653
2022-04-25,25.22,25.1,24.11,24.2,4082,1053888
2022-04-26,25.1,23.86,23.595,25.1,4835,888414
2022-04-27,24.64,24.23,23.97,24.32,3174,639399
2022-04-28,25.24,24.94,24.25,24.62,5902,1089671
2022-04-29,24.56,23.84,23.76,24.33,4034,930127
2022-05-02,24.38,24.0,23.685,24.18,5605,910415
2022-05-03,23.96,23.43,23.32,23.9,4671,949266
2022-05-04,24.97,24.87,24.04,24.34,5838,1278071
2022-05-05,24.57,22.61,22.14,24.57,11803,2047019
2022-05-06,22.63,22.39,21.94,22.36,5933,858721
2022-05-09,20.79,19.23,18.87,20.36,13264,2034825
2022-05-10,20.14,19.44,19.18,19.98,7597,1375558
2022-05-11,19.87,18.18,18.1,18.55,15772,2775450
2022-05-12,18.53,17.71,17.23,17.7,13145,2595842
2022-05-13,19.28,18.68,18.26,19.01,7053,1149376
2022-05-16,18.62,18.32,18.07,18.56,4335,668382
2022-05-17,19.12,18.67,18.31,19.0,4963,1084562
2022-05-18,18.38,18.13,17.82,18.3,5078,945535
2022-05-19,18.98,18.62,18.23,18.42,4932,906850
2022-05-20,18.89,18.19,17.82,18.83,4624,804286
2022-05-23,19.0,18.04,18.04,18.92,4641,906593
2022-05-24,18.4,18.22,17.77,18.17,7196,1712534
2022-05-25,18.66,18.35,18.25,18.29,4388,966611
2022-05-26,18.52,18.23,17.49,17.49,7645,1948060
2022-05-27,18.24,17.89,17.485,18.12,8506,2329915
2022-05-31,20.16,19.63,19.39,19.78,7531,1840798
2022-06-01,19.83,18.65,18.565,19.8,4468,956563
2022-06-02,18.9,18.81,18.44,18.51,3692,1032337
2022-06-03,18.46,18.34,18.13,18.34,3255,718161
2022-06-06,19.75,19.56,19.29,19.53,3950,989826
2022-06-07,19.5,19.29,18.24,18.34,4066,1156051
2022-06-08,19.15,18.68,18.545,18.83,3121,891481
2022-06-09,18.895,18.59,18.56,18.71,1556,475282
2022-06-10,18.38,17.95,17.845,18.21,4125,784960
2022-06-13,15.02,14.32,14.0,14.5,16450,4049717
2022-06-14,14.13,13.73,13.64,13.94,10086,2642283
2022-06-15,13.89,13.4,12.55,13.25,14855,3726550
2022-06-16,13.295,12.92,12.84,13.18,5705,2029779
2022-06-17,12.95,12.72,12.6,12.78,5940,1703200
2022-06-21,13.465,12.95,12.935,13.12,5521,1727238
2022-06-22,12.94,12.47,12.265,12.74,4803,1411667
2022-06-23,12.965,12.95,12.46,12.72,3828,1282857
2022-06-24,13.255,13.16,12.88,13.16,3582,1092422
2022-06-27,13.15,12.87,12.635,13.15,4069,1225766
2022-06-28,13.055,12.47,12.46,13.0,3253,973518
2022-06-29,12.525,12.48,12.265,12.42,2612,972677
2022-06-30,11.88,11.61,11.56,11.87,3618,1157085
2022-07-01,12.14,11.96,11.86,11.89,3826,1216942
2022-07-05,12.665,12.63,11.91,11.95,3917,1491233
2022-07-06,12.655,12.56,12.38,12.48,2718,856936
2022-07-07,13.535,13.53,12.585,12.61,4168,1482925
2022-07-08,13.68,13.48,13.1,13.2,4794,1540602
2022-07-11,12.8,12.66,12.5,12.7,2751,773751
2022-07-12,12.37,11.95,11.88,12.27,3621,1280912
2022-07-13,12.34,12.12,11.68,11.73,3739,1049017
2022-07-14,12.9,12.75,12.12,12.17,3676,925088
2022-07-15,13.1,13.1,12.77,12.96,2728,733957
2022-07-18,14.09,13.37,13.225,13.75,6141,2065343
2022-07-19,14.65,14.51,13.64,13.81,6310,2649905
2022-07-20,15.02,14.64,14.495,14.78,8232,2858559
2022-07-21,14.39,14.39,13.82,14.05,3770,1747148
2022-07-22,14.71,13.98,13.94,14.6,3026,1258593
2022-07-25,13.61,13.54,13.34,13.55,2498,928304
2022-07-26,13.02,12.92,12.8,12.95,2694,1018261
2022-07-27,14.29,14.12,13.16,13.16,4240,1640798
2022-07-28,14.945,14.79,14.075,14.32,4419,1579423
2022-07-29,15.03,14.83,14.53,14.65,3919,1934401
2022-08-01,14.55,14.21,14.14,14.3,2813,1313477
2022-08-02,14.5,14.19,14.01,14.08,2338,1123837
2022-08-03,14.585,14.53,14.355,14.38,2673,1200753
2022-08-04,14.31,13.83,13.825,14.17,3516,1343556
2022-08-05,14.45,14.17,14.045,14.23,3188,1766131
2022-08-08,15.01,14.79,14.715,14.87,2995,1478052
2022-08-09,14.39,14.23,14.1,14.37,2094,586220
2022-08-10,14.94,14.6,14.52,14.92,3859,1561618
2022-08-11,15.41,14.98,14.875,15.22,4109,1583547
2022-08-12,14.99,14.96,14.625,14.7,2393,1068639
2022-08-15,14.985,14.8,14.785,14.89,1634,601078
2022-08-16,14.835,14.77,14.575,14.76,1934,688684
2022-08-17,14.58,14.31,14.3,14.57,2145,952740
2022-08-18,14.49,14.39,14.315,14.49,1329,629102
2022-08-19,13.295,13.08,12.975,13.23,3890,1390974
2022-08-22,13.21,12.93,12.88,13.01,2257,738837
2022-08-23,13.34,13.25,13.135,13.17,1582,627376
2022-08-24,13.46,13.35,13.14,13.17,1271,491351
2022-08-25,13.37,13.24,13.135,13.26,1645,636147
2022-08-26,13.4,12.59,12.515,13.38,4022,1729551
2022-08-29,12.515,12.32,12.22,12.24,2739,1018489
2022-08-30,12.535,12.18,11.93,12.47,2292,1106376
2022-08-31,12.52,12.36,12.145,12.44,1606,971192
2022-09-01,12.27,12.15,11.91,12.21,1959,1662453
2022-09-02,12.56,12.18,12.055,12.49,2641,1923316
2022-09-06,12.19,11.47,11.455,12.16,4273,2628117
2022-09-07,11.775,11.66,11.51,11.53,2201,1320668
2022-09-08,11.9,11.9,11.675,11.71,1804,1252819
2022-09-09,13.235,13.17,12.9,12.91,3838,1663998
2022-09-12,13.885,13.85,13.595,13.79,3211,1297701
2022-09-13,13.25,12.49,12.37,13.15,3471,1740679
2022-09-14,12.53,12.28,12.09,12.52,2500,1134434
2022-09-15,12.42,12.16,11.995,12.31,2387,1167560
2022-09-16,12.17,12.06,11.875,12.16,2572,1018414
2022-09-19,12.03,12.0,11.54,11.54,2740,1005705
2022-09-20,11.865,11.65,11.515,11.62,2354,1004214
2022-09-21,12.22,11.67,11.51,11.87,4486,2399988
2022-09-22,11.99,11.87,11.545,11.77,2461,1745305
2022-09-23,11.7,11.55,11.37,11.69,2908,1479122
2022-09-26,11.87,11.81,11.67,11.72,2080,1086785
2022-09-27,12.53,11.74,11.57,12.4,3017,1826802
2022-09-28,12.12,12.05,11.71,11.79,2402,1466249
2022-09-29,12.09,11.96,11.58,11.87,2115,947666
2022-09-30,12.45,11.99,11.83,11.83,3172,1698752
2022-10-03,12.135,12.06,11.75,11.83,2296,1380467
2022-10-04,12.535,12.52,12.28,12.34,2526,1535652
2022-10-05,12.58,12.41,12.19,12.28,1826,799254
2022-10-06,12.56,12.35,12.26,12.41,1741,946900
2022-10-07,12.12,11.96,11.89,12.1,2460,1182464
2022-10-10,11.945,11.79,11.735,11.93,2705,722739
2022-10-11,11.805,11.66,11.575,11.74,2061,916268
2022-10-12,11.795,11.77,11.7,11.73,1093,437826
2022-10-13,12.03,11.95,11.18,11.22,4247,2411993
2022-10-14,12.19,11.8,11.775,12.14,2605,1343718
2022-10-17,12.14,12.05,11.975,12.07,1907,706124
2022-10-18,12.15,11.84,11.755,12.12,1734,762213
2022-10-19,11.88,11.84,11.75,11.81,1051,422784
2022-10-20,11.93,11.74,11.68,11.79,1529,559638
2022-10-21,11.875,11.84,11.625,11.68,2065,1023553
2022-10-24,11.985,11.94,11.81,11.93,1422,831026
2022-10-25,12.615,12.54,11.94,11.94,4062,2039794
2022-10-26,12.995,12.84,12.57,12.64,4022,2020451
2022-10-27,12.84,12.79,12.645,12.83,1987,1155470
2022-10-28,12.835,12.74,12.56,12.56,2442,1233508
2022-10-31,12.79,12.57,12.47,12.76,2024,808529
2022-11-01,12.675,12.63,12.54,12.66,988,420408
2022-11-02,12.865,12.47,12.395,12.6,2663,1372427
2022-11-03,12.56,12.5,12.39,12.44,1548,829316
2022-11-04,13.195,13.06,12.77,12.89,4116,2249991
2022-11-07,12.909,12.85,12.745,12.8,1534,815123
2022-11-08,12.74,11.13,10.4,12.06,15806,7979684
2022-11-09,10.89,9.66,9.605,10.69,14919,7291134
2022-11-10,11.01,10.86,9.975,10.28,10991,8847148
2022-11-11,10.2,9.78,9.69,9.78,6706,3175737
2022-11-14,10.06,9.81,9.75,9.99,4160,2384455
2022-11-15,10.37,10.27,10.06,10.23,5095,1690003
2022-11-16,10.035,10.0,9.84,9.98,3015,1275288
2022-11-17,10.2,10.16,9.96,9.96,1811,809536
2022-11-18,10.21,10.14,10.045,10.21,1228,554761
2022-11-21,9.96,9.59,9.48,9.87,3829,1830416
2022-11-22,9.9,9.79,9.705,9.76,2209,1060463
2022-11-23,10.19,10.19,9.895,9.92,1538,802235
2022-11-25,10.21,10.19,10.11,10.11,792,355280
2022-11-28,10.05,9.99,9.795,9.96,1577,728343
2022-11-29,10.17,10.16,10.04,10.09,709,368149
2022-11-30,10.715,10.7,10.36,10.4,2140,1077625
2022-12-01,10.7,10.54,10.49,10.6,2108,1380748
2022-12-02,10.655,10.64,10.51,10.51,606,319649
2022-12-05,10.77,10.53,10.495,10.73,1082,515873
2022-12-06,10.63,10.61,10.52,10.61,965,425978
2022-12-07,10.55,10.47,10.435,10.54,581,280596
2022-12-08,10.835,10.78,10.49,10.5,1308,818218
2022-12-09,10.76,10.66,10.66,10.71,635,344933
