Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,77.2,75.64,75.26,76.23,21193,2223755
2020-01-03,76.2,75.41,74.3136,75.12,17230,1629314
2020-01-06,75.75,74.59,73.83,74.97,22498,2328628
2020-01-07,84.88,83.89,75.0,75.0,100600,12172435
2020-01-08,88.27,81.48,81.16,86.0,149718,18235633
2020-01-09,90.3994,90.25,81.35,82.98,134944,17130348
2020-01-10,97.9,96.07,90.25,91.8235,181089,22571699
2020-01-13,115.5,114.34,98.8,99.71,252415,29836220
2020-01-14,135.23,117.05,114.28,124.73,414541,50768044
2020-01-15,115.2499,107.08,106.11,110.79,188835,23034968
2020-01-16,114.4,110.4,107.25,111.27,110152,15080519
2020-01-17,113.11,109.12,107.43,110.84,79644,10445474
2020-01-21,129.55,129.18,111.1201,113.0,248649,29423969
2020-01-22,134.7,122.4,119.01,126.93,213973,25189110
2020-01-23,120.99,118.64,112.88,119.75,98268,12073827
2020-01-24,126.74,119.49,116.42,123.81,103852,13241545
2020-01-27,129.83,124.75,119.6,119.8,153005,18454187
2020-01-28,127.885,120.12,117.26,124.43,103746,12237584
2020-01-29,123.8,114.88,113.63,123.74,107871,13028726
2020-01-30,118.47,117.29,114.49,115.4,57036,6708374
2020-01-31,118.15,110.42,108.03,117.43,75059,8055241
2020-02-03,112.7,106.0,102.43,111.81,95134,11109948
2020-02-04,114.15,110.43,106.5,106.77,70091,8532855
2020-02-05,113.99,110.17,108.96,113.5,48695,5428389
2020-02-06,113.005,111.89,109.5501,111.9965,36400,4170432
2020-02-07,120.52,116.44,111.3,111.98,97209,12762168
2020-02-10,122.5,119.73,116.1,118.49,81734,10574178
2020-02-11,123.1,117.14,116.1,120.46,65000,7971117
2020-02-12,119.5,114.73,113.77,117.28,49202,6242452
2020-02-13,117.0,112.01,111.0,114.79,63036,7911186
2020-02-14,117.47,116.22,112.31,113.0,56378,6969187
2020-02-18,123.7,122.03,117.5765,118.0,69884,8660971
2020-02-19,129.0,126.1,122.1,124.07,78535,8705669
2020-02-20,126.1,120.58,115.14,126.08,72320,8376536
2020-02-21,122.0,117.45,116.03,120.62,46568,5578304
2020-02-24,114.8,113.96,109.05,110.0,54646,5926473
2020-02-25,116.8,109.92,108.14,115.12,53912,5461206
2020-02-26,118.2,112.51,111.55,115.33,64414,7260913
2020-02-27,111.5,106.14,103.5,110.34,79694,7833633
2020-02-28,91.77,89.65,85.0,88.0,139308,13231154
2020-03-02,96.8,96.1,90.3,95.0,67791,7240451
2020-03-03,101.6688,95.43,94.63,101.6,83786,9611924
2020-03-04,101.93,101.89,97.7,99.02,57509,6576845
2020-03-05,100.25,95.87,95.07,99.24,47702,4337393
2020-03-06,96.44,96.09,91.6,92.9,44026,4210292
2020-03-09,91.65,87.96,82.22,85.5,52418,5221223
2020-03-10,92.8899,90.98,85.61,92.05,45516,4388306
2020-03-11,89.52,82.64,81.3255,87.87,45999,4215048
2020-03-12,76.11,74.0,68.85,72.5,64961,7098971
2020-03-13,79.4466,73.06,68.61,76.01,55442,5493986
2020-03-16,66.19,61.55,60.14,63.82,55243,5988728
2020-03-17,65.89,60.32,57.76,61.56,55446,5631525
2020-03-18,58.308,54.02,51.0,56.15,47466,4744602
2020-03-19,58.8,57.33,48.18,52.05,51974,5759843
2020-03-20,63.4777,57.99,54.1495,59.61,47618,5121461
2020-03-23,60.8699,57.55,55.11,57.51,37663,3675470
2020-03-24,69.75,67.43,62.0,62.35,55484,5678798
2020-03-25,78.6,73.0,70.5638,73.13,66123,6706071
2020-03-26,72.96,71.1,66.42,69.5,73688,7964573
2020-03-27,68.215,66.12,64.22,68.17,43685,4075686
2020-03-30,68.5,66.09,63.82,67.0,31142,3106673
2020-03-31,69.0,66.6,65.34,67.2,24044,2564594
2020-04-01,65.68,64.18,63.19,64.2,22336,2368512
2020-04-02,63.9695,57.95,57.0,63.86,53583,4847367
2020-04-03,60.85,59.91,57.12,59.01,33576,3221564
2020-04-06,66.66,65.92,62.05,62.75,38023,3839079
2020-04-07,71.8,67.43,65.2939,70.01,37935,4450326
2020-04-08,71.4,69.47,67.39,68.35,24492,2386970
2020-04-09,74.72,72.3,70.6,71.68,34744,3338273
2020-04-13,77.16,76.67,71.23,73.01,32192,3299214
2020-04-14,82.63,78.05,77.2,79.99,47368,4982573
2020-04-15,77.0,74.7,72.62,76.71,32078,2968548
2020-04-16,76.07,74.82,72.9,75.42,21927,2040483
2020-04-17,78.0,76.91,75.33,77.78,21682,2131077
2020-04-20,83.62,79.12,76.0,76.24,43427,4607036
2020-04-21,92.0,84.96,82.103,87.51,123932,13184856
2020-04-22,90.39,88.46,85.14,87.0,57976,6128850
2020-04-23,101.5599,99.78,89.295,89.87,112518,11319859
2020-04-24,113.48,108.78,103.0,105.0,197981,21206159
2020-04-27,116.64,99.63,97.5,111.92,201125,20131494
2020-04-28,104.48,99.52,97.25,101.97,71699,7076457
2020-04-29,103.0,100.1,97.92,100.56,48180,4531257
2020-04-30,107.0,98.99,96.13,98.19,70767,6718848
2020-05-01,98.72,91.53,89.9,94.4,72373,6558425
2020-05-04,95.4708,95.16,88.51,89.0,45697,4267757
2020-05-05,102.5,100.16,96.6628,100.5,120894,11915162
2020-05-06,126.5,126.21,110.0,110.26,363797,38572424
2020-05-07,127.84,122.66,117.12,126.72,217165,22970954
2020-05-08,136.0,133.51,119.1011,123.47,214732,22524851
2020-05-11,139.29,130.82,129.0,129.51,151818,15832017
2020-05-12,145.5,136.93,131.89,133.97,192743,21441859
2020-05-13,147.55,134.51,127.21,140.58,212692,22508226
2020-05-14,141.0,135.41,131.2103,133.49,119452,12681816
2020-05-15,140.2,134.16,132.63,134.98,80548,8232888
2020-05-18,137.95,130.03,128.81,137.49,91146,8031608
2020-05-19,142.0,136.2,132.67,132.73,129361,13729717
2020-05-20,144.92,140.5,137.04,142.07,96159,9777919
2020-05-21,141.915,138.11,134.45,141.03,69042,5531806
2020-05-22,139.38,136.8,135.07,137.26,41927,3318570
2020-05-26,139.88,132.87,131.5,139.83,63081,4639144
2020-05-27,131.98,123.15,116.0,130.71,131487,10083678
2020-05-28,126.5993,120.82,120.0,121.55,65885,5003373
2020-05-29,129.0,128.29,121.5,122.15,84590,7684516
2020-06-01,139.2,138.69,133.28,134.31,118649,11557778
2020-06-02,136.7499,135.19,132.14,136.13,73256,6732949
2020-06-03,138.45,134.23,133.22,135.0,51211,4649008
2020-06-04,142.21,136.44,133.16,133.86,95057,7779604
2020-06-05,137.89,133.53,132.77,136.05,64507,4611995
2020-06-08,163.22,162.46,135.75,137.02,214689,20318886
2020-06-09,161.54,153.95,148.56,156.71,148844,13834052
2020-06-10,163.08,156.16,153.65,155.0,99184,8852260
2020-06-11,155.24,143.51,140.25,147.21,114356,9487201
2020-06-12,151.9412,144.74,141.65,151.33,74950,5704968
2020-06-15,154.4,154.0,141.01,142.6,75651,6470464
2020-06-16,157.35,151.94,147.5405,156.5,63189,4806318
2020-06-17,167.16,156.34,154.37,155.98,167920,16144354
2020-06-18,160.97,158.2,154.88,157.26,69313,6264252
2020-06-19,165.46,158.28,156.87,160.2,82488,7732060
2020-06-22,164.96,159.63,158.6,161.39,56032,5035031
2020-06-23,160.137,152.79,151.56,159.42,94586,7571077
2020-06-24,156.5799,151.38,148.5,150.0935,65731,5063373
2020-06-25,151.75,145.35,136.0,149.0,158454,13608756
2020-06-26,146.0,141.68,140.25,143.78,46877,4284353
2020-06-29,134.21,131.55,125.0,133.65,139812,10411256
2020-06-30,136.606,133.98,130.5501,132.79,64673,4915787
2020-07-01,151.53,141.64,138.77,146.67,168804,14713359
2020-07-02,146.95,140.72,140.3,146.66,64242,4938832
2020-07-06,144.72,143.0,140.15,143.0,56177,4625862
2020-07-07,146.45,143.11,138.5,142.59,59729,4844598
2020-07-08,145.95,144.98,140.75,143.41,42963,3049115
2020-07-09,145.5,141.22,136.5,145.0,64656,4505223
2020-07-10,136.65,135.03,130.75,135.21,77892,5998305
2020-07-13,136.17,125.98,125.88,135.1,100599,6980858
2020-07-14,129.99,127.78,125.27,126.01,47022,3448069
2020-07-15,135.66,131.75,126.87,129.12,78741,6835827
2020-07-16,133.6,128.45,126.4572,129.59,65193,5508597
2020-07-17,129.7399,128.27,126.6,128.67,33195,2693391
2020-07-20,129.1281,128.5,126.51,128.31,35633,2487324
2020-07-21,135.92,129.92,128.75,129.84,60292,5015951
2020-07-22,133.07,130.57,128.7,130.15,34581,2716749
2020-07-23,132.8,127.15,124.5611,130.08,49876,3561641
2020-07-24,126.4,125.09,120.3201,124.015,39499,2700867
2020-07-27,126.78,126.72,122.25,125.25,41795,2912188
2020-07-28,129.5781,125.43,124.95,124.95,28274,2062421
2020-07-29,128.34,126.68,125.21,126.5,28289,2110937
2020-07-30,127.14,123.32,122.11,126.14,37129,2667629
2020-07-31,125.9,125.9,122.41,124.09,38144,2964273
2020-08-03,134.4,134.32,127.15,128.65,73877,5635003
2020-08-04,142.51,142.25,134.16,138.6665,128369,10277615
2020-08-05,138.39,132.69,130.0,130.14,120448,10613673
2020-08-06,136.23,132.58,131.57,133.53,50982,3954018
2020-08-07,135.98,131.51,130.5,132.33,44140,3478630
2020-08-10,132.5675,127.43,124.66,132.2,51399,3538878
2020-08-11,128.57,125.5,124.4,127.38,38763,2602927
2020-08-12,126.77,123.83,123.09,126.28,49258,3609939
2020-08-13,127.45,126.99,124.5,124.83,37180,2528227
2020-08-14,127.35,125.04,124.65,127.05,22939,1426121
2020-08-17,126.75,125.5,123.96,125.56,26088,1708391
2020-08-18,126.64,124.31,122.67,125.15,33433,2111181
2020-08-19,126.74,125.35,121.3538,124.31,42387,3013490
2020-08-20,129.64,127.92,123.27,124.58,36430,2546505
2020-08-21,128.67,126.0,125.3,127.13,29327,1791763
2020-08-24,127.4,124.51,123.75,126.24,29491,1915132
2020-08-25,125.83,124.51,123.0127,125.0,30658,1930232
2020-08-26,126.1323,125.52,123.36,124.4,31231,2258436
2020-08-27,138.5,132.15,128.78,129.5,128245,10979526
2020-08-28,134.6418,131.02,129.59,132.28,39769,2874285
2020-08-31,138.25,135.85,133.1,135.21,57759,4298669
2020-09-01,136.68,135.24,131.8,136.05,38575,2600321
2020-09-02,135.99,129.7,129.4,135.99,44024,3004880
2020-09-03,142.5,129.8,128.71,133.01,124484,10864308
2020-09-04,134.72,125.82,120.55,130.62,61959,4671068
2020-09-08,137.78,134.47,123.45,123.81,85320,7318283
2020-09-09,139.47,138.17,132.2483,132.5,52479,4381364
2020-09-10,149.57,143.04,138.59,139.4,103533,8189288
2020-09-11,144.07,134.88,132.45,144.0,55138,3989222
2020-09-14,145.37,143.18,136.05,136.15,60680,4812042
2020-09-15,150.0,146.48,141.4134,144.12,56026,4324387
2020-09-16,158.6,156.57,146.16,147.48,103064,8254012
2020-09-17,157.58,157.22,149.26,150.5,57686,4795981
2020-09-18,153.44,149.04,146.02,150.0,87246,8810022
2020-09-21,149.07,148.8,140.31,144.255,53022,3839272
2020-09-22,162.5,153.82,150.38,150.53,99210,8806287
2020-09-23,157.5,150.57,149.41,154.44,40066,2890852
2020-09-24,150.9725,147.9,144.7,148.51,33938,2461122
2020-09-25,155.91,155.02,148.0,149.47,37238,2569214
2020-09-28,160.0,151.3,150.41,158.2,40748,2675858
2020-09-29,170.45,165.66,159.15,160.0,208769,20654965
2020-09-30,172.45,166.06,163.84,164.8326,73893,6050715
2020-10-01,172.69,170.6,165.88,169.24,60294,4729154
2020-10-02,171.75,166.24,164.81,165.59,43200,2949030
2020-10-05,175.89,175.49,166.7592,168.65,54434,4163209
2020-10-06,186.7,181.86,175.0,176.23,108871,8478843
2020-10-07,191.6,189.14,184.2,184.65,74524,5167850
2020-10-08,197.5,193.38,188.6403,193.0,79730,5878861
2020-10-09,195.91,194.945,190.45,194.66,48091,3107515
2020-10-12,197.25,192.3,190.76,196.53,43205,2506008
2020-10-13,189.06,187.62,180.96,184.39,80332,5048405
2020-10-14,191.43,188.73,186.0,186.64,40448,2554267
2020-10-15,189.0,184.85,183.4,184.68,37387,2274423
2020-10-16,188.31,183.58,182.35,187.17,32200,1961644
2020-10-19,188.59,184.14,181.1,184.11,35570,2255048
2020-10-20,185.0585,176.29,175.95,185.0585,41716,2362468
2020-10-21,181.07,177.91,176.0075,177.59,31383,1845599
2020-10-22,178.84,172.17,167.9,178.42,52807,3283687
2020-10-23,174.124,171.73,168.1,173.0,30319,1711194
2020-10-26,175.34,164.54,161.84,171.42,45767,2731482
2020-10-27,167.01,161.95,160.85,165.0,33385,1894568
2020-10-28,160.52,156.05,154.745,159.5,38297,2426584
2020-10-29,157.45,151.85,151.35,157.44,36562,1985042
2020-10-30,152.3,142.43,141.07,150.5,49450,3166862
2020-11-02,148.0,143.56,141.4746,145.35,35249,2155355
2020-11-03,150.76,146.35,145.71,146.26,33862,2145117
2020-11-04,153.1098,149.29,148.21,150.1,30260,1673405
2020-11-05,157.35,157.04,152.3173,153.5,41462,2653324
2020-11-06,158.94,156.86,154.31,156.78,34065,2302248
2020-11-09,170.8,150.5,141.2524,164.37,288520,21307456
2020-11-10,131.92,125.01,113.26,118.92,348913,29678124
2020-11-11,129.8999,127.89,125.1,127.09,98426,7151552
2020-11-12,132.417,128.9,126.88,129.47,96313,6389754
2020-11-13,130.419,124.74,123.2501,130.29,83288,5342966
2020-11-16,127.95,127.15,121.53,126.3,82938,5256742
2020-11-17,129.97,129.9,126.1574,126.6166,48515,2845617
2020-11-18,137.01,134.01,132.0,132.0,97540,7279939
2020-11-19,139.65,137.42,134.08,134.65,55138,3402318
2020-11-20,138.25,136.56,133.6,138.2,45024,2658009
2020-11-23,144.15,140.96,136.25,136.75,55806,3616629
2020-11-24,145.89,141.83,140.0,143.74,42524,2819722
2020-11-25,142.6,139.58,137.71,140.67,37796,2143560
2020-11-27,144.8,142.2,140.5,141.0,25330,1565732
2020-11-30,143.45,139.9,135.59,142.39,45749,2560527
2020-12-01,140.91,137.25,134.63,140.77,47153,2590905
2020-12-02,140.0,138.53,134.66,135.65,30253,2095828
2020-12-03,144.7,139.35,139.01,140.56,47803,3062122
2020-12-04,140.853,139.62,137.9,140.6802,34533,1983303
2020-12-07,139.78,136.94,135.66,139.0,48928,2834866
2020-12-08,141.67,140.72,136.34,136.61,45434,3021199
2020-12-09,147.25,136.93,136.6,141.45,66596,4232494
2020-12-10,139.01,137.46,134.54,137.32,36820,2208597
2020-12-11,141.19,138.7,136.2396,137.5,32232,1828714
2020-12-14,142.59,137.73,136.68,139.43,41341,3124753
2020-12-15,140.45,137.61,135.13,139.72,39401,2426645
2020-12-16,141.6,139.37,137.63,138.15,34089,2210274
2020-12-17,143.9,143.23,138.9,140.0,43295,2947228
2020-12-18,145.79,144.73,141.9,143.23,37267,2686624
2020-12-21,143.4,138.57,138.11,141.0,46930,3127397
2020-12-22,141.46,138.68,136.42,140.0,36735,2288621
2020-12-23,141.17,139.92,136.14,138.71,28950,1790790
2020-12-24,140.4,136.59,135.06,139.59,30753,1969738
2020-12-28,137.35,126.44,126.33,136.6427,106009,5988592
2020-12-29,129.92,125.9,123.8801,127.77,58544,3489552
2020-12-30,128.58,126.49,125.06,126.79,41287,2606043
2020-12-31,126.6195,125.0,123.22,126.56,42610,2650109
2021-01-04,126.08,125.57,121.6,125.83,51167,2912331
2021-01-05,128.88,126.07,124.32,125.55,37610,2370758
2021-01-06,125.7699,117.63,117.36,123.2854,133720,8515480
2021-01-07,121.5,120.7,116.5,119.5,74739,4585149
2021-01-08,121.49,118.1,116.7366,121.2,72667,4443852
2021-01-11,117.98,116.64,114.05,116.71,60701,3986304
2021-01-12,120.7,120.51,116.12,117.45,47924,3261946
2021-01-13,128.81,125.35,120.2147,120.93,73161,5691141
2021-01-14,144.78,142.47,129.5,130.4965,160794,12970648
2021-01-15,143.8,140.1,135.83,138.7467,70658,5558728
2021-01-19,143.46,141.64,136.51,141.16,50194,3386888
2021-01-20,140.4721,135.21,134.27,138.19,54881,3980464
2021-01-21,137.09,134.61,132.0,136.15,36355,2735334
2021-01-22,142.93,140.7,133.03,133.96,53315,4353725
2021-01-25,164.2511,158.73,141.76,141.89,160402,12868765
2021-01-26,221.0,186.83,183.6,218.9,390673,33562126
2021-01-27,203.44,192.08,182.3,182.8,143963,9672549
2021-01-28,192.0,179.79,177.0,187.245,72777,4443245
2021-01-29,189.37,178.08,177.44,178.9,49943,3136512
2021-02-01,181.0,177.97,170.831,179.63,47537,3048212
2021-02-02,178.425,167.16,163.02,178.26,73806,5385569
2021-02-03,170.88,168.29,164.0,165.1,39384,3039216
2021-02-04,173.49,169.25,165.3252,170.66,42779,3282599
2021-02-05,170.983,168.92,165.8067,168.74,25584,1774927
2021-02-08,171.85,169.09,166.34,170.14,31890,2027996
2021-02-09,173.3,166.66,165.84,169.42,34536,2254278
2021-02-10,175.8,171.53,167.02,167.02,45424,2937386
2021-02-11,176.7,175.66,166.4,172.68,48821,3473762
2021-02-12,181.8,175.45,171.61,175.18,48159,3135796
2021-02-16,183.75,173.04,172.88,182.0,48714,3117653
2021-02-17,174.37,167.87,165.5,173.72,42818,2354981
2021-02-18,168.33,167.09,161.343,165.21,35545,2284267
2021-02-19,169.76,160.22,160.0,169.76,39997,2329713
2021-02-22,160.86,150.86,150.38,160.35,56645,3095182
2021-02-23,150.54,149.42,138.9535,147.66,62932,3588846
2021-02-24,152.73,152.05,147.2,150.75,34534,1767567
