Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-04-14,429.54,328.28,310.0,381.0,2495695,81065746
2021-04-15,349.2,322.75,317.2701,348.9,1172872,39777858
2021-04-16,345.99,342.0,321.03,327.5,609540,22654542
2021-04-19,341.01,333.0,326.79,337.26,320841,11405556
2021-04-20,334.83,320.82,312.0201,333.425,353003,18082257
2021-04-21,327.47,311.92,302.1,312.52,287618,10103896
2021-04-22,313.5,293.45,287.2033,305.7595,429537,14991941
2021-04-23,303.0,291.6,282.07,282.75,257538,9891146
2021-04-26,306.1,304.54,296.9,304.29,167463,6330230
2021-04-27,306.7,302.0,299.5,306.7,114908,3901957
2021-04-28,302.8999,298.05,298.05,301.01,102720,2746079
2021-04-29,300.0,294.77,292.1,298.4494,110547,2845798
2021-04-30,302.7399,297.64,291.0,293.0,110751,3997384
2021-05-03,305.03,294.21,293.94,304.0,110059,3333846
2021-05-04,292.19,280.66,275.61,292.0622,208998,5707704
2021-05-05,289.15,273.0,269.0,284.9521,152431,5074631
2021-05-06,272.14,256.76,250.51,271.15,260707,8342002
2021-05-07,267.072,263.7,258.3801,261.1519,117425,4243741
2021-05-10,297.5,293.45,259.37,266.4,235502,10268641
2021-05-11,303.32,303.0,276.51,281.05,180658,7456019
2021-05-12,306.98,283.61,280.79,299.5428,173224,7214195
2021-05-13,285.0,265.1,252.26,276.46,266966,11226843
2021-05-14,280.64,258.37,256.351,280.37,284094,11751752
2021-05-17,250.25,248.24,238.25,250.0,241191,8828143
2021-05-18,252.165,239.0,238.5,238.83,168959,7852101
2021-05-19,229.0,224.8,208.0,212.9256,344623,16765954
2021-05-20,238.8,233.4,226.2601,236.1,203873,10386891
2021-05-21,238.97,224.35,223.9,235.97,162803,7554937
2021-05-24,231.0,225.3,224.04,227.28,182977,10185621
2021-05-25,243.99,242.41,228.0,230.0,214013,11827823
2021-05-26,249.39,241.52,239.3727,247.5,136828,6602815
2021-05-27,247.24,247.09,240.32,245.21,101443,5083274
2021-05-28,244.63,236.54,236.54,243.57,116039,5091479
2021-06-01,244.7094,238.93,238.1,238.51,92038,3962697
2021-06-02,243.9,240.48,238.71,242.7962,90363,3383753
2021-06-03,241.5,233.66,233.5001,241.39,91473,3091112
2021-06-04,233.36,228.79,227.5,229.9939,101804,3775123
2021-06-07,232.56,231.45,226.5,229.9179,69943,2658314
2021-06-08,229.329,220.66,217.4,227.16,162964,6015772
2021-06-09,229.789,224.32,217.4,222.795,134919,6865914
2021-06-10,229.7856,221.85,221.47,226.22,85086,3955294
2021-06-11,225.74,223.92,221.96,223.5,54806,2383458
2021-06-14,239.76,239.1,229.76,231.265,115482,6151688
2021-06-15,237.6699,232.21,230.96,236.227,68742,3007899
2021-06-16,234.68,228.05,226.28,231.4,67906,2874844
2021-06-17,233.23,230.66,226.35,226.88,58686,2589611
2021-06-18,232.69,229.29,226.5,226.92,54109,3265165
2021-06-21,224.99,222.6,218.7672,223.14,103707,4687569
2021-06-22,223.15,222.47,210.77,216.25,141180,6206112
2021-06-23,230.5231,226.01,224.5001,225.54,67908,3394664
