Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,10.38,9.55,9.39,10.38,6775,1538106
2020-01-03,9.82,9.3,9.16,9.38,4274,919650
2020-01-06,9.36,8.82,8.76,9.11,4131,1011309
2020-01-07,9.05,8.65,8.62,8.87,4051,867318
2020-01-08,8.97,8.64,8.31,8.63,5447,1388138
2020-01-09,9.36,9.21,8.61,8.7,6462,1602928
2020-01-10,9.14,8.88,8.76,9.09,4624,1088971
2020-01-13,9.91,9.8,8.65,8.83,6991,1902117
2020-01-14,10.34,10.33,9.21,9.55,11248,2740106
2020-01-15,11.49,10.92,10.03,10.41,12106,3161174
2020-01-16,11.41,10.6,10.44,11.1,8900,2040994
2020-01-17,11.35,11.18,10.43,10.65,7934,2113335
2020-01-20,11.58,11.27,10.97,11.13,2777,780144
2020-01-21,11.74,10.7,10.57,11.38,8639,1992036
2020-01-22,11.39,10.95,10.67,10.8,7311,1589275
2020-01-23,11.26,10.95,10.72,10.85,5029,1258475
2020-01-24,11.21,9.99,9.89,11.14,8524,1653607
2020-01-27,10.08,9.57,9.43,9.44,5941,1218328
2020-01-28,10.14,10.13,9.62,9.94,6720,1554118
2020-01-29,10.36,9.91,9.9,10.23,4154,965002
2020-01-30,10.03,9.79,9.6,9.87,3832,955555
2020-01-31,9.83,9.53,9.3,9.75,4308,838749
2020-02-03,9.67,9.49,9.37,9.53,2978,593519
2020-02-04,10.12,9.89,9.54,9.54,3913,880558
2020-02-05,10.05,9.68,9.56,9.98,3050,693308
2020-02-06,9.82,9.34,9.3,9.71,3729,710118
2020-02-07,9.39,9.13,8.94,9.12,4253,966431
2020-02-10,9.23,8.9,8.79,9.11,2646,554746
2020-02-11,9.4,9.09,8.74,8.87,3340,723229
2020-02-12,9.19,8.9,8.9,9.15,3021,546124
2020-02-13,9.21,9.12,8.84,8.91,3081,602036
2020-02-14,9.92,9.69,9.4,9.9,5948,1281244
2020-02-18,9.82,9.58,9.42,9.6,3159,514175
2020-02-19,9.71,9.62,9.46,9.57,3172,596647
2020-02-20,10.16,9.72,9.59,9.6,6113,1254566
2020-02-21,9.76,9.44,9.44,9.76,4207,987287
2020-02-24,8.95,8.49,8.45,8.94,6553,1535460
2020-02-25,8.65,7.99,7.98,8.53,6347,1299062
2020-02-26,8.42,8.08,7.92,7.98,4773,1189856
2020-02-27,8.38,8.14,7.22,7.77,8389,1452465
2020-02-28,7.95,7.79,7.5,7.56,9992,2026285
2020-03-02,8.02,7.99,7.58,7.93,4841,1020297
2020-03-03,7.65,7.1,6.88,7.53,6484,1451611
2020-03-04,8.02,7.95,7.2,7.31,6221,1439865
