Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,10.8,10.68,10.65,10.79,1706,1194114
2020-01-03,10.75,10.68,10.61,10.66,1141,467593
2020-01-06,10.9,10.8,10.6917,10.75,5791,2184115
2020-01-07,10.95,10.9,10.87,10.89,6560,1986202
2020-01-08,11.35,11.26,10.8844,10.94,5345,2955924
2020-01-09,12.39,12.25,11.34,11.43,13160,8280190
2020-01-10,12.63,12.39,11.9823,12.41,8426,2374859
2020-01-13,12.64,12.0,11.55,12.61,4990,1674051
2020-01-14,12.28,11.94,11.82,12.14,2495,594889
2020-01-15,13.0,12.7,11.99,12.0,8755,3258229
2020-01-16,13.44,12.99,12.94,13.11,15591,5473097
2020-01-17,13.67,13.57,12.76,13.23,9291,3487880
2020-01-21,14.5,13.83,13.32,13.83,12233,3281904
2020-01-22,14.39,14.27,13.72,14.0,6973,2341783
2020-01-23,14.6,14.44,14.11,14.47,9711,2901059
2020-01-24,14.7173,14.36,14.16,14.6,5556,1823347
2020-01-27,15.14,15.0,14.35,14.59,15906,4655284
2020-01-28,15.75,15.08,14.3,15.35,20668,5870289
2020-01-29,14.9699,14.5,14.0,14.93,13036,3479566
2020-01-30,14.89,14.67,14.36,14.77,9079,1940634
2020-01-31,15.0,14.53,14.4,14.79,6289,1098551
2020-02-03,14.87,14.51,14.04,14.84,6938,1459340
2020-02-04,15.0255,14.57,14.45,14.64,6542,1404000
2020-02-05,14.9,14.25,13.85,14.81,6908,1270135
2020-02-06,14.48,13.61,13.26,14.35,12093,2912844
2020-02-07,14.74,14.5,13.5,13.64,6280,1249391
2020-02-10,16.74,16.02,14.5,14.52,14089,3305684
2020-02-11,17.36,16.82,16.3,16.39,10146,2388105
2020-02-12,18.69,18.35,16.9,17.07,20098,3997289
2020-02-13,18.65,17.91,17.25,18.48,7867,1543042
2020-02-14,18.3,17.33,16.86,17.96,7216,1285363
2020-02-18,17.77,17.29,16.6501,17.55,8238,1367427
2020-02-19,18.36,17.97,17.65,17.96,9412,1684366
2020-02-20,18.14,17.65,16.75,18.13,7429,1379750
2020-02-21,17.6167,16.95,16.85,17.57,3975,579204
2020-02-24,16.8208,16.64,15.8,16.44,5481,1203699
2020-02-25,17.8224,16.96,16.5,17.37,7658,1852658
2020-02-26,17.65,16.83,16.3824,17.39,6587,1415707
2020-02-27,16.7,16.17,15.94,16.31,7268,1291175
2020-02-28,16.15,16.02,15.35,15.68,5389,978977
2020-03-02,17.0499,16.66,16.1,16.1,3903,829402
2020-03-03,17.05,16.41,16.25,17.0,3870,880576
