Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,29.719,29.35,29.11,29.62,10007,13908541
2020-01-03,29.87,29.17,29.01,29.85,14598,13511334
2020-01-06,29.78,29.22,29.02,29.75,13595,14092084
2020-01-07,29.52,29.5,29.025,29.21,11320,12885465
2020-01-08,29.43,28.35,28.125,29.37,21981,31037054
2020-01-09,28.41,28.04,28.0,28.11,13067,17791018
2020-01-10,28.555,28.45,28.12,28.15,8849,12779935
2020-01-13,28.32,27.77,27.755,28.32,10150,16222357
2020-01-14,28.31,28.26,27.68,27.71,11432,16906162
2020-01-15,28.865,28.79,28.18,28.39,11266,17117691
2020-01-16,28.705,28.67,28.36,28.6,8173,10504871
2020-01-17,28.775,28.42,28.3,28.75,11044,14576301
2020-01-21,28.965,28.95,28.21,28.26,10754,15260618
2020-01-22,28.99,28.84,28.66,28.9,5497,5626736
2020-01-23,29.09,28.66,28.6,28.66,11941,11370805
2020-01-24,29.29,29.22,28.61,28.61,12143,13191228
2020-01-27,29.66,29.08,28.92,29.64,12850,9880308
2020-01-28,28.96,28.31,28.281,28.8,13185,20092457
2020-01-29,28.895,28.86,28.231,28.3,10053,14418412
2020-01-30,29.075,28.73,28.6,28.9,13470,10781039
2020-01-31,29.23,28.99,28.76,28.81,12023,11130902
2020-02-03,28.89,28.56,28.4,28.75,10439,16745946
2020-02-04,28.27,28.05,27.775,28.2,15035,23865985
2020-02-05,28.34,28.05,27.91,28.02,8994,12990478
2020-02-06,28.505,28.4,28.12,28.27,9057,11592435
2020-02-07,28.67,27.93,27.92,28.57,9029,12969618
2020-02-10,28.51,28.39,28.02,28.19,9448,12082916
2020-02-11,28.52,28.43,28.08,28.32,6478,6033221
2020-02-12,28.405,28.12,28.085,28.34,7914,12007856
2020-02-13,28.58,28.32,28.21,28.34,8197,7963149
2020-02-14,28.46,28.31,28.19,28.34,7507,8763509
2020-02-18,29.25,29.23,28.39,28.59,15110,23834847
2020-02-19,29.78,29.75,29.2,29.37,13168,14126940
2020-02-20,30.095,29.75,29.505,29.65,14610,18512986
2020-02-21,30.705,30.65,30.18,30.27,24784,23362023
2020-02-24,31.83,31.05,30.66,31.76,35637,23056066
2020-02-25,31.155,29.97,29.91,30.48,27656,29149776
2020-02-26,30.28,29.87,29.675,29.9,20804,15018722
2020-02-27,30.37,28.15,28.14,30.32,40146,42421278
2020-02-28,27.03,26.22,25.43,26.8,79264,61631708
2020-03-02,27.46,27.29,26.71,27.09,34504,29052855
2020-03-03,29.61,28.68,27.46,27.8,68508,36408656
2020-03-04,29.17,29.13,28.285,29.03,23131,15542466
2020-03-05,29.84,29.82,28.965,29.47,23776,19792856
2020-03-06,29.96,29.41,28.46,29.91,33007,24088414
2020-03-09,28.71,27.31,27.26,28.38,35147,35840877
2020-03-10,28.02,27.49,26.5,27.74,33560,23894184
2020-03-11,27.25,25.17,25.04,27.05,38406,48074063
2020-03-12,24.89,22.31,22.0,22.9,56216,44066764
2020-03-13,23.38,19.0,16.5,23.29,64200,79172490
2020-03-16,22.95,22.49,16.18,16.75,79579,94707350
2020-03-17,25.5,25.5,22.11,22.11,65032,52934256
2020-03-18,25.04,19.68,19.68,24.19,81895,95180676
2020-03-19,24.98,21.27,19.3,20.57,79184,35415646
2020-03-20,22.85,20.55,20.34,22.85,54331,16477295
2020-03-23,23.29,21.93,21.145,21.63,68074,30277074
2020-03-24,26.07,25.15,23.8,24.75,80804,38812090
2020-03-25,26.96,26.31,24.55,25.39,72796,27885043
2020-03-26,27.21,25.85,25.22,26.69,38441,12038776
2020-03-27,25.65,24.37,23.73,25.15,57987,24157707
2020-03-30,25.32,23.93,23.15,24.39,44010,20363323
2020-03-31,24.42,23.04,23.03,23.6,33784,12708490
2020-04-01,24.26,24.03,23.0,23.0,24966,8969522
2020-04-02,25.72,25.04,24.37,24.59,32571,12452425
2020-04-03,25.86,24.95,24.74,25.16,28066,6596164
