Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,43.04,42.39,42.07,42.89,9115,7246136
2020-01-03,43.21,41.91,41.77,43.16,14433,6000358
2020-01-06,42.9,41.95,41.61,42.9,13047,5954231
2020-01-07,42.69,42.65,41.76,42.01,11298,6356664
2020-01-08,42.49,40.84,40.56,42.41,26975,13805915
2020-01-09,40.935,40.23,40.21,40.46,11143,5385312
2020-01-10,41.18,40.9,40.43,40.5,10289,5189783
2020-01-13,40.63,39.66,39.63,40.63,11745,7398567
2020-01-14,40.65,40.61,39.6,39.64,13885,7610346
2020-01-15,41.56,41.44,40.47,40.83,12745,6594411
2020-01-16,41.26,41.01,40.64,41.15,8843,3914174
2020-01-17,41.435,40.85,40.58,41.26,9960,2907318
2020-01-21,41.55,41.54,40.42,40.6,12699,7503302
2020-01-22,41.65,41.56,41.13,41.48,6131,2796399
2020-01-23,41.81,40.99,40.87,41.13,10575,4640009
2020-01-24,41.89,41.79,40.99,40.99,13370,7696863
2020-01-27,42.3,41.31,40.95,42.3,12316,7104169
2020-01-28,41.22,40.23,40.085,40.88,14189,7166971
2020-01-29,41.34,41.29,40.13,40.24,11140,7429392
2020-01-30,41.63,41.12,40.93,41.44,12363,4955859
2020-01-31,41.92,41.54,41.22,41.27,14494,6278582
2020-02-03,41.32,40.72,40.61,41.1,10412,7562563
2020-02-04,40.62,40.41,39.81,40.38,13448,6824738
2020-02-05,40.81,40.4,40.11,40.38,7805,3690854
2020-02-06,41.07,40.95,40.46,40.66,9124,5237303
2020-02-07,41.4,40.25,40.24,41.22,11287,4789040
2020-02-10,41.14,40.95,40.355,40.64,11385,5886137
2020-02-11,41.02,40.81,40.38,40.75,7475,2060836
2020-02-12,40.91,40.51,40.46,40.77,7702,2777832
2020-02-13,41.33,41.06,40.7,40.92,8239,4028032
2020-02-14,41.58,40.97,40.95,41.24,9279,3687493
2020-02-18,42.695,42.66,41.26,41.56,19724,9613299
2020-02-19,44.05,44.04,42.8,43.22,15051,12461832
2020-02-20,44.4,43.76,43.29,43.8,13173,6645723
2020-02-21,45.07,44.97,44.31,44.53,20292,9626339
2020-02-24,46.41,44.91,44.29,46.4,29807,11432721
2020-02-25,44.9,42.65,42.41,44.16,28888,14533922
2020-02-26,43.39,42.7,42.35,42.67,19724,6570562
2020-02-27,43.33,39.76,39.76,43.26,33452,20449760
2020-02-28,38.01,36.05,35.26,37.8,55215,27684936
2020-03-02,38.17,38.1,36.96,37.42,18703,17585866
2020-03-03,41.29,39.71,38.065,38.85,52151,15893137
2020-03-04,40.5,40.19,39.12,40.29,17232,6050495
2020-03-05,41.15,40.91,39.75,40.59,14762,5391411
2020-03-06,41.14,40.12,38.84,41.06,27728,9811391
2020-03-09,38.87,37.06,36.55,38.04,17919,11593989
2020-03-10,38.11,37.4,35.8,37.57,17479,6990362
2020-03-11,36.8,33.46,33.03,36.49,28240,17346897
