Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,144.21,143.95,143.41,143.86,5651,1477804
2020-01-03,146.32,145.86,145.4,145.75,8664,2370814
2020-01-06,148.47,147.39,146.95,148.44,10992,3053565
2020-01-07,148.13,147.97,147.43,147.55,7012,1751487
2020-01-08,148.61,146.86,146.14,148.5,19048,4658525
2020-01-09,146.41,146.03,145.45,146.07,9347,2326626
2020-01-10,146.98,146.91,146.17,146.22,5011,1520299
2020-01-13,146.38,145.82,145.79,146.33,6522,2567109
2020-01-14,145.81,145.69,145.09,145.4,5301,1524115
2020-01-15,146.73,146.54,145.83,146.21,6111,1738948
2020-01-16,146.46,146.31,145.77,146.27,4499,1559164
2020-01-17,146.98,146.58,146.31,146.51,6666,2220723
2020-01-21,146.86,146.74,145.58,145.77,5081,1440750
2020-01-22,146.81,146.79,146.39,146.69,3439,1040896
2020-01-23,147.62,147.12,146.62,147.0,5740,1881977
2020-01-24,148.37,147.98,146.9,146.9,7480,1734606
2020-01-27,149.31,148.99,148.46,149.24,7896,3149591
2020-01-28,148.55,147.66,147.54,148.37,6105,2020951
2020-01-29,148.56,148.46,147.62,147.7,5152,1381120
2020-01-30,149.3,148.47,148.05,148.69,9653,2389686
2020-01-31,149.68,149.33,148.82,148.88,10022,2591184
2020-02-03,148.78,148.36,147.7,148.67,7294,2019679
2020-02-04,147.03,146.43,145.81,146.97,8532,2415509
2020-02-05,146.81,146.61,146.17,146.38,4708,1316524
2020-02-06,147.62,147.4,147.01,147.27,3957,998478
2020-02-07,148.18,147.79,147.34,147.83,4884,1430945
2020-02-10,148.44,148.17,147.91,148.2,3892,1738063
2020-02-11,148.16,147.66,147.02,148.03,5244,1329415
2020-02-12,147.81,147.54,147.16,147.42,4107,1271390
2020-02-13,148.58,148.38,147.96,148.24,3629,1025419
2020-02-14,149.12,149.0,148.63,148.74,3818,1181089
2020-02-18,151.089,150.91,149.47,149.88,7122,2294986
2020-02-19,151.82,151.79,150.82,151.0,5616,1904528
2020-02-20,152.82,152.41,151.96,152.0,6996,1685766
2020-02-21,155.22,154.7,154.19,154.43,12614,2717220
2020-02-24,158.53,156.09,155.37,158.5,21943,5552552
2020-02-25,156.08,153.3,152.91,155.12,25419,7480840
2020-02-26,155.27,153.97,152.92,153.82,17496,4836102
2020-02-27,156.27,154.0,153.9,155.58,25042,6173957
2020-02-28,152.77,148.38,147.07,152.74,38105,8056131
2020-03-02,150.73,149.2,149.04,150.0,16983,4114997
2020-03-03,155.24,153.89,150.74,150.78,30288,6019368
2020-03-04,154.96,154.16,153.7,154.4,11661,2767783
2020-03-05,157.62,157.49,155.74,156.06,13163,3170309
2020-03-06,159.25,157.55,154.54,158.41,27167,5657967
2020-03-09,159.37,157.81,156.35,158.6,30614,6205684
2020-03-10,156.41,154.48,154.39,156.18,17854,4543786
2020-03-11,156.5,153.93,153.62,156.25,21060,4722314
2020-03-12,151.53,147.79,146.85,151.52,32431,6392464
2020-03-13,149.6,143.28,141.58,149.4,30923,6868162
2020-03-16,142.96,141.64,136.12,137.47,14601,4199242
2020-03-17,146.2,143.56,139.94,140.18,23827,4460234
2020-03-18,142.83,140.7,138.51,141.75,27029,4316956
2020-03-19,140.49,138.04,137.865,139.0,25249,4727215
2020-03-20,141.17,140.11,139.15,140.71,16315,2997808
2020-03-23,146.93,146.3,142.29,142.75,22759,4188765
2020-03-24,155.66,153.4,152.05,153.35,34725,4953417
2020-03-25,152.84,151.3,151.02,152.5,20959,3436922
2020-03-26,154.74,153.24,152.08,153.4,14074,2000262
2020-03-27,153.52,152.25,152.0,153.0,11842,2023040
2020-03-30,153.01,152.92,151.58,152.3,10463,2086749
2020-03-31,151.78,148.05,148.0,151.36,11901,2053356
2020-04-01,150.07,149.45,147.85,148.2,8709,1414709
2020-04-02,152.49,151.9,150.74,151.2,11942,1498951
2020-04-03,153.07,152.65,151.68,152.23,9257,1247566
2020-04-06,157.22,156.88,153.97,154.18,15869,2203256
