Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,1.09,1.06,1.06,1.06,14,3164
2020-01-03,1.09,1.04,1.04,1.09,176,59080
2020-01-06,1.18,1.1,1.06,1.09,142,220483
2020-01-07,1.2,1.19,1.1,1.13,139,138819
2020-01-08,1.21,1.15,1.14,1.16,135,55359
2020-01-09,1.13,1.11,1.05,1.13,187,254326
2020-01-10,1.12,1.11,1.08,1.1,255,70256
2020-01-13,1.14,1.12,1.1,1.1,92,54667
2020-01-14,1.32,1.32,1.1,1.13,350,235089
2020-01-15,1.31,1.31,1.23,1.23,430,353083
2020-01-16,1.34,1.28,1.24,1.24,245,147477
2020-01-17,1.35,1.32,1.28,1.3,225,208000
2020-01-20,1.31,1.27,1.21,1.23,109,139630
2020-01-21,1.32,1.26,1.24,1.31,62,25134
2020-01-22,1.26,1.19,1.17,1.23,231,91845
2020-01-23,1.2,1.15,1.14,1.15,76,47579
2020-01-24,1.2,1.18,1.15,1.17,57,35412
2020-01-27,1.25,1.21,1.18,1.25,109,82133
2020-01-28,1.23,1.19,1.19,1.22,111,103845
2020-01-29,1.2,1.19,1.15,1.2,65,92676
2020-01-30,1.21,1.19,1.17,1.19,117,106131
2020-01-31,1.18,1.11,1.08,1.18,148,92019
2020-02-03,1.15,1.07,1.07,1.11,119,82744
2020-02-04,1.1,1.07,1.05,1.08,292,181574
2020-02-05,1.2,1.1,1.08,1.1,269,256624
2020-02-06,1.22,1.18,1.1,1.13,308,251502
2020-02-07,1.2,1.16,1.14,1.19,246,79503
2020-02-10,1.27,1.17,1.15,1.15,397,445174
2020-02-11,1.4,1.38,1.18,1.2,882,941848
2020-02-12,1.49,1.4,1.38,1.4,973,836467
2020-02-13,1.52,1.38,1.31,1.39,544,390503
2020-02-14,1.48,1.42,1.31,1.39,487,339163
2020-02-18,1.39,1.32,1.19,1.37,481,370599
2020-02-19,1.43,1.38,1.33,1.35,337,264536
2020-02-20,1.4,1.23,1.22,1.35,737,388542
2020-02-21,1.36,1.32,1.23,1.26,744,241650
2020-02-24,1.37,1.33,1.27,1.35,331,131503
2020-02-25,1.34,1.24,1.23,1.3,272,94489
2020-02-26,1.24,1.18,1.17,1.21,317,162807
2020-02-27,1.23,1.18,1.08,1.16,308,113445
2020-02-28,1.18,1.13,1.07,1.07,352,102816
2020-03-02,1.21,1.19,1.15,1.17,154,38226
2020-03-03,1.17,1.08,1.06,1.17,204,127255
2020-03-04,1.13,1.09,1.08,1.1,257,103068
2020-03-05,1.14,1.08,1.07,1.13,742,252983
2020-03-06,1.09,1.05,1.03,1.08,249,96702
2020-03-09,0.98,0.96,0.66,0.98,623,332889
2020-03-10,1.0,0.95,0.93,0.99,203,199457
2020-03-11,1.03,1.0,0.93,0.96,147,151433
2020-03-12,0.9,0.8,0.71,0.9,386,263343
2020-03-13,0.8,0.74,0.68,0.7,210,259245
2020-03-16,0.75,0.75,0.56,0.66,160,261038
2020-03-17,0.7,0.69,0.62,0.7,122,91902
2020-03-18,0.67,0.63,0.6,0.67,100,87348
2020-03-19,0.86,0.86,0.6,0.61,86,98860
2020-03-20,0.92,0.85,0.77,0.81,101,98725
2020-03-23,0.85,0.8,0.73,0.85,103,72765
2020-03-24,0.9,0.88,0.8,0.8,146,169229
2020-03-25,0.95,0.89,0.85,0.87,124,93199
2020-03-26,0.89,0.88,0.86,0.89,57,56598
2020-03-27,0.99,0.94,0.86,0.86,94,60707
2020-03-30,0.92,0.77,0.77,0.91,103,66381
2020-03-31,0.94,0.91,0.79,0.79,51,35057
2020-04-01,0.81,0.76,0.76,0.81,149,98811
2020-04-02,0.95,0.93,0.76,0.78,224,190860
2020-04-03,0.93,0.93,0.88,0.88,43,22500
2020-04-06,1.04,0.93,0.88,0.94,264,261000
2020-04-07,1.0,0.97,0.96,1.0,93,112259
2020-04-08,0.99,0.98,0.95,0.96,94,69966
2020-04-09,1.02,0.97,0.97,1.0,78,155836
2020-04-13,1.02,0.98,0.88,1.02,45,62474
2020-04-14,1.0,0.95,0.95,0.98,36,44095
2020-04-15,0.97,0.97,0.92,0.92,16,26655
2020-04-16,1.01,1.0,0.99,0.99,78,135852
2020-04-17,1.01,0.99,0.97,1.0,85,151650
2020-04-20,1.0,0.98,0.95,1.0,130,400748
2020-04-21,1.0,0.96,0.95,1.0,41,44596
2020-04-22,1.0,0.98,0.93,0.94,102,155669
2020-04-23,1.12,1.06,0.99,0.99,157,291656
2020-04-24,1.13,1.13,1.08,1.08,88,51814
2020-04-27,1.16,1.14,1.09,1.13,77,96731
2020-04-28,1.22,1.16,1.115,1.15,113,128415
2020-04-29,1.32,1.3,1.21,1.24,314,142004
2020-04-30,1.35,1.33,1.27,1.3,152,84790
2020-05-01,1.33,1.27,1.26,1.31,27,9474
2020-05-04,1.27,1.14,1.13,1.27,151,99959
2020-05-05,1.18,1.18,1.1,1.18,76,60843
