Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,1.6175,1.5775,1.5175,1.535,1984,3681632
2020-01-03,1.5525,1.47,1.46,1.5525,2119,2990612
2020-01-06,1.4775,1.4625,1.4,1.45,2066,2799800
2020-01-07,1.455,1.38,1.36125,1.4425,2205,3721020
2020-01-08,1.46125,1.43,1.35375,1.3725,1937,3175628
2020-01-09,1.4525,1.3875,1.37,1.4525,1383,2402004
2020-01-10,1.3975,1.3575,1.3475,1.39,1142,2631176
2020-01-13,1.40125,1.3575,1.3325,1.3575,1654,2733292
2020-01-14,1.25,1.1775,1.135,1.19,3365,7224692
2020-01-15,1.18,1.1525,1.1375,1.165,1237,3708728
2020-01-16,1.175,1.155,1.13125,1.1525,1333,3480884
2020-01-17,1.1875,1.1875,1.13,1.145,1616,3157280
2020-01-21,1.1875,1.1475,1.13975,1.1875,1613,3436272
2020-01-22,1.15875,1.14,1.115,1.1375,1069,2078608
2020-01-23,1.15875,1.155,1.115,1.1375,1052,2216360
2020-01-24,1.16,1.08,1.065,1.16,1698,2939368
2020-01-27,1.0875,1.07,1.04,1.05,1229,2014700
2020-01-28,1.075,1.0525,1.04525,1.075,872,1941244
2020-01-29,1.0775,1.0325,1.0325,1.055,1135,1707848
2020-01-30,1.03,0.9825,0.97125,1.025,1290,2306772
2020-01-31,0.985,0.96,0.96,0.9775,1226,2911260
2020-02-03,0.9925,0.9875,0.9625,0.97,1168,2727456
2020-02-04,1.06125,1.0175,0.995,1.0075,2081,3942460
2020-02-05,1.10125,1.045,1.0375,1.0375,1742,2920112
2020-02-06,1.07375,1.035,1.035,1.05,962,1434196
2020-02-07,1.0275,0.9525,0.9425,1.0275,1216,2266172
2020-02-10,1.02375,0.985,0.935,0.9625,1439,2228408
2020-02-11,1.06,1.005,0.98875,0.995,1655,4334788
2020-02-12,1.12625,1.0475,1.0175,1.0325,2421,3726804
2020-02-13,1.0625,1.0275,1.02,1.03,1046,2236832
2020-02-14,1.0475,1.005,1.005,1.0275,1018,1544024
2020-02-18,1.01875,1.015,0.99125,1.0025,913,1582796
2020-02-19,1.0675,1.0375,0.98,1.015,1526,2139356
2020-02-20,1.07375,1.035,1.0275,1.04,1214,1258812
2020-02-21,1.0425,1.01,0.9975,1.03,1045,2009944
2020-02-24,0.98125,0.925,0.925,0.975,1623,3273612
2020-02-25,0.9475,0.89,0.8875,0.9425,2249,4142176
2020-02-26,0.905,0.8475,0.84,0.895,1489,3415336
2020-02-27,0.905,0.8675,0.7975,0.8075,1968,3570912
2020-02-28,0.9275,0.9,0.875,0.88,2099,4299156
2020-03-02,0.9625,0.9575,0.85,0.9,1545,2084856
2020-03-03,0.9725,0.9075,0.8775,0.97,2687,3574096
2020-03-04,0.95,0.9425,0.8675,0.9275,1603,2796568
2020-03-05,0.9975,0.99,0.9,0.925,1552,2658816
