Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-07-29,40.25,34.82,33.35,38.0,736578,102474737
2021-07-30,36.9795,35.15,33.25,34.93,310979,40632228
2021-08-02,37.98,37.68,35.3,35.97,163505,19948534
2021-08-03,48.59,46.8,37.1594,37.911,610900,93819198
2021-08-04,85.0,70.39,54.4,54.45,1523753,175790537
2021-08-05,66.5,50.97,50.46,62.9,764294,82470402
2021-08-06,60.88,55.01,53.1,57.77,579911,70131720
2021-08-09,59.96,56.83,56.0,59.0835,258252,27495240
2021-08-10,58.49,53.94,53.5,56.4852,172592,17066352
2021-08-11,54.6058,51.19,49.0,54.5683,179426,15893137
2021-08-12,50.39,48.1,47.52,50.125,156296,13426242
2021-08-13,53.2,50.63,48.22,48.45,214666,25659808
2021-08-16,49.79,47.19,47.0,49.4,132978,12052503
2021-08-17,48.85,46.67,46.01,47.3,88912,9160299
2021-08-18,52.06,49.8,47.2,47.9651,191639,24407995
2021-08-19,46.88,44.69,44.135,45.06,204356,18517574
2021-08-20,45.56,42.64,42.44,45.2,132716,11764299
2021-08-23,46.85,45.29,43.32,44.16,135277,15664716
2021-08-24,50.24,49.38,46.0,46.46,135026,17122747
2021-08-25,50.99,48.98,47.5,48.425,96583,10837516
2021-08-26,49.8499,46.86,46.4,48.0,64036,7187728
2021-08-27,48.1,46.87,46.14,46.7986,57942,6058053
2021-08-30,46.6,43.64,42.56,46.3,129755,12363840
2021-08-31,44.5,44.32,41.51,42.03,94629,8847512
2021-09-01,47.12,44.57,43.7,43.76,94630,11012953
2021-09-02,45.7999,44.49,44.2,45.202,45354,4099172
2021-09-03,44.88,43.35,43.15,44.6928,57379,4676645
2021-09-07,43.39,42.13,41.75,43.33,77056,6179176
2021-09-08,42.21,40.05,39.81,42.0,92986,7834862
2021-09-09,42.54,41.28,40.3813,40.5,58395,6981918
2021-09-10,42.52,41.17,40.72,41.5,48937,5521802
2021-09-13,41.3899,40.6,39.8,41.22,53416,4309173
2021-09-14,41.0,40.02,39.23,41.0,52552,4298047
2021-09-15,41.94,41.87,39.83,40.2,56080,5835873
2021-09-16,42.43,41.95,40.91,41.62,41016,4206706
2021-09-17,42.9012,42.38,41.9,41.92,44225,5000840
2021-09-20,41.56,40.7,40.0301,40.62,52097,4437794
2021-09-21,42.69,42.29,40.7938,41.04,53698,5984827
2021-09-22,46.94,46.88,42.76,43.0004,123611,14619488
2021-09-23,47.84,45.94,44.71,46.285,97968,12129439
2021-09-24,46.55,44.91,44.35,44.7,55107,6057991
2021-09-27,45.91,44.76,43.95,44.93,42477,4041686
2021-09-28,45.96,44.62,42.51,43.92,49111,5791895
2021-09-29,45.4625,43.13,43.1,44.17,39274,4597599
2021-09-30,43.13,42.08,41.41,43.13,37595,3535993
2021-10-01,42.78,41.9,41.12,42.3617,28194,2655845
2021-10-04,41.8123,40.93,40.25,41.8,34479,2647750
2021-10-05,42.4899,42.01,41.0509,41.074,29475,2813392
2021-10-06,42.65,42.06,41.7,42.0,26062,2730242
2021-10-07,42.84,41.84,41.68,42.2374,29626,2895418
2021-10-08,42.06,41.78,41.05,41.8,27927,3688931
2021-10-11,42.468,42.07,41.01,41.1723,36303,3733178
2021-10-12,42.05,40.53,40.5,42.0,40849,3717965
2021-10-13,40.83,40.52,39.86,40.62,40474,3914428
2021-10-14,41.79,40.93,40.55,40.59,37506,3827495
2021-10-15,41.7,41.03,40.8601,41.641,25262,2579553
2021-10-18,41.25,40.65,40.31,40.95,41815,4019789
2021-10-19,41.8,41.7,40.54,40.91,40249,4529214
2021-10-20,42.44,41.83,41.02,41.8933,37255,4057555
2021-10-21,43.36,41.28,41.21,41.93,47648,5377739
2021-10-22,41.13,39.59,39.59,41.125,62536,5916837
2021-10-25,39.87,39.01,38.15,39.76,94506,8081732
2021-10-26,40.25,39.57,39.0,39.61,117502,13250919
2021-10-27,36.19,35.44,34.44,35.98,240733,29082790
2021-10-28,35.52,35.47,33.99,35.21,160698,17441533
2021-10-29,35.85,34.97,34.8,35.65,89436,10687377
2021-11-01,35.215,34.85,34.42,35.2,85123,7946006
2021-11-02,34.99,34.99,34.34,34.72,59029,5547732
2021-11-03,37.5,37.04,34.6752,34.94,134257,15342781
2021-11-04,37.95,37.07,36.5,37.03,61212,6474368
2021-11-05,37.41,37.01,36.65,37.0,53289,4744776
2021-11-08,38.17,37.98,36.52,37.06,68955,7149237
2021-11-09,37.199,36.7,36.45,36.76,68489,7130040
2021-11-10,36.11,34.49,33.7501,35.9,150680,14707521
2021-11-11,34.84,34.17,34.04,34.82,59526,6037956
2021-11-12,35.9,35.21,34.59,34.645,78297,8727757
2021-11-15,35.61,34.96,34.23,35.5,64017,6219582
2021-11-16,34.44,33.87,32.87,34.37,97151,8929807
2021-11-17,33.98,32.88,32.81,33.8,72579,6763787
2021-11-18,32.93,30.53,30.41,32.9,134256,12654119
2021-11-19,30.8,28.99,28.8,30.3,141637,14289543
2021-11-22,29.36,27.84,27.44,29.0,136582,12690388
2021-11-23,28.3001,27.65,26.57,27.6,89581,8654347
2021-11-24,28.54,27.98,27.51,27.54,58015,5980076
2021-11-26,29.22,27.92,27.05,27.075,49981,5503000
2021-11-29,28.29,27.07,25.75,28.095,136482,15203897
2021-11-30,27.56,25.94,25.81,26.6949,124995,22291032
2021-12-01,26.39,23.93,23.89,26.35,254080,37653088
2021-12-02,24.29,24.2,23.34,23.96,110979,14035688
2021-12-03,24.06,21.55,21.5,23.92,142791,16825218
2021-12-06,22.05,21.9,20.58,21.34,98335,12053688
2021-12-07,23.33,22.73,22.02,22.65,77382,11058383
2021-12-08,23.74,23.72,21.76,23.0,100000,15159432
2021-12-09,23.48,21.91,21.7,23.27,109736,14155120
2021-12-10,21.81,20.13,19.82,21.78,167503,22116637
2021-12-13,20.2,19.7,18.86,19.7,135064,18086872
