Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,19.81,19.23,18.88,19.57,10304,1229434
2020-01-03,19.36,18.89,18.72,19.02,7709,1750976
2020-01-06,18.74,18.13,18.01,18.7,11113,1606505
2020-01-07,18.32,17.78,17.68,18.15,9737,1461935
2020-01-08,18.08,17.98,17.76,17.99,7127,1041551
2020-01-09,18.55,18.4,17.9,18.0,9791,1531344
2020-01-10,21.0,19.14,19.05,21.0,26149,4504819
2020-01-13,20.36,20.26,18.6,19.26,14525,2207943
2020-01-14,20.4979,20.0,19.55,20.45,11556,1782859
2020-01-15,20.58,20.24,19.94,19.94,12456,2054963
2020-01-16,21.87,21.01,20.77,21.68,27566,4928102
2020-01-17,21.5,20.62,20.55,21.5,15190,3348525
2020-01-21,21.49,20.94,20.645,20.79,14514,2089578
2020-01-22,23.2,21.97,21.7,22.08,47551,10920657
2020-01-23,22.65,21.47,21.4,22.17,20916,3663943
2020-01-24,21.8793,21.12,20.9,21.6,15387,2947764
2020-01-27,23.12,22.74,21.12,22.1,51501,10294739
2020-01-28,23.5,22.36,21.8501,23.5,28858,5649269
2020-01-29,22.34,20.55,20.45,22.23,24938,4675832
2020-01-30,21.74,20.99,20.8,21.05,18168,3061810
2020-01-31,21.32,20.51,20.05,21.14,20099,2833631
2020-02-03,21.06,20.38,19.7,20.66,20709,3214618
2020-02-04,20.88,20.87,19.75,20.09,12227,1824436
2020-02-05,21.2,20.05,19.67,20.99,16442,2656824
2020-02-06,20.32,19.88,19.7,20.27,13517,1929739
2020-02-07,23.39,23.24,19.79,19.79,48819,10144169
2020-02-10,23.95,23.65,22.3832,23.5,48430,9356771
2020-02-11,22.74,21.35,21.28,22.09,33657,6188339
2020-02-12,19.67,19.01,18.5,19.64,87668,19231794
2020-02-13,19.8,19.045,18.89,19.36,36692,6837002
2020-02-14,19.29,19.0,18.85,19.27,25020,5384464
2020-02-18,19.35,18.91,18.57,19.14,25954,4129369
2020-02-19,19.24,18.92,18.725,19.09,21069,3148012
2020-02-20,19.17,18.54,18.42,18.86,21121,4562216
2020-02-21,18.55,18.23,17.91,18.47,24501,3696712
2020-02-24,19.28,18.59,18.3,19.23,45691,7605391
2020-02-25,26.55,23.76,20.51,22.15,309821,65001881
2020-02-26,29.98,29.16,27.08,29.05,401291,78016785
2020-02-27,36.0,26.16,23.05,35.88,363392,68256337
2020-02-28,25.95,25.93,22.015,23.38,125251,24425125
2020-03-02,30.75,29.88,25.21,27.0,152228,33084026
2020-03-03,28.6,27.91,26.6,27.8035,92680,17599114
