Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,144.89,144.31,142.72,142.84,1001,27633
2020-01-03,144.89,143.57,142.8,143.02,1760,58523
2020-01-06,145.46,144.25,143.25,143.25,887,32742
2020-01-07,145.37,143.87,143.24,144.0,1136,34868
2020-01-08,145.47,143.71,142.075,143.95,1149,39514
2020-01-09,145.32,143.5,142.91,144.45,1484,64249
2020-01-10,145.16,142.39,142.145,144.14,1249,41088
2020-01-13,145.305,144.59,142.52,142.52,1317,48987
2020-01-14,145.68,144.77,144.07,144.69,1093,46832
2020-01-15,147.05,146.27,144.83,144.83,1053,53480
2020-01-16,147.96,146.72,146.08,147.12,1196,35749
2020-01-17,147.47,146.74,146.22,147.47,964,33556
2020-01-21,147.57,145.95,145.13,146.29,1938,53280
2020-01-22,147.34,145.92,145.64,146.94,1808,45833
2020-01-23,146.66,145.74,145.48,145.77,1806,45513
2020-01-24,146.74,143.16,142.78,146.14,1714,39257
2020-01-27,143.788,142.53,141.25,141.52,1449,51741
2020-01-28,144.54,144.0,141.3,143.02,2146,60781
2020-01-29,165.0,152.6,152.31,157.0,4638,254683
2020-01-30,157.1,152.7,151.3373,153.41,2782,104795
2020-01-31,154.765,152.03,151.51,152.64,2126,101088
2020-02-03,156.085,149.48,149.01,152.45,2835,101825
2020-02-04,152.54,151.81,150.46,150.63,2612,87107
2020-02-05,153.31,152.84,150.84,152.83,2828,96078
2020-02-06,153.855,152.24,151.95,152.76,1641,56107
2020-02-07,153.57,152.66,151.2,151.29,1486,74598
2020-02-10,153.57,151.45,151.12,153.06,582,28523
2020-02-11,153.335,152.1,151.215,151.7,1084,48029
2020-02-12,153.54,149.84,149.45,152.44,1460,54278
2020-02-13,149.73,148.07,146.93,149.28,1226,59868
2020-02-14,149.68,148.84,147.12,148.32,1169,56479
2020-02-18,148.665,147.97,147.53,148.63,926,23406
2020-02-19,150.17,149.6,148.16,148.26,1707,45444
2020-02-20,150.28,149.8,148.21,149.15,1686,92255
2020-02-21,150.68,149.95,149.16,149.55,1789,59708
2020-02-24,147.86,145.88,143.8063,146.32,1779,53046
2020-02-25,145.86,140.05,140.05,145.71,2402,98958
2020-02-26,142.41,140.12,140.06,140.64,1597,50720
2020-02-27,140.72,136.22,136.1,137.57,2206,70964
2020-02-28,136.0,135.16,132.62,133.4,2354,99669
2020-03-02,137.73,136.72,135.16,135.73,2137,74804
2020-03-03,138.82,134.39,132.1,136.23,2080,66002
2020-03-04,136.5,136.17,134.16,136.05,2084,77717
2020-03-05,137.23,136.88,133.96,133.96,3203,98310
2020-03-06,136.74,136.28,133.9,133.9,2508,73384
2020-03-09,132.81,129.43,129.1,131.35,2518,80833
2020-03-10,131.93,129.98,126.26,131.93,2867,142995
2020-03-11,127.76,124.15,122.0,127.61,1962,71551
2020-03-12,122.6,108.53,108.06,119.98,2896,135131
2020-03-13,113.7,111.33,106.27,111.92,3488,149692
2020-03-16,108.45,106.66,99.79,102.88,3089,136821
2020-03-17,112.81,109.36,105.63,108.04,2717,106072
2020-03-18,104.15,92.2,91.22,103.35,2518,115061
2020-03-19,107.24,105.38,90.0,91.76,1803,90198
2020-03-20,109.09,100.74,99.34,105.75,2185,104592
2020-03-23,104.31,102.47,96.53,102.31,2536,62389
2020-03-24,107.33,106.89,103.05,105.92,1418,75011
2020-03-25,108.76,104.13,103.05,107.58,1308,86101
2020-03-26,111.64,110.54,105.0,105.0,1170,71869
2020-03-27,109.36,106.31,104.55,107.32,1262,75168
2020-03-30,110.67,110.24,104.67,107.2,1696,71227
2020-03-31,118.175,118.1,109.99,109.99,2424,120602
2020-04-01,116.63,113.39,108.644,115.05,1987,79947
2020-04-02,117.86,114.49,111.5,112.24,1286,37993
2020-04-03,115.6,112.23,109.39,113.44,2140,42898
2020-04-06,117.56,116.03,112.49,117.56,1647,67475
2020-04-07,119.8,117.71,115.11,117.78,1227,54536
2020-04-08,124.6,123.0,118.74,119.39,1633,58767
2020-04-09,127.33,125.42,122.8181,124.85,1423,52398
2020-04-13,124.3,122.09,119.57,124.3,1571,49056
2020-04-14,127.605,126.5,124.83,126.02,1362,76342
2020-04-15,124.9,122.6,120.49,121.62,1203,59789
2020-04-16,125.46,124.13,122.07,122.79,1688,59704
2020-04-17,127.42,126.53,125.45,127.23,1775,72015
2020-04-20,127.36,126.92,123.0,124.06,1551,46043
2020-04-21,124.52,122.71,121.655,124.06,2007,67763
2020-04-22,126.21,125.01,123.39,124.48,1378,54757
2020-04-23,127.58,125.98,124.0,125.62,1716,58561
2020-04-24,127.48,125.55,124.645,125.96,1023,36438
2020-04-27,131.3,129.23,126.998,127.27,2134,66569
2020-04-28,131.015,128.85,127.8,129.9,2316,85510
2020-04-29,130.08,127.48,123.2,130.08,2734,161467
2020-04-30,128.835,126.33,125.25,125.71,1974,88937
2020-05-01,124.175,122.59,120.965,123.66,2215,66446
2020-05-04,122.19,118.55,117.14,122.19,2677,91058
