Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,329.98,329.81,324.78,326.1,59205,4348493
2020-01-03,329.8599,325.9,325.53,326.78,52200,3795466
2020-01-06,336.36,335.83,321.2,323.12,74751,5668577
2020-01-07,336.7,330.75,330.3,336.47,64781,4742458
2020-01-08,342.7,339.26,331.05,331.49,87232,7109117
2020-01-09,343.4196,335.66,334.6101,342.0,61538,4717430
2020-01-10,338.5,329.05,327.27,337.13,64502,4720540
2020-01-13,340.85,338.92,331.51,331.8,77073,6296174
2020-01-14,345.38,338.69,335.52,344.4,83697,7201544
2020-01-15,343.17,339.07,336.6,338.68,55939,5158035
2020-01-16,343.555,338.62,335.85,343.5,57414,5015997
2020-01-17,341.57,339.67,337.38,341.0,60712,6066547
2020-01-21,341.0,338.11,332.59,340.0,174591,14350322
2020-01-22,336.3,326.0,323.6,332.55,246481,21729959
2020-01-23,349.88,349.6,325.01,326.04,209928,18200293
2020-01-24,359.85,353.16,345.88,348.46,196926,17939681
2020-01-27,351.9,342.88,341.02,345.95,90996,7709482
2020-01-28,352.4,348.52,342.78,345.88,74612,6821581
2020-01-29,349.4,343.16,338.55,349.0,93026,7649183
2020-01-30,348.2,347.74,339.25,341.1,66766,5328136
2020-01-31,347.39,345.09,340.98,347.39,68005,5230001
2020-02-03,359.63,358.0,346.28,347.24,83797,6674885
2020-02-04,369.57,369.01,356.0964,361.0,91637,7161451
2020-02-05,375.25,369.67,362.3,375.125,82201,6437026
2020-02-06,371.5499,366.95,362.505,369.6,57303,3920428
2020-02-07,371.8,366.77,363.57,365.04,55294,4385227
2020-02-10,374.8,371.07,362.52,365.0,63071,5294138
2020-02-11,378.11,373.69,369.72,373.75,60003,4772870
2020-02-12,380.62,380.01,375.88,377.18,62002,4624772
2020-02-13,385.37,381.4,376.51,376.96,65191,4485383
2020-02-14,385.15,380.4,379.4342,381.47,53252,3736266
2020-02-18,389.54,387.78,379.19,379.3,68910,5180400
2020-02-19,392.95,386.19,384.9,388.12,70289,4896368
2020-02-20,389.7,386.0,376.68,386.56,60534,4079425
2020-02-21,387.32,380.07,377.9008,385.33,58296,3935618
