Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,26.15,26.14,25.62,25.97,10800,1365911
2020-01-03,25.965,25.93,25.415,25.64,10535,906764
2020-01-06,26.33,26.21,25.52,25.58,9322,995897
2020-01-07,26.48,26.455,26.045,26.13,9964,1106159
2020-01-08,27.075,26.845,26.42,26.43,10704,1296027
2020-01-09,27.03,26.86,26.77,27.0,8526,985677
2020-01-10,26.86,26.325,26.2695,26.8,7985,1157413
2020-01-13,26.69,26.53,26.1,26.41,9853,1140706
2020-01-14,27.135,26.98,26.26,26.27,11615,1215746
2020-01-15,27.5,26.34,26.25,26.81,11956,1587591
2020-01-16,26.93,26.27,26.105,26.65,15838,1565836
2020-01-17,26.4725,26.0,25.805,26.32,13420,1464965
2020-01-21,26.045,25.18,25.12,25.86,14040,1797265
2020-01-22,25.8866,25.26,25.02,25.33,13592,1256865
2020-01-23,25.91,25.9,24.743,25.06,11628,1255876
2020-01-24,26.39,25.96,25.695,25.92,13946,1408235
2020-01-27,25.82,25.415,24.98,25.25,8952,956500
2020-01-28,26.34,26.21,25.38,25.69,8927,1118583
2020-01-29,30.436,29.02,27.62,27.65,102794,12601098
2020-01-30,31.99,30.87,29.285,29.53,74445,10273811
2020-01-31,30.95,29.83,29.795,30.92,31861,3427930
2020-02-03,30.7301,29.91,29.47,30.15,20509,2010306
2020-02-04,32.7638,32.12,30.51,31.69,44167,5621848
2020-02-05,32.8,32.27,31.6,32.78,26331,2750738
2020-02-06,35.67,34.9,32.0,32.08,50686,6593931
2020-02-07,35.43,34.32,33.65,35.37,30967,3260791
2020-02-10,36.59,36.31,34.35,34.45,40872,4565935
2020-02-11,37.1848,36.805,36.1,36.72,23609,2417923
2020-02-12,37.7,37.26,36.41,37.08,20792,2019600
2020-02-13,38.7,38.28,36.41,37.08,23608,3352517
2020-02-14,38.73,36.87,36.77,38.65,29329,3023044
2020-02-18,37.0943,36.92,36.425,36.95,18457,1708434
2020-02-19,37.68,37.1,37.0,37.36,18254,2025646
2020-02-20,39.18,38.17,36.64,37.14,29862,4048130
2020-02-21,38.11,37.81,36.95,38.03,19560,2018884
2020-02-24,37.0,35.94,35.2,36.05,26186,3005202
2020-02-25,36.66,32.07,32.04,36.39,51662,6022115
2020-02-26,33.19,29.66,29.42,33.04,49552,6113555
2020-02-27,30.36,28.65,27.4601,29.0,55289,7150355
2020-02-28,30.38,29.57,27.95,28.11,45619,5244158
2020-03-02,29.8,28.22,26.71,29.7,43400,4815275
2020-03-03,29.08,26.05,25.89,28.48,48788,5360016
2020-03-04,26.96,26.05,24.42,26.52,48698,6059987
2020-03-05,25.56,22.85,22.56,25.11,49698,5925571
2020-03-06,24.5,23.91,22.0138,22.26,54991,5973299
2020-03-09,22.44,20.43,20.39,21.31,44380,4640926
2020-03-10,23.26,23.03,20.17,21.54,43955,5034989
2020-03-11,22.15,19.81,19.4,22.07,45984,5402269
2020-03-12,17.46,15.43,15.0587,16.8,53190,7260875
2020-03-13,17.86,15.47,13.65,17.41,47306,5274710
2020-03-16,12.46,8.54,8.5,12.4,108544,13877671
2020-03-17,10.07,7.33,7.0,9.1,76756,11280405
2020-03-18,6.92,4.52,3.75,6.92,128594,19787084
2020-03-19,7.51,6.09,4.0,4.76,114799,19266575
2020-03-20,11.85,7.89,7.1602,7.17,201990,38386494
2020-03-23,10.08,9.8,7.47,9.1,140874,22571102
2020-03-24,14.39,13.21,12.12,12.38,164219,24792398
2020-03-25,15.97,14.56,11.8,14.83,120527,17756785
2020-03-26,15.79,13.26,12.77,15.17,95949,13706906
2020-03-27,12.75,11.77,11.0,12.7,77558,11349277
2020-03-30,11.69,11.66,9.871,11.26,71073,10404320
2020-03-31,13.5,12.65,11.78,12.03,62025,9349571
2020-04-01,12.37,10.14,10.01,11.55,79394,11398953
2020-04-02,10.74,9.21,9.0,9.89,68954,9438215
2020-04-03,10.19,9.77,8.6901,9.34,66464,9936798
2020-04-06,11.75,11.03,10.32,11.03,66638,11422998
2020-04-07,13.17,11.03,10.78,12.8184,76368,12701790
2020-04-08,13.5,12.89,11.22,11.7,79371,12981985
2020-04-09,15.08,13.91,13.1,14.4,84275,12933430
2020-04-13,14.57,14.08,12.8,14.155,65628,9255986
2020-04-14,15.89,15.06,14.2501,14.52,68667,11084941
2020-04-15,14.65,13.91,13.55,13.95,50574,7072612
2020-04-16,14.2,13.38,12.84,14.02,53318,7506678
2020-04-17,14.84,14.07,13.73,14.7,52927,8712540
2020-04-20,14.75,13.87,13.45,13.5,45216,7528932
2020-04-21,14.05,13.57,12.955,13.5,49354,6750665
2020-04-22,14.37,13.28,13.26,14.2,35395,5408958
2020-04-23,14.05,13.58,13.46,13.58,39109,6159178
2020-04-24,14.21,14.1,13.3701,13.7,34558,5412885
2020-04-27,16.53,15.42,14.37,14.4068,79210,13002343
2020-04-28,16.75,15.91,14.86,16.53,57860,9218713
2020-04-29,18.74,18.61,16.63,16.9396,73227,12522146
2020-04-30,18.65,17.82,17.01,17.84,58152,8973255
2020-05-01,17.19,15.54,15.15,16.65,62126,9867534
2020-05-04,15.82,15.61,14.31,14.82,48682,7028522
2020-05-05,16.5,15.73,15.08,16.29,46796,7537851
2020-05-06,16.29,15.755,15.22,15.85,44528,6218383
2020-05-07,18.68,18.18,15.07,15.48,97247,17124283
2020-05-08,18.94,18.43,17.42,18.77,64334,10971613
2020-05-11,19.75,18.66,17.15,17.35,109611,18586092
2020-05-12,19.32,17.75,17.61,18.83,162940,26091423
2020-05-13,18.13,16.54,15.9,17.845,118563,21639185
2020-05-14,18.09,17.72,16.0,16.02,85037,14373206
2020-05-15,19.97,19.35,17.48,17.57,117789,22751441
2020-05-18,22.8,22.25,20.365,21.24,108033,19440310
2020-05-19,25.79,23.73,22.03,22.16,158103,27878124
2020-05-20,27.3,26.805,24.77,25.62,187710,34710838
2020-05-21,29.68,29.65,26.71,27.09,188523,35813234
2020-05-22,30.47,30.38,28.11,29.3,148170,27600203
2020-05-26,32.87,29.29,28.94,32.6,161704,27724380
2020-05-27,32.65,32.39,28.31,30.0,154469,25561246
2020-05-28,34.78,31.58,31.13,32.0,160143,27546898
2020-05-29,33.22,32.81,30.8661,31.2232,91905,15046974
2020-06-01,33.8282,33.15,31.76,32.7,84319,13113243
2020-06-02,33.6,31.24,30.65,33.4,110091,16698905
2020-06-03,33.0,32.71,31.12,31.95,87073,14161444
2020-06-04,37.9201,37.37,32.6301,33.2,165647,25078982
2020-06-05,40.14,36.04,35.23,39.76,131078,18974596
2020-06-08,36.75,34.3,33.73,34.75,116725,17534313
2020-06-09,34.27,32.495,32.3,33.01,90829,11928721
2020-06-10,32.95,31.4,29.67,32.22,99250,14184993
2020-06-11,30.94,27.86,27.52,28.13,120579,15648637
2020-06-12,30.58,29.65,28.58,30.44,71631,9357893
2020-06-15,31.85,31.55,27.82,28.16,82734,10700246
2020-06-16,34.66,31.71,31.16,33.9,79698,9906564
2020-06-17,33.29,32.455,30.7199,31.5,61026,8318971
2020-06-18,33.04,31.73,31.6,31.87,45583,5440445
2020-06-19,33.97,32.14,31.37,33.725,82195,13343408
2020-06-22,32.71,31.43,30.36,32.47,63538,9448848
2020-06-23,37.43,36.82,32.59,33.07,177974,30262707
2020-06-24,36.6,33.375,32.43,36.1,127319,18376085
2020-06-25,33.22,31.7,30.83,32.41,90351,12406418
2020-06-26,32.75,30.65,30.25,31.75,73944,13355227
2020-06-29,31.01,29.78,28.28,29.17,98695,15438619
