Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,111.21,110.75,109.275,109.47,62074,7419283
2020-01-03,110.42,108.76,108.76,109.49,56555,7099931
2020-01-06,110.22,110.17,107.44,107.57,51375,6766627
2020-01-07,111.56,109.67,109.53,111.5,56884,6916836
2020-01-08,112.64,111.82,109.82,110.4,65935,8295189
2020-01-09,113.56,112.57,111.59,112.99,52743,5950181
2020-01-10,113.71,112.93,112.27,113.64,60999,6965689
2020-01-13,115.88,115.28,113.86,113.98,68286,9652847
2020-01-14,115.59,114.64,114.12,115.515,61562,7182707
2020-01-15,115.95,114.85,114.61,115.14,47889,5955223
2020-01-16,116.0,115.4,114.85,115.92,46425,4793197
2020-01-17,116.7,116.04,115.47,116.45,61506,9730424
2020-01-21,116.39,116.15,115.11,115.31,57166,8746199
2020-01-22,117.45,115.5,115.47,116.73,47657,5305308
2020-01-23,117.9398,117.89,115.8,117.4,69325,8533941
2020-01-24,119.6,116.98,116.51,118.45,63408,7123969
2020-01-27,115.98,115.24,112.31,113.63,66026,7002260
2020-01-28,117.21,116.52,114.7154,115.83,56695,6432992
2020-01-29,117.53,116.66,115.16,117.47,81984,9255661
2020-01-30,117.2,117.12,112.42,112.79,114159,13653347
2020-01-31,117.32,113.89,113.15,116.75,81116,9467156
2020-02-03,117.24,116.51,114.05,114.3,63784,8236584
2020-02-04,120.34,120.08,117.3,118.04,65812,7396789
2020-02-05,122.19,119.72,118.891,121.2,65271,7595345
2020-02-06,120.6,119.89,119.47,120.09,34313,4020286
2020-02-07,119.67,118.88,118.41,119.6,37895,4166262
2020-02-10,120.15,120.06,118.5,118.56,39138,4868408
2020-02-11,121.0,118.84,118.4,120.76,46309,4677447
2020-02-12,119.91,118.56,117.87,118.85,49738,6482283
2020-02-13,121.1,120.51,117.8,118.04,56683,6066472
2020-02-14,123.0,122.99,120.8,120.89,53023,5769897
2020-02-18,122.99,122.27,121.68,122.58,47873,5085799
2020-02-19,124.45,123.91,122.3,122.63,47216,4878649
2020-02-20,124.31,122.43,120.4,123.86,75829,7212911
2020-02-21,121.85,119.49,118.53,121.72,55751,5896230
2020-02-24,116.79,116.44,113.52,114.29,94337,10139308
2020-02-25,116.415,109.66,109.33,115.67,142080,13636134
2020-02-26,112.63,109.11,108.6,109.81,109416,10306927
2020-02-27,112.05,107.84,106.3,106.3,158785,15461904
2020-02-28,108.73,107.99,103.72,104.26,178003,17215994
2020-03-02,113.05,112.86,106.53,107.46,142670,13366965
2020-03-03,114.56,109.76,108.26,112.82,133288,11912275
2020-03-04,115.39,115.3,110.62,112.04,86986,8245198
2020-03-05,114.9,112.18,111.24,112.03,77062,7671457
2020-03-06,111.57,110.89,107.58,107.95,96144,8524269
2020-03-09,106.99,101.63,99.71,102.72,132051,12458891
2020-03-10,109.74,109.74,103.17,105.3,126234,11748492
2020-03-11,107.75,103.9,101.98,106.65,118027,10761017
2020-03-12,104.78,96.96,94.5,96.56,211428,20114391
2020-03-13,110.6,110.15,99.78,100.52,185244,19170559
2020-03-16,103.155,92.72,91.23,94.0,172615,16204938
2020-03-17,101.08,97.87,90.52,94.5,213790,17969391
2020-03-18,95.1,91.46,86.15,91.855,182310,16073257
2020-03-19,98.06,93.69,87.04,91.56,139395,12181578
2020-03-20,96.23,86.68,86.21,95.64,135450,14874413
2020-03-23,88.15,85.26,82.07,86.29,138685,12969720
2020-03-24,98.0,97.29,89.4,89.4,146815,13936472
2020-03-25,100.42,95.71,95.27,97.43,123717,11814366
2020-03-26,100.93,100.63,95.635,96.31,91765,9452863
2020-03-27,97.105,93.48,93.06,97.0,118791,11311959
2020-03-30,98.2599,97.03,94.37,95.5,89566,8948597
2020-03-31,99.4314,95.74,94.87,96.38,91905,9882034
2020-04-01,94.67,91.38,90.38,92.72,106458,9628376
2020-04-02,94.6799,93.52,90.92,91.1,72110,7077181
2020-04-03,92.95,92.39,89.88,92.79,83417,7699462
2020-04-06,102.5,101.67,96.26,97.8,104842,11998987
2020-04-07,106.23,100.28,99.9,105.255,94568,10291513
2020-04-08,105.505,105.06,100.75,101.61,87173,9385890
2020-04-09,108.7,105.84,104.78,105.63,101895,10894921
2020-04-13,106.29,105.98,102.34,104.85,74383,7716160
2020-04-14,110.98,109.785,107.93,109.0,86139,8417858
2020-04-15,109.09,107.95,106.42,107.46,74487,7821377
2020-04-16,109.525,108.31,106.57,109.5,105037,9575624
2020-04-17,112.12,111.85,110.054,110.3,108833,11069777
2020-04-20,114.3,112.17,110.025,110.9,117353,10730723
2020-04-21,112.85,107.54,107.41,111.12,131445,11736608
2020-04-22,116.0,115.19,109.91,110.29,113240,12879850
2020-04-23,118.385,115.24,115.0,115.94,86482,7563183
2020-04-24,120.47,120.18,115.4,115.47,96383,10680406
2020-04-27,122.387,120.53,120.055,121.25,77464,6678219
2020-04-28,122.0,116.14,115.9029,121.66,105121,9192284
2020-04-29,124.03,123.58,118.645,119.3,109771,9891526
2020-04-30,123.45,123.0,120.62,121.35,79826,7569776
2020-05-01,122.7,120.61,119.43,119.85,64514,5613832
2020-05-04,124.18,123.66,120.31,121.26,80484,7674351
2020-05-05,127.94,125.43,124.85,124.94,88132,9241882
2020-05-06,129.59,128.31,126.12,127.05,141017,14031243
2020-05-07,147.2,146.29,139.28,139.92,309819,35487924
2020-05-08,146.4,144.96,142.11,143.25,143322,13169422
2020-05-11,145.27,143.96,142.18,142.96,101766,10273368
2020-05-12,145.65,141.03,140.91,144.0,113599,9757599
2020-05-13,145.1,143.73,139.61,140.2,132462,11142641
2020-05-14,144.7,144.41,141.43,142.07,106248,9272877
2020-05-15,145.89,145.51,141.63,142.9,87524,8361165
2020-05-18,149.18,146.24,145.99,148.125,101612,8580542
2020-05-19,149.72,145.39,145.22,146.7497,93287,7779063
2020-05-20,151.08,150.94,147.9,148.0,92796,7811268
2020-05-21,150.74,148.22,148.04,150.58,71434,5612696
2020-05-22,151.0,150.86,147.36,148.26,60905,5724145
2020-05-26,154.55,147.0,146.29,154.12,131476,10267534
2020-05-27,146.4,145.96,140.02,145.48,120996,9554775
2020-05-28,151.945,148.79,144.51,144.73,100106,10050679
2020-05-29,155.33,155.01,148.93,150.5,113175,10156091
2020-06-01,155.97,154.53,153.05,154.9,75248,5658288
2020-06-02,157.6,157.49,154.61,156.0,84925,6344432
2020-06-03,158.271,156.78,155.12,157.49,95172,6732830
2020-06-04,159.4799,154.6,153.635,156.7,106730,7554487
2020-06-05,156.34,156.0,150.0,152.98,110459,8446143
2020-06-08,156.21,156.09,153.11,154.28,66177,5494431
2020-06-09,158.21,156.86,155.5949,155.79,78367,7265620
2020-06-10,160.89,159.91,157.6,157.6,78199,5881831
2020-06-11,159.5,153.04,152.915,158.34,120850,9041718
2020-06-12,157.21,155.26,151.89,157.06,94524,7038068
2020-06-15,157.92,157.55,152.22,152.63,73421,5117394
2020-06-16,162.83,161.22,158.3,160.19,90192,6539467
2020-06-17,164.9597,163.83,161.66,162.84,79590,5582620
2020-06-18,168.83,168.05,164.31,164.72,92804,8583734
2020-06-19,171.12,164.36,164.01,170.6,118639,11332668
2020-06-22,170.9,170.26,165.55,165.58,79017,7793821
2020-06-23,175.4,172.79,170.4,172.0,95307,7693874
2020-06-24,173.48,168.0,164.29,170.595,126949,8931751
2020-06-25,172.78,172.5,168.19,169.0,78472,6650737
2020-06-26,173.71,170.87,168.6,173.71,84081,8158658
2020-06-29,171.48,168.35,165.56,171.48,80719,5423702
2020-06-30,174.69,174.23,169.41,170.7,81485,6831902
2020-07-01,178.2348,177.43,172.56,174.625,89798,6869584
2020-07-02,179.8,177.21,176.72,179.69,82635,5943623
2020-07-06,181.24,176.18,174.46,180.29,119143,8348329
2020-07-07,179.95,177.28,176.31,177.69,75294,5529363
2020-07-08,182.64,181.57,178.5,178.89,76911,7233512
2020-07-09,183.99,183.23,179.15,183.4,84915,6340005
2020-07-10,182.52,178.4,177.13,181.63,116505,7583166
2020-07-13,180.66,171.51,170.74,180.42,158663,10234780
2020-07-14,172.6,172.3,164.33,168.75,147995,10624487
2020-07-15,173.36,172.06,169.01,172.99,95745,6659704
2020-07-16,171.34,169.81,166.4998,169.9,82269,6630594
2020-07-17,174.56,173.92,169.54,171.5,76041,7353955
2020-07-20,179.64,178.82,172.68,174.65,76581,6025037
2020-07-21,179.46,175.58,174.32,179.25,71877,5701784
2020-07-22,179.49,178.42,175.73,176.16,71549,4669007
2020-07-23,180.75,173.86,171.94,178.15,79165,6999615
2020-07-24,173.6,172.56,169.08,171.08,90894,6256092
2020-07-27,178.46,177.98,172.39,173.92,88771,6868784
