Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,16.899,16.81,16.76,16.84,1366,2058425
2020-01-03,16.945,16.84,16.81,16.92,1654,2289076
2020-01-06,17.175,16.94,16.83,17.17,1847,2653193
2020-01-07,17.205,17.17,16.94,16.98,1810,2469104
2020-01-08,17.18,16.93,16.865,17.16,2490,5604611
2020-01-09,16.755,16.72,16.625,16.72,1766,2469657
2020-01-10,16.95,16.89,16.79,16.8,1258,1470586
2020-01-13,16.84,16.78,16.74,16.84,1016,1487716
2020-01-14,16.67,16.62,16.545,16.6,1117,1456420
2020-01-15,16.845,16.81,16.71,16.73,1349,1749240
2020-01-16,16.82,16.77,16.72,16.78,818,1213238
2020-01-17,16.89,16.82,16.75,16.83,1428,1613823
2020-01-21,16.705,16.64,16.47,16.5,1326,1738116
2020-01-22,16.74,16.66,16.63,16.71,1082,1213900
2020-01-23,16.68,16.61,16.57,16.58,1160,1836623
2020-01-24,16.945,16.91,16.68,16.69,1947,2267480
2020-01-27,17.055,16.89,16.85,17.04,1699,1821299
2020-01-28,16.6,16.32,16.285,16.58,3027,4200366
2020-01-29,16.43,16.41,16.27,16.28,1278,1461221
2020-01-30,16.84,16.68,16.6,16.73,2272,2940453
2020-01-31,16.895,16.82,16.69,16.69,1728,2192291
2020-02-03,16.61,16.5,16.435,16.61,1876,2224923
2020-02-04,16.53,16.45,16.37,16.52,1258,1692578
2020-02-05,16.48,16.46,16.39,16.45,825,1194526
2020-02-06,16.659,16.63,16.55,16.65,1018,1485608
2020-02-07,16.63,16.54,16.475,16.61,861,1605124
2020-02-10,16.65,16.61,16.55,16.59,662,1363918
2020-02-11,16.54,16.48,16.409,16.54,1431,1884688
2020-02-12,16.395,16.33,16.31,16.35,1141,1567031
2020-02-13,16.545,16.46,16.46,16.53,635,1095600
2020-02-14,16.61,16.56,16.54,16.61,950,1132752
2020-02-18,17.015,17.01,16.74,16.78,1940,2631376
2020-02-19,17.235,17.23,17.0,17.04,1688,2150069
2020-02-20,17.2,17.14,17.075,17.09,1499,2430025
2020-02-21,17.4,17.28,17.25,17.27,2130,2930944
2020-02-24,17.68,17.4,17.31,17.56,3451,4934097
2020-02-25,17.2,16.71,16.665,17.13,4190,6300619
2020-02-26,16.81,16.68,16.61,16.7,2553,4013732
2020-02-27,16.83,16.47,16.455,16.79,3510,6345552
2020-02-28,15.89,15.53,15.29,15.89,6746,11163976
2020-03-02,15.7,15.56,15.54,15.61,2881,5235806
2020-03-03,16.3,16.02,15.705,15.73,4737,9104419
2020-03-04,16.1,16.09,15.95,16.01,1454,2252695
2020-03-05,16.3,16.3,16.11,16.12,1685,2538419
2020-03-06,16.255,16.18,15.895,16.24,3004,4833191
2020-03-09,15.945,15.88,15.63,15.78,3234,5660775
2020-03-10,15.89,15.73,15.69,15.88,2729,3750150
2020-03-11,15.85,15.63,15.555,15.8,2264,3856294
2020-03-12,15.12,14.62,14.485,15.0,6594,9971614
2020-03-13,14.685,13.69,13.47,14.67,8678,10462069
2020-03-16,12.41,12.0,11.68,11.85,8481,7900787
2020-03-17,12.38,11.88,11.55,11.64,7936,9440215
2020-03-18,11.62,11.21,10.87,11.44,8649,13109176
2020-03-19,11.435,11.32,11.04,11.31,5510,11025060
2020-03-20,11.92,11.62,11.53,11.72,4559,6488061
2020-03-23,12.385,12.31,11.88,11.97,4504,6303580
2020-03-24,13.375,13.29,12.88,13.23,6526,6556369
2020-03-25,13.64,13.51,13.195,13.26,6048,5981556
2020-03-26,13.71,13.53,13.36,13.59,4523,3684642
2020-03-27,13.525,13.44,13.3,13.51,2526,2437344
2020-03-30,13.26,13.16,12.89,13.06,3268,2723118
2020-03-31,13.31,13.05,12.96,13.12,2895,2471751
2020-04-01,13.14,13.02,12.87,13.0,2110,2318396
2020-04-02,13.59,13.53,13.35,13.42,2883,3015938
2020-04-03,13.54,13.46,13.341,13.48,1835,1840068
2020-04-06,14.085,14.03,13.47,13.57,3693,3665598
2020-04-07,14.22,13.99,13.87,14.21,3220,3053889
2020-04-08,14.07,13.94,13.871,14.03,1808,2916885
2020-04-09,14.51,14.34,14.19,14.31,5295,4021538
2020-04-13,14.48,14.4,14.14,14.19,3188,2120370
2020-04-14,14.79,14.65,14.47,14.58,4501,3415412
2020-04-15,14.495,14.49,14.255,14.49,3063,2643104
2020-04-16,14.51,14.51,14.18,14.37,2901,2680989
2020-04-17,14.3,14.15,14.075,14.27,2431,2687433
2020-04-20,14.399,14.26,14.19,14.2,2225,2481090
2020-04-21,13.915,13.88,13.555,13.62,3885,3818571
2020-04-22,14.13,14.09,13.93,14.01,2413,2513687
2020-04-23,14.405,14.21,14.09,14.25,3352,3206377
2020-04-24,14.32,14.21,14.02,14.28,2267,3124038
2020-04-27,14.22,14.21,14.015,14.21,1311,1221872
2020-04-28,14.18,14.1,13.98,14.17,2035,1765875
2020-04-29,14.355,14.28,14.075,14.18,2141,2280843
2020-04-30,14.16,13.98,13.77,14.07,4258,4313844
2020-05-01,14.01,13.92,13.76,13.9,2700,2671714
2020-05-04,13.88,13.77,13.74,13.81,2343,2323881
2020-05-05,14.02,13.93,13.83,13.92,2060,2292759
2020-05-06,13.99,13.92,13.89,13.95,1342,1318338
2020-05-07,14.39,14.26,14.04,14.06,3276,4064608
2020-05-08,14.595,14.44,14.35,14.36,3768,4076301
2020-05-11,14.51,14.44,14.32,14.5,2155,2091208
2020-05-12,14.575,14.42,14.395,14.51,2434,2150196
2020-05-13,14.565,14.55,14.38,14.45,2112,2553645
2020-05-14,14.83,14.81,14.48,14.49,3320,4397350
2020-05-15,15.609,15.51,15.25,15.42,6113,7507911
2020-05-18,16.03,15.79,15.745,15.95,6751,7105142
2020-05-19,16.31,16.17,16.08,16.14,4690,6071521
2020-05-20,16.44,16.36,16.22,16.27,4334,5275272
2020-05-21,16.15,15.96,15.715,16.13,5594,6796727
2020-05-22,16.09,16.04,15.92,15.96,3020,3562897
2020-05-26,16.28,15.97,15.87,16.28,3608,4749962
2020-05-27,16.19,16.15,15.73,15.75,4372,5573877
2020-05-28,16.33,16.19,16.105,16.24,3467,5032848
2020-05-29,16.699,16.66,16.495,16.54,4762,5859205
2020-06-01,17.1,17.1,16.83,16.86,3798,4459348
2020-06-02,17.065,16.84,16.58,17.06,4077,4072262
2020-06-03,16.56,16.48,16.27,16.5,4393,4524486
2020-06-04,16.631,16.54,16.37,16.54,2316,2951526
2020-06-05,16.23,16.2,16.04,16.15,3797,4199690
2020-06-08,16.6,16.59,16.28,16.35,2815,3313176
2020-06-09,16.56,16.42,16.37,16.43,2060,3523952
2020-06-10,16.96,16.96,16.365,16.7,5085,6663449
2020-06-11,16.87,16.44,16.285,16.75,5080,6885341
2020-06-12,16.548,16.28,16.215,16.44,3939,5004478
2020-06-15,16.28,16.23,15.795,15.87,3885,4842636
2020-06-16,16.37,16.26,16.189,16.2,3631,4439190
2020-06-17,16.405,16.33,16.25,16.34,1749,2242552
2020-06-18,16.25,16.21,16.13,16.2,1887,2440928
2020-06-19,16.59,16.49,16.37,16.43,2736,3825626
2020-06-22,16.805,16.5,16.465,16.72,3097,3609135
2020-06-23,16.77,16.76,16.64,16.73,2439,3273941
2020-06-24,16.615,16.28,16.24,16.36,4106,4247972
2020-06-25,16.605,16.59,16.42,16.5,2389,2440972
2020-06-26,16.73,16.63,16.3,16.49,3532,3993063
2020-06-29,16.66,16.65,16.495,16.58,1713,2249411
2020-06-30,17.01,17.01,16.65,16.65,3893,5421247
2020-07-01,17.02,16.82,16.62,17.01,4707,5368779
2020-07-02,16.89,16.71,16.68,16.69,2389,2849704
2020-07-06,17.155,17.05,16.96,17.09,2862,3274392
2020-07-07,17.11,17.01,16.925,16.93,3595,4001624
2020-07-08,17.49,17.49,17.3,17.33,4571,5734172
2020-07-09,17.739,17.38,17.23,17.7,6242,5896166
2020-07-10,17.52,17.43,17.301,17.49,2836,2534175
2020-07-13,18.075,17.73,17.715,17.99,6241,7388920
2020-07-14,17.995,17.97,17.68,17.71,4827,5982616
2020-07-15,18.17,18.17,17.83,17.89,4161,5141414
2020-07-16,18.055,17.78,17.78,17.99,3134,3850150
2020-07-17,18.065,18.01,17.895,17.98,2977,4248359
2020-07-20,18.565,18.53,18.24,18.36,4973,5428672
2020-07-21,19.875,19.67,19.42,19.51,9768,11277883
2020-07-22,21.45,21.44,20.52,20.65,24249,22701108
2020-07-23,21.5,21.03,20.73,21.1,15916,15965140
2020-07-24,21.35,21.21,20.94,21.35,8370,8839139
2020-07-27,22.848,22.83,22.43,22.56,16091,15426181
2020-07-28,22.965,22.77,22.08,22.31,19177,17037082
2020-07-29,23.24,22.57,21.715,22.68,18963,14489031
2020-07-30,22.005,21.76,21.4,21.7,12610,11031763
2020-07-31,22.665,22.65,22.11,22.23,9342,8824988
2020-08-03,22.77,22.74,22.39,22.59,7079,9738428
2020-08-04,24.25,24.25,22.63,22.7,21068,12139348
2020-08-05,25.279,25.05,24.611,25.12,22091,15134781
2020-08-06,26.895,26.88,25.885,26.31,23791,17403820
2020-08-07,26.37,26.19,25.48,26.3,30602,21249337
2020-08-10,27.38,27.0,26.57,26.6,19903,13444434
2020-08-11,25.505,23.33,23.06,25.2,47393,27352379
2020-08-12,24.415,23.42,23.4,24.15,20966,15138786
2020-08-13,25.8,25.45,24.575,24.65,24177,16147723
2020-08-14,25.225,24.58,23.98,25.11,19102,14215123
2020-08-17,25.66,25.62,25.25,25.48,12181,9339727
2020-08-18,26.48,25.88,25.23,26.41,22931,12144725
2020-08-19,26.04,24.88,24.705,25.94,24101,13283017
2020-08-20,25.635,25.61,24.88,24.9,11286,7787509
2020-08-21,25.01,24.9,24.43,24.86,12201,8158369
2020-08-24,25.09,24.6,24.53,25.08,7260,5710760
2020-08-25,24.765,24.76,24.27,24.73,7940,5655221
2020-08-26,25.57,25.57,24.62,24.63,11935,8837814
2020-08-27,25.895,25.16,24.68,25.89,18844,12363560
2020-08-28,25.8,25.61,25.47,25.62,8074,5946973
2020-08-31,26.415,26.23,25.955,26.04,9890,6536184
2020-09-01,26.745,26.14,25.67,26.73,12806,8619030
2020-09-02,25.73,25.55,25.2,25.72,11569,7917065
2020-09-03,25.5,24.74,24.65,25.39,14182,10392269
2020-09-04,25.14,25.06,24.48,24.86,10174,7376712
2020-09-08,25.085,24.75,24.055,24.44,10420,7525495
2020-09-09,25.249,25.18,24.89,24.97,5717,4557445
2020-09-10,25.57,24.86,24.85,25.53,10132,9621020
2020-09-11,25.165,24.9,24.731,25.03,5942,5930746
2020-09-14,25.42,25.29,25.13,25.13,4557,4743129
2020-09-15,25.495,25.23,25.14,25.44,5181,4542115
2020-09-16,25.53,25.23,25.01,25.46,7967,7597588
2020-09-17,25.23,25.23,24.51,24.65,6003,5544658
2020-09-18,25.25,24.93,24.92,24.98,4987,3969147
2020-09-21,24.34,23.03,22.07,24.2,32448,17250134
2020-09-22,22.98,22.79,22.46,22.81,7480,5116269
2020-09-23,22.07,21.17,21.03,21.93,22416,19112685
2020-09-24,21.73,21.56,20.459,20.58,14129,11057336
2020-09-25,21.53,21.3,21.12,21.17,5644,6100452
2020-09-28,22.08,22.02,21.51,21.73,6329,5000245
2020-09-29,22.709,22.5,22.17,22.24,6726,4826192
2020-09-30,22.37,21.64,21.53,22.27,10211,7291745
2020-10-01,22.49,22.09,21.77,22.01,7267,5831852
2020-10-02,22.52,22.13,22.04,22.23,5326,4647079
2020-10-05,22.81,22.62,22.3,22.32,5427,4214294
2020-10-06,22.72,21.73,21.625,22.62,9970,5588385
2020-10-07,22.31,22.09,21.89,21.98,5207,3487542
2020-10-08,22.53,22.18,22.015,22.39,3817,2636019
2020-10-09,23.412,23.41,22.775,22.81,7132,5710313
2020-10-12,23.5,23.33,23.07,23.34,5233,3852423
2020-10-13,22.7,22.49,22.275,22.7,8574,6297755
2020-10-14,22.915,22.54,22.471,22.81,4347,6702251
2020-10-15,22.619,22.59,22.001,22.05,4404,3712661
2020-10-16,22.81,22.42,22.42,22.76,3561,2790073
2020-10-19,23.07,22.58,22.52,23.04,4609,3230461
2020-10-20,23.185,23.02,22.81,22.86,4123,3572542
