Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,324.87,324.87,322.535,323.58,52026,10942418
2020-01-03,323.64,322.41,321.1,321.19,66494,16905905
2020-01-06,323.73,323.64,320.36,320.44,46936,10328215
2020-01-07,323.54,322.73,322.24,323.02,43094,9221482
2020-01-08,325.78,324.45,322.67,322.99,64201,14698366
2020-01-09,326.73,326.65,325.525,326.2,45009,9283407
2020-01-10,327.46,325.71,325.2,327.36,47056,9097784
2020-01-13,327.96,327.95,325.93,326.4,41717,11322566
2020-01-14,328.61,327.45,326.85,327.48,64748,14078711
2020-01-15,329.02,328.19,327.27,327.34,58869,12226438
2020-01-16,330.92,330.92,329.45,329.67,44779,10828385
2020-01-17,332.18,331.95,331.07,331.72,51101,20327488
2020-01-21,332.18,331.3,330.83,330.92,54375,13022700
2020-01-22,332.945,331.34,331.19,332.26,43693,8733611
2020-01-23,331.92,331.72,329.42,330.6,54744,10784996
2020-01-24,332.53,328.77,327.37,332.46,77190,14733009
2020-01-27,325.12,323.5,322.68,323.05,92191,19139909
2020-01-28,327.84,326.89,324.55,325.06,66900,14740658
2020-01-29,328.63,326.62,326.4,328.4,59069,11370758
2020-01-30,327.9,327.68,323.54,324.37,88343,17174059
2020-01-31,327.17,321.73,320.75,326.97,119744,24090255
2020-02-03,326.15,324.12,323.23,323.35,70610,14580625
2020-02-04,330.0,329.06,327.74,328.07,59489,11504804
2020-02-05,333.08,332.86,330.68,332.29,66207,12910213
2020-02-06,334.19,333.98,332.81,333.98,45625,9426990
2020-02-07,333.62,332.2,331.6,332.81,58202,11879792
2020-02-10,334.72,334.68,331.19,331.19,40857,9240680
2020-02-11,337.02,335.26,334.75,336.16,54206,10874984
2020-02-12,337.64,337.42,336.435,336.86,42134,8620577
2020-02-13,338.11,337.06,335.56,335.92,58053,11184157
2020-02-14,337.72,337.6,336.2,337.48,51818,11414010
2020-02-18,337.17,336.73,335.22,336.52,53524,11236549
2020-02-19,339.08,338.34,337.49,337.81,40665,8576928
2020-02-20,338.63,336.95,333.71,337.77,86487,16179946
2020-02-21,335.795,333.48,332.59,335.41,100016,20000974
2020-02-24,325.84,322.42,321.25,323.17,187484,33172468
2020-02-25,324.61,312.65,311.69,323.96,305522,47627785
2020-02-26,318.11,311.5,310.7,314.19,253266,40425549
2020-02-27,309.64,297.51,297.51,305.45,448304,60964008
2020-02-28,296.28,296.26,285.54,288.62,445424,66868762
2020-03-02,309.15,309.09,294.46,298.0,354194,47333720
2020-03-03,313.81,300.24,297.58,309.55,527655,57365491
2020-03-04,313.1,312.86,303.33,306.11,234290,33980947
2020-03-05,308.45,302.46,300.02,304.95,252473,37723566
2020-03-06,298.77,297.46,290.24,293.08,280410,41826442
2020-03-09,284.18,274.23,273.45,275.6,444528,61641534
2020-03-10,288.51,288.42,273.5,284.76,422236,53966260
2020-03-11,281.87,274.36,270.89,280.73,381682,47936023
2020-03-12,266.66,248.11,247.74,256.05,591160,73756499
2020-03-13,271.08,269.32,249.58,263.34,520215,70274207
2020-03-16,256.9,239.85,237.36,240.78,445805,72406655
2020-03-17,256.17,252.8,237.07,245.04,431015,55789163
2020-03-18,246.03,240.0,228.02,236.25,549981,66515330
2020-03-19,247.38,240.51,232.23,239.26,501073,59835890
2020-03-20,244.47,228.8,228.59,242.59,476328,53748687
2020-03-23,229.39,222.95,218.26,228.0,460426,55890811
2020-03-24,244.1,243.15,233.8,234.99,332188,53748268
2020-03-25,256.35,246.79,239.76,245.0,409700,56406357
2020-03-26,262.8,261.2,249.08,249.26,344345,48314186
2020-03-27,260.8,253.42,251.06,253.22,306953,42972544
2020-03-30,262.43,261.65,253.53,255.68,212665,28451242
2020-03-31,263.32,257.75,256.22,260.7,247423,36754775
2020-04-01,251.44,246.15,243.9,247.95,227184,33099628
2020-04-02,252.66,251.83,244.6,245.2,229366,34989394
2020-04-03,253.32,248.19,245.22,250.81,193982,26927572
2020-04-06,267.0,264.86,256.73,258.05,200685,34670820
2020-04-07,275.0,265.13,264.89,274.3,273544,39567990
2020-04-08,275.4,274.03,265.56,268.05,201862,29358012
2020-04-09,281.2,278.2,275.47,277.81,241302,34367355
2020-04-13,277.51,275.66,271.41,277.15,159956,20794735
2020-04-14,284.9,283.79,279.91,281.08,140322,21746315
2020-04-15,279.58,277.76,275.46,277.52,135142,20879227
2020-04-16,280.03,279.1,275.76,279.05,164073,26696570
2020-04-17,287.3,286.64,282.41,285.41,136805,24196527
2020-04-20,286.29,281.59,281.35,282.6,121275,18968563
2020-04-21,278.04,273.04,272.02,276.48,169232,24777808
2020-04-22,280.99,279.1,276.91,278.38,107597,17822825
2020-04-23,283.94,279.08,278.751,280.46,152621,23084078
2020-04-24,283.7,282.97,278.5,280.69,85515,14438986
2020-04-27,288.27,287.05,284.62,285.02,81591,14148740
2020-04-28,291.39,285.73,285.405,291.0,112064,19346377
2020-04-29,294.87,293.21,290.42,291.59,121189,22645781
2020-04-30,292.23,290.48,288.59,291.69,132635,25287145
2020-05-01,286.04,282.79,281.53,285.16,116295,20952395
2020-05-04,283.9,283.57,279.14,280.46,85963,15749972
2020-05-05,289.25,286.19,285.75,286.66,87437,15048514
2020-05-06,288.46,284.25,284.13,288.01,84132,14244434
2020-05-07,289.76,287.68,287.13,287.79,82843,14562818
2020-05-08,292.85,292.44,289.86,291.05,75413,13964032
2020-05-11,294.0,292.5,289.88,290.37,82656,14822213
2020-05-12,294.24,286.67,286.55,293.75,94014,16684319
2020-05-13,287.19,281.6,278.97,285.95,171535,28940667
2020-05-14,285.1,284.97,276.38,278.84,156059,26173097
2020-05-15,286.32,286.28,281.36,282.32,106349,19302977
2020-05-18,296.69,295.0,292.7,293.09,123976,23623831
2020-05-19,296.2,291.97,291.96,294.41,99755,18676741
2020-05-20,297.87,296.93,295.58,295.83,79614,16192231
2020-05-21,297.66,294.88,293.69,296.8,98186,15487265
2020-05-22,295.63,295.44,293.23,294.56,65499,11400356
2020-05-26,302.19,299.08,298.69,301.96,92836,16363259
2020-05-27,303.57,303.53,296.87,302.14,110854,19223107
2020-05-28,306.835,302.97,302.24,304.69,101154,18183774
2020-05-29,304.96,304.32,299.565,302.46,139756,24362642
2020-06-01,306.205,305.55,303.06,303.63,64515,12286256
2020-06-02,308.13,308.08,305.1,306.52,72894,13664624
2020-06-03,313.21,312.18,309.95,310.26,79776,15214572
2020-06-04,313.0,311.36,309.09,311.12,81343,14052101
2020-06-05,321.27,319.34,317.17,317.41,123513,22537687
2020-06-08,323.4,323.2,319.63,320.3,78835,13592893
2020-06-09,322.365,320.79,319.37,320.26,78674,13807734
2020-06-10,322.39,319.0,318.23,321.4,107648,16672267
2020-06-11,312.15,300.61,300.01,311.31,222475,40097547
2020-06-12,309.06,304.21,298.6,308.32,203912,34662350
