Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,64.05,63.83,62.95,62.99,5101,1236391
2020-01-03,63.26,63.0,62.35,62.85,4671,763362
2020-01-06,62.58,62.57,61.15,61.32,4293,854565
2020-01-07,65.49,64.59,63.68,64.5,8500,2349389
2020-01-08,67.99,67.6,64.58,64.67,8343,1886222
2020-01-09,68.22,67.93,66.7,68.22,6390,2015096
2020-01-10,69.51,67.99,67.9,68.5,5561,1481075
2020-01-13,69.05,68.66,67.83,68.24,4188,710184
2020-01-14,69.25,68.17,68.11,68.96,4151,1170315
2020-01-15,71.0,70.36,68.5,68.57,7484,1695393
2020-01-16,71.0,69.52,69.2,71.0,6054,1036068
2020-01-17,70.3,69.38,69.19,69.8,4001,850161
2020-01-21,69.61,68.31,68.31,69.04,4517,1312784
2020-01-22,70.03,68.69,68.69,69.05,5083,934908
2020-01-23,69.44,69.29,67.55,68.86,5239,1102021
2020-01-24,71.92,71.14,70.03,70.61,9459,1696909
2020-01-27,72.45,71.05,68.5,68.56,10135,1789077
2020-01-28,74.98,74.8,71.05,71.37,11964,2858766
2020-01-29,77.07,76.16,74.25,74.5,13262,2552823
2020-01-30,76.38,76.1,74.06,75.47,9405,1791916
2020-01-31,76.35,74.69,74.34,75.79,8231,2169733
2020-02-03,79.8,79.8,74.6,74.83,10608,2755219
2020-02-04,81.68,80.9,79.25,80.02,9705,2027918
2020-02-05,82.1,78.25,77.85,82.0,13512,2279947
2020-02-06,79.2,78.51,77.83,78.66,8163,1168463
2020-02-07,79.99,78.86,77.37,77.82,5034,993488
2020-02-10,80.62,80.17,78.9,79.9,4861,960527
2020-02-11,81.44,79.88,79.61,80.56,4930,837814
2020-02-12,80.9,80.0,79.61,80.0,4343,709353
2020-02-13,82.53,80.99,79.1,79.3,6780,1501203
2020-02-14,82.58,81.86,81.03,81.39,5891,1094136
2020-02-18,82.96,82.42,81.39,81.68,5925,1059842
2020-02-19,86.46,85.24,82.99,83.0,8620,1911418
2020-02-20,87.24,85.7,80.31,85.23,13746,1999776
2020-02-21,86.2,83.49,82.75,85.7,8969,1529823
2020-02-24,80.83,80.21,76.15,76.85,12442,2442738
2020-02-25,81.34,77.05,75.8,80.73,14996,2015231
2020-02-26,79.05,76.59,76.53,77.95,10851,1617768
2020-02-27,85.93,79.31,79.12,81.0,39122,5963054
2020-02-28,84.14,83.33,76.6,77.39,36278,5427964
2020-03-02,84.35,80.67,79.57,83.01,17891,3075725
2020-03-03,80.48,78.84,75.82,80.48,21867,2852910
2020-03-04,79.49,79.26,75.82,78.32,15133,2715514
2020-03-05,79.0,76.32,75.66,78.31,12766,1873986
2020-03-06,75.66,73.09,70.29,75.66,24508,3533760
2020-03-09,67.41,65.73,63.33,66.6,26893,4071766
2020-03-10,68.56,67.24,63.37,68.41,20050,2301136
2020-03-11,66.17,62.44,60.82,66.0,21205,2883697
2020-03-12,58.01,53.57,52.98,55.87,25990,4269924
2020-03-13,57.79,57.77,52.33,57.04,21575,2570019
2020-03-16,49.12,41.27,40.005,46.03,33852,6035347
2020-03-17,45.28,44.73,39.0,43.62,25762,3603199
2020-03-18,42.02,39.5,32.35,41.02,24528,4147971
2020-03-19,47.42,40.0,37.01,40.5,22704,4480314
2020-03-20,43.79,38.09,37.8,41.95,22060,3759102
2020-03-23,40.5,40.01,36.11,37.92,16728,2500122
2020-03-24,48.88,46.31,42.6,43.5,22990,3656848
2020-03-25,58.09,52.39,49.53,50.29,32118,6494027
2020-03-26,59.25,56.03,53.79,53.79,16781,4251990
2020-03-27,54.4,53.34,51.48,54.0,14483,2057614
2020-03-30,55.44,55.0,51.55,52.9,10942,1931072
2020-03-31,55.22,52.38,51.15,53.92,16575,5303059
2020-04-01,50.01,46.81,46.06,49.78,15300,2972849
2020-04-02,48.02,45.88,45.0,46.34,12265,2013856
2020-04-03,46.67,43.72,42.37,46.14,19147,2877817
2020-04-06,51.1,50.42,46.21,47.22,22092,4714590
2020-04-07,54.89,50.31,49.71,54.78,17701,2990115
2020-04-08,57.74,57.04,51.81,51.81,22265,3716692
2020-04-09,64.85,59.21,58.5,58.5,25367,4181774
2020-04-13,60.0,59.42,56.12,60.0,13831,2035825
2020-04-14,62.6,62.41,59.62,59.81,14405,2785817
2020-04-15,61.75,61.38,59.37,59.67,11230,1917258
2020-04-16,59.3,57.32,56.65,58.0,18439,3137511
2020-04-17,61.44,61.09,58.7,59.5,15307,2733451
2020-04-20,63.56,61.06,59.16,59.44,10706,2324866
2020-04-21,60.41,57.4,56.86,60.0,13539,2300881
2020-04-22,61.25,60.96,58.01,59.35,13265,2709127
2020-04-23,63.48,61.82,60.94,61.31,13338,2559437
2020-04-24,62.56,62.01,61.04,62.35,6927,1099885
2020-04-27,64.24,63.55,61.81,63.27,10919,2058232
2020-04-28,65.01,61.75,60.9,64.17,13728,2342437
2020-04-29,66.7,65.77,63.39,63.42,12765,2461352
2020-04-30,66.87,65.14,64.72,65.0,11034,2225324
2020-05-01,63.9,63.0,61.45,62.84,14119,2104722
2020-05-04,64.15,63.69,61.09,61.1,8460,1575337
2020-05-05,68.58,66.69,65.24,66.0,13492,2268077
2020-05-06,69.8,68.1,67.15,67.32,13748,2620050
2020-05-07,76.78,74.62,69.58,70.0,25315,4695242
2020-05-08,76.39,76.05,72.0,72.01,19189,3650434
2020-05-11,75.89,74.9,74.36,75.7,8992,1727560
2020-05-12,77.39,75.21,74.32,76.0,12749,2254773
2020-05-13,75.771,73.79,70.83,75.32,14414,2177429
2020-05-14,78.25,78.2,71.09,72.17,16293,2640967
2020-05-15,81.13,80.26,76.81,77.75,14586,2574025
2020-05-18,81.35,76.63,76.44,78.62,14640,2514832
2020-05-19,82.13,79.25,76.25,76.45,13822,2187505
2020-05-20,83.09,82.04,80.54,81.5,9440,1557899
2020-05-21,81.7,81.49,78.77,79.5,10574,1681341
2020-05-22,82.49,81.49,80.84,81.23,7128,1015613
2020-05-26,84.09,80.79,80.5,84.0,9846,1636726
2020-05-27,81.13,81.02,76.02,80.04,12457,1643553
2020-05-28,82.3,79.62,79.01,81.02,11741,1633341
2020-05-29,81.91,81.08,79.38,79.73,10579,2125066
2020-06-01,83.41,82.72,80.12,81.0,9685,1731161
2020-06-02,88.27,88.0,82.38,82.96,17150,3159861
2020-06-03,92.54,91.97,87.1,88.0,16582,2745761
2020-06-04,92.94,87.72,86.195,90.96,14022,2044324
2020-06-05,91.45,89.93,88.09,90.0,13583,1952789
2020-06-08,91.23,89.62,88.03,90.5,9202,1186946
2020-06-09,91.65,89.53,87.87,89.02,9446,1117694
2020-06-10,92.96,91.91,89.51,90.26,11396,1472378
2020-06-11,90.0,86.09,85.81,87.75,17501,2505613
2020-06-12,89.17,86.72,84.25,89.02,11512,1469322
2020-06-15,91.3,91.0,84.07,84.84,10278,1449409
2020-06-16,95.85,94.74,92.57,93.07,14050,1990352
2020-06-17,100.0,97.03,94.7,94.78,14045,2171125
2020-06-18,98.61,98.27,95.84,97.0,7911,1505917
2020-06-19,102.26,97.98,97.92,100.0,12410,2633359
2020-06-22,105.46,104.22,99.31,99.78,11700,2140544
2020-06-23,106.36,104.75,103.05,105.0,12024,1849848
2020-06-24,105.73,100.88,98.93,104.0,11251,1491505
2020-06-25,106.14,104.78,101.42,102.46,12137,1987296
2020-06-26,107.83,104.3,102.56,105.02,16059,5477618
2020-06-29,105.27,103.68,101.22,105.12,12484,1557064
2020-06-30,105.3,104.94,102.895,103.5,9753,1340067
2020-07-01,117.11,115.9,106.56,107.0,22130,2966596
2020-07-02,118.78,113.39,113.23,118.0,16629,2482985
2020-07-06,128.36,118.97,118.3,118.69,29860,3895128
2020-07-07,129.84,125.6,120.04,121.49,28729,3413896
2020-07-08,133.43,133.35,127.0,127.2,24088,3431400
2020-07-09,133.8,129.39,127.69,132.69,22223,3233026
2020-07-10,129.6,128.05,125.29,128.6,13471,1832685
2020-07-13,133.24,118.65,116.69,131.0,22335,3068517
2020-07-14,121.85,121.24,111.17,118.19,24263,2864632
2020-07-15,123.98,122.2,117.69,123.43,12012,1573679
2020-07-16,123.28,119.95,117.55,120.55,12616,1672479
2020-07-17,122.36,120.73,118.6,121.06,7910,1203005
2020-07-20,129.46,128.39,120.53,121.36,11081,1757205
2020-07-21,130.8,126.99,125.07,129.99,8469,1904431
2020-07-22,131.69,129.18,127.07,127.9,6844,772733
2020-07-23,129.82,122.93,121.36,127.74,8930,1253581
2020-07-24,122.88,121.41,117.0,119.89,9603,1042151
2020-07-27,126.75,125.75,122.4,124.29,7763,1163269
2020-07-28,127.52,123.51,123.32,125.04,6482,763840
2020-07-29,128.92,128.55,124.9,125.31,9633,1294795
2020-07-30,131.37,129.13,125.4,128.49,12941,1377725
2020-07-31,131.88,129.85,127.4,131.34,13737,1640805
2020-08-03,136.135,134.8,130.26,130.26,14250,1483287
2020-08-04,137.78,136.83,133.62,135.96,13836,1609452
2020-08-05,158.28,146.55,146.3,153.0,33752,4052832
2020-08-06,155.87,154.0,149.18,149.9,18048,2080984
2020-08-07,153.76,147.22,143.35,151.56,13982,1545553
2020-08-10,147.82,139.34,138.69,147.68,16976,1893216
2020-08-11,142.94,138.25,135.08,137.94,15234,1416818
2020-08-12,143.39,139.02,137.74,140.0,14139,1299227
2020-08-13,145.51,143.19,140.27,140.38,9523,1252154
2020-08-14,143.93,141.96,139.77,143.89,7782,929889
2020-08-17,153.65,152.48,143.2,144.49,13691,1550159
2020-08-18,153.02,151.04,147.46,152.0,12543,1359057
2020-08-19,152.33,150.37,148.65,151.24,8165,916090
2020-08-20,158.08,155.86,149.92,150.02,14027,2356490
2020-08-21,159.45,155.1,153.15,156.47,9087,1028099
2020-08-24,158.72,151.79,151.0,158.55,12482,1301514
2020-08-25,155.72,155.0,149.0,151.69,8503,923309
2020-08-26,158.65,153.74,151.78,156.09,8483,1083161
2020-08-27,161.52,155.61,155.5,157.49,15966,1833819
2020-08-28,158.99,155.93,154.08,158.99,8274,1054667
2020-08-31,160.75,159.56,156.12,156.85,10160,1630370
2020-09-01,170.43,166.66,162.03,164.79,15416,1783281
2020-09-02,170.46,162.88,158.12,170.24,19122,1842315
2020-09-03,156.52,152.86,149.56,156.15,25020,2247670
2020-09-04,152.12,146.39,134.0,150.0,28020,2385502
2020-09-08,146.06,139.11,137.0,137.01,19559,2067126
2020-09-09,145.44,144.21,139.25,145.17,13353,1490821
2020-09-10,148.54,141.07,139.88,147.0,12723,1259304
2020-09-11,143.77,137.45,134.32,143.77,12825,1359878
2020-09-14,145.34,144.4,138.88,140.15,9459,943527
2020-09-15,158.49,154.5,146.36,146.41,15772,1754364
2020-09-16,159.0,151.05,149.96,155.57,10931,2392103
2020-09-17,147.68,145.64,142.3,146.5,13608,2607463
2020-09-18,149.08,145.01,141.65,147.39,9558,2463812
2020-09-21,151.98,151.12,139.33,140.3,19074,3238766
2020-09-22,156.32,155.59,148.65,152.5,13053,2699488
2020-09-23,157.98,149.59,147.86,155.55,12228,1912240
2020-09-24,155.92,152.31,148.0,152.0,14498,1837842
2020-09-25,158.96,157.72,151.88,153.41,10810,1446140
2020-09-28,164.4,160.76,158.23,160.59,12386,1407481
2020-09-29,167.54,164.81,163.26,164.0,12301,1463967
2020-09-30,166.18,162.55,161.31,163.77,6997,1175558
2020-10-01,168.61,168.49,164.6,166.14,8689,947736
2020-10-02,171.2,169.61,164.0,164.58,13702,1534752
2020-10-05,181.88,180.92,171.5,172.0,19468,2411793
2020-10-06,182.2,175.34,172.63,180.7,18802,2120068
2020-10-07,182.75,180.18,179.1,180.5,8961,987910
2020-10-08,185.33,183.5,181.72,183.0,9958,1212724
2020-10-09,188.69,187.28,183.73,185.0,8814,1041154
2020-10-12,191.94,185.17,184.26,190.74,13123,1187244
2020-10-13,191.36,190.47,186.0,186.68,10456,987350
2020-10-14,193.4,187.49,185.11,191.59,11327,849839
2020-10-15,188.68,188.6,181.22,182.07,11848,1165646
2020-10-16,192.79,186.35,184.73,191.59,7285,788520
2020-10-19,191.3,186.96,185.91,187.72,9449,852594
2020-10-20,189.59,185.74,184.5,188.05,8131,674181
2020-10-21,184.67,177.82,175.61,183.5,13286,1671882
2020-10-22,181.98,175.93,173.73,178.55,10302,1053903
2020-10-23,177.78,176.77,173.34,177.78,6609,646819
2020-10-26,176.77,169.89,166.79,175.7,11937,1030527
2020-10-27,176.26,171.02,169.4,176.26,9602,1129521
2020-10-28,168.88,167.13,164.47,166.5,9503,919899
2020-10-29,172.0,169.86,168.15,171.0,7507,855884
2020-10-30,167.34,154.88,152.5,166.28,20687,2054962
2020-11-02,161.11,155.23,152.1,158.0,14206,1306204
2020-11-03,161.0,158.21,151.1,152.88,13306,1751851
2020-11-04,171.29,171.29,162.15,166.66,16639,1585086
2020-11-05,177.28,175.23,172.67,177.0,19063,1895190
2020-11-06,201.3,198.08,183.2,183.55,26978,3170911
2020-11-09,197.0,184.08,181.95,191.43,24228,2449961
2020-11-10,183.25,172.0,167.11,183.0,20201,1865571
2020-11-11,183.88,183.42,177.8,179.8,13093,1331518
2020-11-12,185.02,178.51,177.03,184.0,16932,1534214
2020-11-13,180.81,177.19,175.5,180.6,9994,912349
2020-11-16,179.16,179.16,173.16,174.94,12130,1311986
2020-11-17,190.69,187.9,180.4,181.0,15456,1722350
2020-11-18,187.2,185.54,182.28,187.0,10318,1012763
2020-11-19,194.0,191.66,185.815,190.68,14331,1686124
2020-11-20,200.98,195.97,191.6,193.61,14285,1436383
2020-11-23,209.35,207.78,199.35,200.07,16083,1580883
2020-11-24,208.0,202.9,199.56,208.0,16076,2309885
2020-11-25,214.5,212.92,204.65,207.45,15473,1837944
2020-11-27,215.0,212.52,206.0,215.0,9687,946409
2020-11-30,213.5,210.96,200.25,213.0,17434,2434348
2020-12-01,212.95,203.0,200.5,212.56,17468,1631145
2020-12-02,203.98,202.0,195.13,200.2,15830,1459143
