Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2021-05-05,20.43,19.36,19.36,19.99,2301,524195
2021-05-06,19.16,17.17,16.87,19.03,5428,1183556
2021-05-07,20.64,19.65,18.33,18.51,12877,3237856
2021-05-10,19.8,18.22,17.99,19.6,7187,1569368
2021-05-11,18.99,18.91,16.8,16.83,6258,1456228
2021-05-12,18.94,17.63,17.57,18.55,5232,1286151
2021-05-13,18.32,16.68,16.37,17.73,5821,1592629
2021-05-14,17.49,16.88,16.56,16.82,4020,1230718
2021-05-17,18.3,18.3,16.63,16.96,5987,1379545
2021-05-18,19.12,18.77,17.9,18.05,4207,1184326
2021-05-19,18.5,18.21,17.8,18.03,4069,1070870
2021-05-20,18.77,17.96,17.86,18.27,4060,1109459
2021-05-21,18.65,18.36,17.8,18.13,3716,990821
2021-05-25,19.83,18.69,18.2,18.47,6140,1919999
2021-05-26,20.27,20.16,18.8,19.0,6320,2024158
2021-05-27,20.74,20.45,19.5,20.64,6808,1995265
2021-05-28,22.62,20.2,20.18,20.5,13428,3416512
2021-05-31,20.82,20.53,20.25,20.6,1527,318445
2021-06-01,21.32,20.51,20.08,20.64,4221,1004563
2021-06-02,23.01,22.82,20.69,20.74,13180,2889116
2021-06-03,26.76,23.87,23.15,24.63,19012,4827339
2021-06-04,24.72,22.71,22.29,24.37,8297,1829833
2021-06-07,24.34,23.8,22.48,23.01,8497,1902145
2021-06-08,24.77,24.5,23.33,24.29,6913,1644898
2021-06-09,27.88,26.0,24.7,24.95,23147,5627680
2021-06-10,25.95,24.23,23.99,25.95,10956,2506974
2021-06-11,24.58,24.18,23.49,24.15,4990,1130783
2021-06-14,24.64,23.25,22.93,24.11,5873,1386367
2021-06-15,23.44,21.96,21.76,22.8,7214,1641925
2021-06-16,22.75,22.23,21.6,21.8,5031,1088708
2021-06-17,22.62,21.59,21.53,22.1,4513,1028818
2021-06-18,22.0,20.86,20.86,21.64,5695,1797006
2021-06-21,21.64,21.42,20.21,20.88,5190,1381157
2021-06-22,21.65,21.47,20.88,21.42,3888,1136334
2021-06-23,22.29,21.66,21.42,21.52,4022,1163399
2021-06-24,22.99,22.49,21.8,22.15,5600,1450663
2021-06-25,22.59,22.37,21.81,22.21,2991,901795
2021-06-28,23.59,22.98,22.36,22.42,5529,1513792
2021-06-29,23.8,22.17,22.04,23.0,5161,1640105
2021-06-30,22.8,22.38,21.4,22.15,4871,1606799
2021-07-02,22.17,21.23,21.2,22.07,3962,1297879
2021-07-05,21.53,21.39,21.23,21.25,688,148104
2021-07-06,21.67,20.87,20.79,21.39,3652,1106259
2021-07-07,21.08,20.28,19.81,20.9,3908,1136276
2021-07-08,20.52,20.34,19.48,19.6,2871,837858
2021-07-09,20.39,20.14,19.81,20.3,2321,665566
2021-07-12,20.43,20.21,19.65,20.04,2462,729167
2021-07-13,21.77,20.45,20.29,20.61,4842,1536851
2021-07-14,20.92,18.82,18.72,20.85,5857,1988292
2021-07-15,19.26,18.18,17.63,18.83,5087,1564072
2021-07-16,18.38,17.54,17.3,18.0,3954,1481676
2021-07-19,17.58,17.32,16.82,17.0,3049,997329
2021-07-20,18.05,17.93,16.61,17.34,3104,1176056
