Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,102.72,102.48,101.64,102.4,882,289841.75
2020-01-03,106.52,105.44,104.32,106.16,2367,802867.5
2020-01-06,106.56,105.28,105.0,106.48,1823,489660.875
2020-01-07,105.36,105.04,104.16,104.8,1682,384267.25
2020-01-08,104.52,101.28,99.16,104.48,4656,1665504.375
2020-01-09,100.24,99.92,98.32,99.6,2094,706399.5
2020-01-10,99.76,99.28,98.72,99.44,1980,443543.125
2020-01-13,98.4,97.6,97.288,98.4,1726,532805.375
2020-01-14,98.48,98.24,97.68,98.16,1949,479504.0
2020-01-15,97.76,97.44,96.48,97.6,1298,280647.375
2020-01-16,98.84,98.32,97.6,97.6,1259,340307.5
2020-01-17,98.92,98.64,98.0,98.64,1053,320955.25
2020-01-21,98.64,97.92,97.76,97.76,770,447928.625
2020-01-22,96.24,95.2,95.04,96.24,2437,737758.75
2020-01-23,93.68,93.28,92.008,92.8,2983,881062.875
2020-01-24,92.0,91.44,90.52,91.92,2365,671831.25
2020-01-27,89.88,88.8,88.24,88.88,2141,766229.875
2020-01-28,90.48,90.0,88.92,89.28,1571,487824.875
2020-01-29,90.24,89.28,88.76,90.24,2275,632383.5
2020-01-30,88.68,88.64,86.84,87.52,2410,719299.625
2020-01-31,87.76,86.72,85.68,87.04,3193,780181.5
2020-02-03,86.64,83.92,83.88,86.0,4556,1127042.25
2020-02-04,85.56,83.52,83.28,85.44,3786,1156903.875
2020-02-05,87.12,85.6,84.76,86.0,3259,1054196.5
2020-02-06,86.12,85.92,84.48,85.12,2122,605264.875
2020-02-07,85.68,84.64,84.32,84.8,1883,512679.625
2020-02-10,84.4,83.36,83.12,83.84,2500,631285.875
2020-02-11,85.12,84.0,83.6,85.12,1829,514057.875
2020-02-12,86.84,86.48,85.72,86.56,3116,860668.75
2020-02-13,87.2,86.72,86.04,86.56,2185,697211.25
2020-02-14,87.84,87.6,86.76,87.68,2602,572377.0
2020-02-18,87.6,87.6,86.04,86.08,2627,551410.125
2020-02-19,89.8,89.44,88.24,89.12,2832,638918.125
2020-02-20,91.36,90.24,90.0,90.48,2288,624767.0
2020-02-21,89.64,89.28,88.0,88.64,2157,655470.375
2020-02-24,86.4,85.92,84.48,85.04,3278,897217.5
2020-02-25,86.16,83.2,83.2,86.08,3286,761659.0
2020-02-26,84.32,81.52,80.88,83.04,3755,1153857.25
2020-02-27,79.84,78.24,76.84,77.68,4520,1081675.5
2020-02-28,75.92,75.6,73.44,75.36,5052,1299379.75
2020-03-02,79.36,79.36,76.32,77.36,4439,1121917.875
2020-03-03,81.4,79.12,77.84,80.0,4633,1450850.875
2020-03-04,80.96,78.88,78.16,80.88,4201,1566621.125
2020-03-05,78.72,76.88,76.44,78.56,3643,870903.375
2020-03-06,74.12,69.84,68.808,74.08,8485,1957378.125
2020-03-09,58.32,52.16,52.0,54.64,18351,4323120.375
2020-03-10,58.6,57.92,54.88,56.72,9264,2370823.375
2020-03-11,56.68,55.52,54.72,56.0,7456,1709497.875
2020-03-12,54.32,52.32,51.44,51.68,7740,2465847.5
2020-03-13,56.96,55.68,52.36,55.12,8261,1649289.5
2020-03-16,51.04,48.4,48.0,48.8,8629,2049610.75
2020-03-17,49.192,45.68,45.08,48.32,7511,1625827.625
2020-03-18,41.4,37.68,34.32,40.48,16323,3672202.875
