Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,28.07,26.13,25.83,28.0,14589,3017080
2020-01-03,26.73,25.83,25.5,25.75,8818,1879450
2020-01-06,26.29,26.02,25.28,25.85,6789,1364856
2020-01-07,26.57,25.74,25.53,26.43,6149,1519728
2020-01-08,26.82,26.23,24.8,25.67,12949,2813045
2020-01-09,27.5,27.21,25.82,26.4,14039,2950809
2020-01-10,27.72,26.81,26.54,27.04,10573,2385558
2020-01-13,30.28,30.12,26.28,26.82,28759,5951645
2020-01-14,31.89,31.14,28.53,29.64,36416,7049038
2020-01-15,33.86,32.46,30.8,31.55,39898,7736229
2020-01-16,33.75,31.67,31.37,33.0,22259,4534156
2020-01-17,32.98,32.57,30.86,31.4,19385,4189585
2020-01-20,33.6,32.9,32.12,32.32,7019,1852611
2020-01-21,33.46,31.62,31.21,32.9,16181,3301492
2020-01-22,32.41,31.71,31.01,31.8,12923,2683680
2020-01-23,32.87,32.22,31.25,31.64,11393,2448457
2020-01-24,32.75,29.76,29.65,32.53,18266,3678107
2020-01-27,29.38,28.39,28.14,28.41,12660,2477132
2020-01-28,31.5,31.45,29.41,29.84,17559,3497571
2020-01-29,32.19,31.03,30.64,31.9,13187,2668443
2020-01-30,31.66,30.8,30.51,30.59,8865,1820300
2020-01-31,31.06,29.8,29.2,30.95,9510,2121280
2020-02-03,30.37,29.37,28.93,29.89,6956,1490371
2020-02-04,30.41,29.71,29.39,29.71,8753,1992906
2020-02-05,30.15,28.77,28.56,30.1,10086,1984937
2020-02-06,29.31,28.15,28.06,28.75,8298,1603461
2020-02-07,27.43,26.12,25.71,26.75,11688,2434190
2020-02-10,26.3,25.38,25.13,26.1,7641,1451369
2020-02-11,27.26,26.46,24.8,25.19,12348,2503453
2020-02-12,26.93,26.02,25.65,26.61,9130,1712728
2020-02-13,27.05,25.88,25.55,25.72,13551,2633965
2020-02-14,31.64,29.98,28.82,30.65,31919,6122706
2020-02-18,30.35,29.08,29.01,29.73,11508,2198942
2020-02-19,29.49,28.78,28.57,29.1,8299,2233364
2020-02-20,30.74,29.59,28.69,28.73,17327,3628082
2020-02-21,29.62,28.91,28.82,29.6,7128,1589218
2020-02-24,28.04,26.98,26.78,27.03,12180,2380397
2020-02-25,27.46,26.04,25.8,27.08,13088,2667226
2020-02-26,27.11,26.4,25.85,25.85,9803,2164113
2020-02-27,25.99,25.44,23.8,25.71,12071,2429687
2020-02-28,25.19,25.17,23.52,24.17,15980,3308403
2020-03-02,25.42,24.79,24.17,25.42,9625,2129740
2020-03-03,24.95,23.2,22.8,24.72,11194,2280228
2020-03-04,24.88,23.77,23.37,23.94,10528,2305733
2020-03-05,23.54,22.45,22.07,22.49,13288,2719954
2020-03-06,22.13,20.47,20.06,21.53,13927,2884232
2020-03-09,19.6,18.05,17.46,17.55,17651,3469938
2020-03-10,20.05,19.45,18.57,19.0,18444,3829462
2020-03-11,19.8,18.33,17.98,19.05,12993,2564242
2020-03-12,17.2,15.2,15.07,16.5,23413,4724420
2020-03-13,16.59,15.17,14.38,16.46,20374,4315326
2020-03-16,15.2,14.42,12.96,13.0,13209,3212566
2020-03-17,15.18,14.58,13.47,14.18,16598,3895116
2020-03-18,14.97,14.14,13.13,14.0,16608,3768572
2020-03-19,16.5,15.81,13.58,14.0,14590,3380446
2020-03-20,17.92,17.02,16.12,16.48,16612,5003858
2020-03-23,18.56,18.13,16.55,17.39,13615,3046623
