Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2020-01-02,69.235,68.72,68.02,68.8,12299,1315723
2020-01-03,68.68,67.28,67.1,67.62,11921,1128483
2020-01-06,70.495,70.32,65.8116,66.63,24950,3152028
2020-01-07,72.8391,71.9,69.37,70.29,53846,7004619
2020-01-08,73.29,72.55,71.03,71.81,19690,2483510
2020-01-09,74.0,72.62,71.35,73.99,24263,2776328
2020-01-10,73.8,73.09,72.25,73.08,16014,1656235
2020-01-13,75.58,74.03,73.8,73.89,26035,3348152
2020-01-14,75.115,73.16,72.26,74.32,16097,1910801
2020-01-15,77.78,76.94,73.2,73.28,32398,3963465
2020-01-16,78.79,76.11,75.11,78.0,26528,2999426
2020-01-17,76.9,75.56,75.49,76.66,13008,1357419
2020-01-21,77.12,76.73,74.32,75.56,16672,1606683
2020-01-22,77.1056,75.61,75.46,77.07,15890,1501614
2020-01-23,75.97,74.47,74.21,75.67,14684,1279050
2020-01-24,76.185,73.0,72.3746,74.97,17344,1660195
2020-01-27,72.1317,70.44,70.32,71.33,18423,1750696
2020-01-28,72.48,71.51,70.26,71.0,15778,1598234
2020-01-29,74.14,73.58,71.213,72.51,15267,1374490
2020-01-30,74.8,74.54,72.55,73.1,15004,1425377
2020-01-31,76.67,76.3,73.3,74.27,26576,2521702
2020-02-03,88.94,87.66,77.51,77.69,96464,13023449
2020-02-04,93.3,85.79,83.5,91.04,86998,10611018
2020-02-05,90.97,86.99,83.755,85.77,44817,5126835
2020-02-06,89.44,87.26,85.26,87.0,26825,2410793
2020-02-07,90.6,88.64,86.81,87.23,25652,2636910
2020-02-10,89.98,89.67,86.91,89.09,21124,2071618
2020-02-11,90.5,88.68,87.93,90.0,25683,2731896
2020-02-12,89.5,88.28,86.52,88.66,18198,1671131
2020-02-13,91.93,89.86,87.0,87.61,35154,3406429
2020-02-14,91.71,90.95,89.81,90.88,25251,2295039
2020-02-18,98.14,96.39,92.4,93.02,58203,5669685
2020-02-19,105.08,103.93,99.75,100.32,70129,7793793
2020-02-20,110.75,105.29,101.43,104.0,102564,11293189
2020-02-21,104.29,101.76,98.09,104.03,55726,5535908
2020-02-24,110.0,105.01,97.02,97.8,113378,12172751
2020-02-25,111.8,107.08,104.4664,108.52,127011,13425942
2020-02-26,111.3,106.88,105.6,109.943,65951,6885393
2020-02-27,118.0,113.55,107.6,109.43,130379,13511847
2020-02-28,121.93,105.0,97.37,121.07,214075,21710989
2020-03-02,114.4999,113.11,102.5,109.35,93240,10157444
2020-03-03,119.2,117.47,112.11,114.55,102710,11033675
2020-03-04,119.97,116.8,113.11,118.51,118983,12102566
2020-03-05,129.83,125.0,110.0,110.25,244219,28149364
2020-03-06,122.0,114.32,107.0,119.65,230776,22975681
2020-03-09,116.5,113.75,100.88,105.0,126544,14571293
2020-03-10,113.8,108.49,105.0,113.8,100588,10244041
2020-03-11,113.99,110.3,107.0,108.41,117243,12594394
2020-03-12,113.8712,109.47,104.39,106.25,122521,12097921
2020-03-13,113.8,107.47,104.16,113.0,91763,9233528
2020-03-16,119.87,107.86,103.2,105.0,173311,17210658
2020-03-17,113.83,111.1,102.0,107.33,175651,18721520
2020-03-18,119.0,118.71,108.85,111.0,134831,13594333
2020-03-19,132.23,123.77,119.1,122.95,169602,16248378
2020-03-20,135.98,130.55,124.0,129.0,156925,13872634
2020-03-23,164.94,159.56,137.25,141.9965,312151,27681459
2020-03-24,155.0,135.18,133.88,154.0,276078,22401325
2020-03-25,149.0,138.11,136.2,140.105,163884,14743014
2020-03-26,146.65,141.15,138.2,140.51,116749,9284038
2020-03-27,154.97,151.7,145.6,145.7,155755,13271899
2020-03-30,161.69,150.88,147.2,160.76,190577,15762176
2020-03-31,149.79,146.12,143.3568,147.02,115900,10023701
2020-04-01,144.6,137.0,135.18,144.5,140810,11453262
2020-04-02,133.4889,121.93,114.5,125.3,283218,27313753
2020-04-03,128.48,128.2,120.11,124.3,131394,12238129
2020-04-06,125.1747,122.94,108.5301,113.63,259308,25378936
2020-04-07,118.44,113.75,109.5707,118.005,223453,20166162
2020-04-08,125.8779,117.81,112.5,115.02,260997,26243288
2020-04-09,125.5,124.51,114.0,117.8,142033,15512973
2020-04-13,136.86,135.92,125.6035,127.0,164988,15411680
2020-04-14,145.2,141.89,139.01,141.07,130324,11679919
2020-04-15,152.57,151.56,140.0,141.71,158164,14193277
2020-04-16,154.25,150.26,146.8,149.92,179391,15138170
2020-04-17,153.7894,150.06,144.03,147.91,136339,11328414
2020-04-20,155.0,148.99,148.2535,153.3,126410,11218689
2020-04-21,154.75,143.27,138.36,151.42,121549,9709142
2020-04-22,152.28,150.25,145.1,147.1,73809,6552834
2020-04-23,169.75,169.09,153.49,154.01,237361,22159845
2020-04-24,181.5,158.8,158.3,177.15,460429,44049511
2020-04-27,167.85,164.6,155.0,156.59,195792,19783693
2020-04-28,166.0,156.72,155.25,165.0,147692,13477842
2020-04-29,151.0,146.48,143.38,147.98,219144,22033320
2020-04-30,143.8,135.17,133.6801,139.99,190729,16682256
2020-05-01,141.63,138.56,132.67,136.0,150701,13806992
2020-05-04,144.98,143.44,140.4495,140.77,96813,9184748
2020-05-05,148.44,144.82,140.86,144.43,82007,7376349
2020-05-06,150.74,149.59,144.09,145.47,70798,6031085
2020-05-07,162.0,157.8,154.04,154.84,107157,8388863
2020-05-08,161.16,155.4,152.7046,160.0,85153,7079101
2020-05-11,168.0,166.48,158.0,159.43,119867,10142713
2020-05-12,168.23,161.04,160.05,168.0,85622,7102604
2020-05-13,171.5,167.14,159.17,163.61,120551,11081302
2020-05-14,170.8,167.91,162.89,168.26,74818,6730504
2020-05-15,175.44,174.83,166.56,166.75,93018,8540460
2020-05-18,173.44,164.69,162.6418,170.03,123935,9636750
2020-05-19,173.86,173.68,166.21,167.0,86976,8485526
2020-05-20,175.64,175.48,170.53,173.53,85737,6910014
2020-05-21,177.8,172.03,168.36,175.96,70094,5525274
2020-05-22,175.89,171.06,170.2,171.86,52278,4302150
2020-05-26,169.69,164.0,163.12,169.1,87000,6689691
2020-05-27,162.22,161.97,149.16,158.01,127284,10076711
2020-05-28,169.4,163.55,159.2,159.23,75918,6393691
2020-05-29,179.99,179.48,167.86,168.0,128415,15311278
2020-06-01,205.87,204.15,183.0,183.18,273887,24394389
2020-06-02,212.69,208.08,197.32,210.25,387018,36853399
2020-06-03,224.46,223.87,202.32,211.7,347229,32390121
2020-06-04,223.0,210.35,207.6,221.0,235733,20212598
2020-06-05,208.94,207.6,196.1,200.11,200362,16298729
2020-06-08,211.44,209.83,198.66,204.35,125437,10457504
2020-06-09,210.59,205.43,202.93,209.83,91612,7521808
2020-06-10,221.53,221.02,208.26,208.89,142297,12241109
2020-06-11,232.0,222.07,218.5,219.18,196150,17615754
2020-06-12,231.45,219.52,216.75,224.79,116767,8780413
2020-06-15,239.59,239.02,226.38,227.84,160853,13959080
2020-06-16,243.5,242.56,231.8206,235.99,136905,11333313
2020-06-17,243.88,236.76,235.12,243.18,143186,11704326
2020-06-18,242.61,241.57,238.22,240.39,97624,9340944
2020-06-19,243.57,243.48,238.7035,241.64,93678,10077543
2020-06-22,254.9,251.27,247.29,247.465,122832,11093697
2020-06-23,254.775,252.81,247.57,251.26,98806,8791498
2020-06-24,258.75,255.9,248.6,254.5,126681,9862774
2020-06-25,260.29,259.51,252.6601,258.23,99219,7490491
2020-06-26,261.62,256.8,250.36,260.52,130261,17142899
